K AIC BIC log.lk n.param converged n.iter
2 69479.9775849126 71461.2857054487 -34371.9887924563 368 1 1
3 60781.0483550021 63753.0105358062 -29838.524177501 552 1 2
4 57964.3319467607 61926.9481878329 -28246.1659733803 736 1 3
5 52100.9691194091 57054.2394207493 -25130.4845597045 920 1 3
6 46861.691373331 52805.6157349393 -22326.8456866655 1104 1 3
7 42672.3090478526 49606.8874697289 -20048.1545239263 1288 1 3
8 37434.9413569707 45360.1738391151 -17245.4706784854 1472 1 3
9 34340.0456384495 43255.9321808619 -15514.0228192247 1656 1 3
10 32439.6436505076 42346.1842531881 -14379.8218252538 1840 1 3
11 30745.4097981163 41642.6044610648 -13348.7048990581 2024 1 3
12 29261.7105218988 41149.5592451154 -12422.8552609494 2208 1 3
13 28589.6939083567 41468.1966918413 -11902.8469541783 2392 1 3
14 27670.0224480703 41539.1792918229 -11259.0112240351 2576 1 3
15 26556.2970043905 41416.1079084112 -10518.1485021953 2760 1 3
16 25703.1871836861 41553.6521479749 -9907.59359184307 2944 1 3
17 25459.7866481639 42300.9056727207 -9601.89332408197 3128 1 3
18 24977.9669829059 42809.7400677308 -9176.98349145297 3312 1 3
19 24395.2791627598 43217.7063078527 -8701.6395813799 3496 1 3
20 24073.3236136025 43886.4048189634 -8356.66180680125 3680 1 3
21 24076.3430510128 44880.0783166418 -8174.1715255064 3864 1 3
22 23992.7315227144 45787.1208486114 -7948.36576135719 4048 1 3
23 23829.1543483309 46614.1977344959 -7682.57717416543 4232 1 3
24 23782.7394408089 47558.436887242 -7475.36972040446 4416 1 3
25 23462.4635140259 48228.815020727 -7131.23175701294 4600 1 3
26 23436.0675002008 49193.07306717 -6934.03375010039 4784 1 3
27 23196.7319779873 49944.3916052246 -6630.36598899367 4968 1 3
28 23327.3609195563 51065.6746070616 -6511.68045977814 5152 1 3
29 23396.1056252386 52125.0733730119 -6362.05281261929 5336 1 3
30 23252.4316347515 52972.0534427929 -6106.21581737574 5520 1 3
