Isolates,Level 1,Level 2
11657_5#1,1,7
11657_5#10,2,13
11657_5#11,3,19
11657_5#12,28,140
11657_5#13,3,19
11657_5#14,4,26
11657_5#15,27,136
11657_5#16,5,34
11657_5#17,22,106
11657_5#18,24,112
11657_5#19,28,143
11657_5#2,27,136
11657_5#20,6,38
11657_5#21,2,17
11657_5#22,3,20
11657_5#23,22,103
11657_5#24,3,20
11657_5#25,7,40
11657_5#26,28,143
11657_5#27,28,143
11657_5#28,8,43
11657_5#29,22,106
11657_5#3,28,145
11657_5#30,25,117
11657_5#31,25,119
11657_5#32,9,46
11657_5#33,1,8
11657_5#34,2,14
11657_5#35,4,21
11657_5#36,29,150
11657_5#37,27,133
11657_5#38,10,48
11657_5#39,5,34
11657_5#4,1,2
11657_5#40,1,7
11657_5#41,27,133
11657_5#42,2,13
11657_5#43,11,50
11657_5#44,28,145
11657_5#46,3,19
11657_5#47,28,141
11657_5#48,28,142
11657_5#49,27,137
11657_5#5,2,14
11657_5#50,28,142
11657_5#51,29,150
11657_5#52,1,7
11657_5#53,27,136
11657_5#54,27,133
11657_5#55,28,143
11657_5#56,27,133
11657_5#57,24,111
11657_5#58,28,138
11657_5#59,26,122
11657_5#6,28,143
11657_5#60,12,55
11657_5#61,3,19
11657_5#62,27,132
11657_5#63,24,111
11657_5#64,20,93
11657_5#65,9,46
11657_5#66,11,51
11657_5#67,4,26
11657_5#68,4,25
11657_5#69,1,7
11657_5#7,3,19
11657_5#70,2,17
11657_5#71,10,47
11657_5#72,28,145
11657_5#73,25,119
11657_5#74,26,123
11657_5#75,28,142
11657_5#76,11,50
11657_5#77,26,122
11657_5#78,28,145
11657_5#79,27,134
11657_5#8,3,19
11657_5#80,3,19
11657_5#81,24,111
11657_5#82,28,145
11657_5#83,28,141
11657_5#84,27,127
11657_5#85,2,12
11657_5#86,28,140
11657_5#87,28,142
11657_5#88,27,134
11657_5#89,3,19
11657_5#9,2,11
11657_5#90,1,3
11657_5#91,20,94
11657_5#92,3,19
11657_5#93,2,13
11657_5#94,18,87
11657_5#95,2,14
11657_5#96,27,134
11657_6#1,2,14
11657_6#10,21,99
11657_6#11,18,83
11657_6#12,1,8
11657_6#13,28,141
11657_6#14,3,18
11657_6#15,24,111
11657_6#16,3,19
11657_6#17,23,108
11657_6#18,22,103
11657_6#19,28,141
11657_6#2,27,136
11657_6#20,1,7
11657_6#21,27,136
11657_6#22,27,133
11657_6#23,8,43
11657_6#24,28,143
11657_6#26,28,143
11657_6#27,22,104
