K AIC BIC log.lk n.param converged n.iter
2 90508524.272687 92000034.2295292 -44973826.1363435 280436 1 1
3 77774115.213135 80011380.1483983 -38466403.6065675 420654 1 1
4 64970285.8822125 67953305.7958969 -31924270.9411063 560872 1 1
5 60055962.5759509 63784737.4680564 -29326891.2879754 701090 1 1
6 52020411.7656553 56494941.6361819 -25168897.8828277 841308 1 1
7 48414105.6022057 53634390.4511534 -23225526.8011029 981526 1 1
8 43384198.3145929 49350238.1419616 -20570355.1572964 1121744 1 1
9 40999871.6312099 47711666.4369998 -19237973.815605 1261962 1 1
10 38655588.3981214 46113138.1823324 -17925614.1990607 1402180 1 1
11 37482340.127763 45685644.8903951 -17198772.0638815 1542398 1 1
12 35036542.6048394 43985602.3458926 -15835655.3024197 1682616 1 1
13 33829890.8165085 43524705.5359827 -15092111.4082542 1822834 1 1
14 32875291.7687449 43315861.4666402 -14474593.8843724 1963052 1 1
15 31466949.492365 42653274.1686814 -13630204.7461825 2103270 1 1
16 30723454.9978027 42655534.6525402 -13118239.4989013 2243488 1 1
17 29505805.2974136 42183639.9305722 -12369196.6487068 2383706 1 1
18 28890794.5979277 42314384.2095074 -11921473.2989639 2523924 1 1
19 27951586.7082482 42120931.298249 -11311651.3541241 2664142 1 1
20 26391167.679961 41306267.2483829 -10391223.8399805 2804360 1 1
21 25849645.6068088 41510500.1536518 -9980244.80340439 2944578 1 1
22 25352530.7489005 41759140.2741646 -9591469.37445027 3084796 1 2
23 24792831.205772 41945195.7094571 -9171401.60288599 3225014 1 2
24 24344551.1951206 42242670.6772269 -8807043.5975603 3365232 1 2
25 24279511.0062807 42923385.466808 -8634305.50314034 3505450 1 2
26 24303445.0384685 43693074.4774169 -8506054.51923423 3645668 1 2
27 24351757.2591922 44487141.6765618 -8389992.62959612 3785886 1 2
28 24264583.8701153 45145723.265906 -8206187.93505766 3926104 1 2
29 24324013.3543443 45950907.728556 -8095684.67717213 4066322 1 2
30 24194502.3883079 46567151.7409407 -7890711.19415394 4206540 1 2
31 24214824.3470888 47333228.6781427 -7760654.17354442 4346758 1 2
32 24262089.6781729 48126248.9876479 -7644068.83908645 4486976 1 2
33 24243124.4337181 48853038.7216142 -7494368.21685903 4627194 1 2
34 24261485.2940152 49617154.5603324 -7363330.64700759 4767412 1 2
35 24047629.476855 50149053.7215933 -7116184.73842751 4907630 1 2
36 24160304.2520056 51007483.475165 -7032304.12600281 5047848 1 2
37 24178212.6912257 51771146.8928061 -6901040.34561283 5188066 1 2
38 24360938.780921 52699627.9609226 -6852185.3904605 5328284 1 2
39 24531292.8655555 53615737.0239781 -6797144.43277773 5468502 1 1
40 24720377.8603623 54550576.9972061 -6751468.93018116 5608720 1 1
41 24856575.7148258 55432529.8300907 -6679349.85741292 5748938 1 1
42 25067515.5297789 56389224.6234649 -6644601.76488947 5889156 1 1
43 25230812.5470166 57298276.6191236 -6586032.2735083 6029374 1 1
44 25383603.5517957 58196822.6023238 -6522209.77589783 6169592 1 1
45 25601531.7553576 59160505.7843068 -6490955.87767878 6309810 1 1
46 25820738.7801294 60125467.7874997 -6460341.3900647 6450028 1 1
47 26048787.9279539 61099271.9137454 -6434147.96397697 6590246 1 1
48 26184875.7866604 61981114.750873 -6361973.89333022 6730464 1 1
49 26413928.0113749 62955921.9540085 -6336282.00568743 6870682 1 1
50 26505187.6888219 63792936.6098766 -6241693.84441093 7010900 1 1
