Isolate K_2 K_3 K_4 K_5 K_6 K_7 K_8 K_9 K_10
14412_3#81 1 1 1 1 1 1 1 1 1
14412_3#82 1 1 1 1 2 2 2 2 2
14412_3#83 1 1 1 1 1 1 3 3 3
14412_3#84 1 1 1 1 2 2 2 2 2
14412_3#85 2 2 2 2 3 3 4 4 4
14412_3#86 2 2 2 2 3 3 4 4 4
14412_3#87 1 1 3 3 4 4 5 5 5
14412_3#88 1 1 1 1 1 1 1 1 1
14412_3#89 1 1 1 1 1 1 1 1 1
14412_3#90 1 1 3 3 4 5 6 6 6
14412_3#91 1 1 1 1 2 2 2 2 2
14412_3#92 1 1 1 1 2 2 2 2 2
14412_3#93 1 1 3 3 4 4 5 5 7
14412_3#94 1 3 4 4 5 6 7 7 8
14412_3#95 1 1 3 3 4 5 6 6 6
14412_4#1 1 1 1 1 2 2 2 2 2
14412_4#10 1 1 1 1 1 1 3 3 3
14412_4#11 2 2 2 5 6 7 8 8 9
14412_4#12 2 2 2 2 3 3 4 4 4
14412_4#13 2 2 2 2 3 3 4 4 4
14412_4#14 1 1 3 3 4 5 6 6 6
14412_4#16 1 1 1 1 1 1 3 9 10
14412_4#17 1 1 1 1 1 1 1 1 1
14412_4#18 1 1 1 1 1 1 1 1 1
14412_4#19 1 3 4 4 5 6 7 7 8
14412_4#2 1 1 1 1 1 1 3 3 3
14412_4#20 1 3 4 4 5 6 7 7 8
14412_4#21 1 3 4 4 5 6 7 7 8
14412_4#22 1 3 4 4 5 6 7 7 8
14412_4#23 1 1 3 3 4 5 6 6 6
14412_4#24 1 1 3 3 4 5 6 6 6
14412_4#25 1 1 1 1 1 1 3 9 10
14412_4#26 1 1 3 3 4 4 5 5 5
14412_4#27 1 3 4 4 5 6 7 7 8
14412_4#28 1 3 4 4 5 6 7 7 8
14412_4#29 1 3 4 4 5 6 7 7 8
14412_4#3 1 1 3 3 4 5 6 6 6
14412_4#30 1 3 4 4 5 6 7 7 8
14412_4#31 1 1 1 1 1 1 3 3 3
14412_4#32 1 1 1 1 1 1 3 3 3
14412_4#33 1 1 1 1 1 1 3 3 3
14412_4#34 1 1 1 1 1 1 3 3 3
14412_4#35 1 1 1 1 2 2 2 2 2
14412_4#36 1 1 1 1 2 2 2 2 2
14412_4#37 1 1 1 1 2 2 2 2 2
14412_4#38 1 1 1 1 1 1 1 1 1
14412_4#39 1 3 4 4 5 6 7 7 8
14412_4#4 1 3 4 4 5 6 7 7 8
14412_4#40 1 3 4 4 5 6 7 7 8
14412_4#41 1 1 1 1 2 2 2 2 2
14412_4#42 1 1 3 3 4 4 5 5 5
14412_4#43 1 1 1 1 1 1 1 1 1
14412_4#44 1 1 1 1 2 2 2 2 2
14412_4#45 1 1 1 1 1 1 3 9 10
14412_4#46 1 1 1 1 1 1 3 9 10
14412_4#47 2 2 2 5 6 7 8 8 9
14412_4#48 2 2 2 5 6 7 8 8 9
14412_4#49 2 2 2 5 6 7 8 8 9
14412_4#5 1 3 4 4 5 6 7 7 8
14412_4#50 1 1 1 1 1 1 3 3 3
14412_4#51 1 1 1 1 1 1 3 3 3
14412_4#52 1 1 3 3 4 4 5 5 7
14412_4#53 1 1 3 3 4 4 5 5 7
14412_4#54 1 1 3 3 4 4 5 5 5
14412_4#55 1 1 1 1 1 1 1 1 1
14412_4#56 1 1 3 3 4 4 5 5 5
14412_4#57 1 3 4 4 5 6 7 7 8
14412_4#58 1 3 4 4 5 6 7 7 8
14412_4#59 1 1 1 1 2 2 2 2 2
14412_4#6 1 1 1 1 1 1 3 3 3
14412_4#60 1 1 1 1 2 2 2 2 2
14412_4#61 1 1 1 1 2 2 2 2 2
14412_4#7 1 1 1 1 1 1 3 3 3
14412_4#8 1 1 1 1 1 1 1 1 1
14412_4#9 1 1 1 1 1 1 1 1 1
