Isolates,Level 1,Level 2
14412_3#81,13,28
14412_3#82,2,2
14412_3#83,9,13
14412_3#84,10,14
14412_3#85,3,3
14412_3#86,3,3
14412_3#87,11,22
14412_3#88,13,29
14412_3#89,13,29
14412_3#90,12,24
14412_3#91,10,15
14412_3#92,10,15
14412_3#93,11,21
14412_3#94,5,8
14412_3#95,12,25
14412_4#1,10,16
14412_4#10,9,12
14412_4#11,1,1
14412_4#12,4,4
14412_4#13,4,4
14412_4#14,12,23
14412_4#16,6,9
14412_4#17,13,31
14412_4#18,13,31
14412_4#19,5,6
14412_4#2,14,33
14412_4#20,5,6
14412_4#21,5,8
14412_4#22,5,8
14412_4#23,12,26
14412_4#24,12,26
14412_4#25,6,9
14412_4#26,11,20
14412_4#27,5,8
14412_4#28,5,8
14412_4#29,5,6
14412_4#3,12,25
14412_4#30,5,6
14412_4#31,14,35
14412_4#32,14,35
14412_4#33,14,34
14412_4#34,14,34
14412_4#35,7,10
14412_4#36,2,2
14412_4#37,2,2
14412_4#38,13,32
14412_4#39,5,7
14412_4#4,5,7
14412_4#40,5,7
14412_4#41,2,2
14412_4#42,11,19
14412_4#43,13,27
14412_4#44,10,15
14412_4#45,6,9
14412_4#46,6,9
14412_4#47,4,5
14412_4#48,4,5
14412_4#49,4,5
14412_4#5,5,7
14412_4#50,9,13
14412_4#51,9,13
14412_4#52,8,11
14412_4#53,8,11
14412_4#54,11,18
14412_4#55,13,30
14412_4#56,11,17
14412_4#57,5,8
14412_4#58,5,8
14412_4#59,7,10
14412_4#6,9,13
14412_4#60,7,10
14412_4#61,10,16
14412_4#7,9,13
14412_4#8,13,32
14412_4#9,13,32
