Isolates,Level 1
14412_3#81,3
14412_3#82,3
14412_3#83,3
14412_3#84,3
14412_3#85,1
14412_3#86,1
14412_3#87,3
14412_3#88,3
14412_3#89,3
14412_3#90,3
14412_3#91,3
14412_3#92,3
14412_3#93,3
14412_3#94,2
14412_3#95,3
14412_4#1,3
14412_4#10,3
14412_4#11,1
14412_4#12,1
14412_4#13,1
14412_4#14,3
14412_4#16,3
14412_4#17,3
14412_4#18,3
14412_4#19,2
14412_4#2,3
14412_4#20,2
14412_4#21,2
14412_4#22,2
14412_4#23,3
14412_4#24,3
14412_4#25,3
14412_4#26,3
14412_4#27,2
14412_4#28,2
14412_4#29,2
14412_4#3,3
14412_4#30,2
14412_4#31,3
14412_4#32,3
14412_4#33,3
14412_4#34,3
14412_4#35,3
14412_4#36,3
14412_4#37,3
14412_4#38,3
14412_4#39,2
14412_4#4,2
14412_4#40,2
14412_4#41,3
14412_4#42,3
14412_4#43,3
14412_4#44,3
14412_4#45,3
14412_4#46,3
14412_4#47,1
14412_4#48,1
14412_4#49,1
14412_4#5,2
14412_4#50,3
14412_4#51,3
14412_4#52,3
14412_4#53,3
14412_4#54,3
14412_4#55,3
14412_4#56,3
14412_4#57,2
14412_4#58,2
14412_4#59,3
14412_4#6,3
14412_4#60,3
14412_4#61,3
14412_4#7,3
14412_4#8,3
14412_4#9,3
