Isolate K_2 K_3 K_4 K_5 K_6 K_7 K_8 K_9 K_10 K_11 K_12 K_13 K_14 K_15 K_16 K_17 K_18 K_19 K_20 K_21 K_22 K_23 K_24 K_25 K_26 K_27 K_28 K_29 K_30
14412_3#81 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
14412_3#82 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
14412_3#83 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
14412_3#84 1 1 1 1 2 2 2 2 2 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
14412_3#85 2 2 2 2 3 3 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
14412_3#86 2 2 2 2 3 3 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
14412_3#87 1 1 3 3 4 4 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
14412_3#88 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 7 7 7 7 7
14412_3#89 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 7 7 7 7 7
14412_3#90 1 1 3 3 4 5 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8 8
14412_3#91 1 1 1 1 2 2 2 2 2 2 2 2 2 4 4 4 4 4 4 4 8 8 8 8 9 9 9 9 9
14412_3#92 1 1 1 1 2 2 2 2 2 2 2 2 2 4 4 4 4 4 4 4 8 8 8 8 9 9 9 9 9
14412_3#93 1 1 3 3 4 4 5 5 7 7 7 7 7 8 8 8 8 8 8 8 9 9 9 9 10 10 10 10 10
14412_3#94 1 3 4 4 5 6 7 7 8 8 8 8 8 9 9 9 9 9 9 9 10 10 10 10 11 11 11 11 11
14412_3#95 1 1 3 3 4 5 6 6 6 6 6 9 9 10 10 10 10 10 10 10 11 11 11 11 12 12 12 12 12
14412_4#1 1 1 1 1 2 2 2 2 2 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 13 13
14412_4#10 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 14
14412_4#11 2 2 2 5 6 7 8 8 9 9 9 10 10 11 11 11 11 11 11 11 12 12 12 12 13 13 13 14 15
14412_4#12 2 2 2 2 3 3 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
14412_4#13 2 2 2 2 3 3 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
