K AIC BIC log.lk n.param converged n.iter
2 5979911.35840954 6546393.51790613 -2745517.67920477 244438 1 1
3 5103448.02743526 5953171.26668014 -2185067.01371763 366657 1 1
4 4794512.0486977 5927476.36769087 -1908380.02434885 488876 1 1
5 4707458.82024437 6123664.21898584 -1742634.41012218 611095 1 1
6 4561287.15525057 6260733.63374034 -1547329.57762529 733314 1 1
7 4566862.60844164 6549550.1666797 -1427898.30422082 855533 1 1
8 4514769.75159522 6780698.38958158 -1279632.87579761 977752 1 1
9 4537654.07045321 7086823.78818786 -1168856.03522661 1099971 1 1
10 4621134.30975561 7453545.10723856 -1088377.15487781 1222190 1 1
11 4654463.31229192 7770115.18952315 -982822.656145958 1344409 1 1
12 4725126.81730737 8124019.7742869 -895935.408653686 1466628 1 1
13 4858765.65256044 8540899.68928827 -840535.826280221 1588847 1 1
14 5005080.72001039 8970455.83648651 -791474.360005195 1711066 1 1
15 5094383.2462371 9342999.44246152 -713906.623118552 1833285 1 1
16 5196275.06787525 9728132.34384796 -642633.533937628 1955504 1 1
17 5347568.82292575 10162667.1786468 -596061.411462874 2077723 1 1
18 5475058.01707655 10573397.4525458 -537587.008538275 2199942 1 1
19 5609006.65726718 10990587.1724848 -482342.328633589 2322161 1 1
20 5756774.98695464 11421596.5819205 -434007.493477322 2444380 1 1
21 5937510.12342694 11885572.7981411 -402156.061713468 2566599 1 1
22 6089360.61843198 12320664.3728945 -355862.309215992 2688818 1 1
23 6284079.3494841 12798624.1836949 -331002.67474205 2811037 1 1
24 6481050.22047426 13278836.1344333 -307269.110237132 2933256 1 1
25 6684348.40209135 13765375.3957987 -286699.201045676 3055475 1 1
26 6881217.56473699 14245485.6381926 -262914.782368493 3177694 1 1
27 7072416.27939159 14719925.4325955 -236295.139695796 3299913 1 1
28 7273357.54414836 15204107.7771006 -214546.772074178 3422132 1 1
29 7474488.01399319 15688479.3266937 -192893.006996593 3544351 1 1
30 7665586.24069597 16162818.6331448 -166223.120347984 3666570 1 1
31 7871882.9933577 16652356.4655548 -147152.496678852 3788789 1 1
32 8089330.84543509 17153045.3973805 -133657.422717543 3911008 1 1
33 8309392.02027628 17656347.65197 -121469.01013814 4033227 1 1
34 8535898.53854518 18166095.2499872 -112503.269272589 4155446 1 1
35 8766715.57224271 18680153.363433 -105692.786121353 4277665 1 1
36 9004030.10014487 19200708.9710835 -102131.050072434 4399884 1 1
37 9242012.33007973 19721932.2807666 -98903.1650398658 4522103 1 1
38 9483544.10885745 20246705.1392926 -97450.0544287274 4644322 1 1
39 9725278.58621529 20771680.6963988 -96098.2931076429 4766541 1 1
40 9967144.66759603 21296787.8575278 -94812.3337980159 4888760 1 1
41 10209625.191355 21822509.461035 -93833.5956774812 5010979 1 1
42 10451983.4922034 22348108.8416318 -92793.7461017097 5133198 1 1
43 10695043.969717 22874410.3988937 -92104.9848585198 5255417 1 1
44 10938525.3568793 23401132.8658042 -91626.678439638 5377636 1 1
45 11181679.4359605 23927528.0246337 -90984.7179802447 5499855 1 1
46 11425387.3387031 24454477.0071247 -90619.6693515657 5622074 1 1
47 11669303.3014117 24981634.0495815 -90358.6507058331 5744293 1 1
48 11913279.0895983 25508850.9175164 -90127.5447991276 5866512 1 1
49 12157557.0235705 26036369.931237 -90047.5117852714 5988731 1 1
50 12401907.5618254 26563961.5492401 -90003.7809126879 6110950 1 1
