Isolate,level 1,level 2
12673_8#24,1,1
12673_8#26,1,1
12673_8#27,1,2
12673_8#28,1,3
12673_8#29,1,1
12673_8#31,1,1
12673_8#32,1,3
12673_8#34,1,3
12673_8#36,1,4
12673_8#37,1,5
12673_8#39,2,10
12673_8#41,1,1
12673_8#42,1,4
12673_8#43,1,6
12754_4#66,1,1
12754_4#68,1,4
12754_4#70,1,4
12754_4#71,3,12
12754_4#73,1,7
12754_4#74,1,7
12754_4#75,1,4
12754_4#77,1,6
12754_4#78,3,13
12754_4#79,3,13
12754_4#80,1,2
12754_4#81,3,14
12754_4#82,1,6
12754_4#84,2,11
12754_4#85,1,1
12754_4#87,3,12
12754_4#88,1,8
12754_4#89,2,11
12754_4#90,3,14
12754_4#92,3,15
12754_4#94,2,11
12754_4#95,1,6
12754_5#11,1,6
12754_5#12,3,14
12754_5#13,1,6
12754_5#14,3,16
12754_5#16,2,11
12754_5#18,1,4
12754_5#19,3,14
12754_5#2,3,17
12754_5#20,2,11
12754_5#22,1,1
12754_5#24,1,1
12754_5#26,1,4
12754_5#28,1,8
12754_5#3,1,6
12754_5#30,3,14
12754_5#32,1,1
12754_5#33,1,6
12754_5#35,3,14
12754_5#36,1,1
12754_5#37,3,14
12754_5#39,3,14
12754_5#40,1,6
12754_5#42,3,16
12754_5#43,1,6
12754_5#45,1,4
12754_5#46,3,13
12754_5#47,1,1
12754_5#49,3,16
12754_5#5,2,11
12754_5#51,1,4
12754_5#52,3,13
12754_5#53,1,4
12754_5#55,1,3
12754_5#57,1,9
12754_5#59,1,3
12754_5#6,1,7
12754_5#61,1,1
12754_5#62,3,17
12754_5#64,1,4
12754_5#66,3,14
12754_5#68,1,6
12754_5#70,1,6
12754_5#71,1,1
12754_5#72,3,15
12754_5#73,3,13
12754_5#74,1,1
12754_5#76,1,4
12754_5#78,1,1
12754_5#8,1,4
12754_5#80,1,1
12754_5#82,3,18
12754_5#84,1,1
12754_5#86,1,1
12754_5#88,2,11
12754_5#89,1,1
12754_5#9,1,6
12754_5#90,1,4
12754_5#92,1,4
12754_5#94,3,13
12754_5#95,1,1
19183_4#48,3,14
19183_4#49,1,1
19183_4#50,1,7
19183_4#51,3,14
19183_4#52,1,6
19183_4#53,1,6
19183_4#54,1,4
19183_4#55,2,11
19183_4#56,1,3
19183_4#57,1,1
19183_4#58,1,5
19183_4#59,3,17
19183_4#60,1,1
19183_4#61,1,1
19183_4#62,3,15
19183_4#63,3,15
19183_4#64,1,8
19183_4#65,3,14
19183_4#66,1,3
19183_4#67,1,5
19183_4#68,3,18
19183_4#69,1,6
19183_4#70,3,15
19183_4#71,1,9
19183_4#72,1,3
19183_4#73,1,1
19183_4#74,3,12
19183_4#75,2,11
19183_4#76,3,15
19183_4#77,1,4
19183_4#78,1,1
19183_4#79,1,1
