K AIC BIC log.lk n.param converged n.iter
2 5202725.68559373 6058511.59064598 -2301300.84279686 300062 1 1
3 5045026.98835715 6328705.84593553 -2072420.49417858 450093 1 1
4 4837537.65700662 6549109.46711112 -1818644.82850331 600124 1 1
5 4779877.67365065 6919342.43628127 -1639783.83682532 750155 1 1
6 4844610.29290471 7411968.00806145 -1522119.14645236 900186 1 1
7 4948532.97041155 7943783.63809442 -1424049.48520577 1050217 1 1
8 5068617.62827436 8491761.24848336 -1334060.81413718 1200248 1 1
9 4892873.87236017 8743910.44509529 -1096157.93618008 1350279 1 1
10 5034894.74576687 9313824.27102811 -1017137.37288344 1500310 1 1
11 5199295.95777345 9906118.43556081 -949306.978886724 1650341 1 1
12 5391644.08139453 10526359.511708 -895450.040697265 1800372 1 1
13 5578492.2232007 11141100.6060403 -838843.111600352 1950403 1 1
14 5586357.6972515 11576859.0326172 -692744.848625748 2100434 1 1
15 5636008.81868082 12054403.1065727 -567539.409340408 2250465 1 1
16 5844889.0357048 12691176.2761228 -521948.517852398 2400496 1 1
17 6063744.36695011 13337924.5598942 -481345.183475056 2550527 1 1
18 6276510.11983768 13978583.2653079 -437697.059918841 2700558 1 1
19 6538963.56941589 14668929.6674122 -418892.784707943 2850589 1 1
20 6761837.07707405 15319696.1275965 -380298.538537023 3000620 1 1
21 7013416.97194389 15999168.9749925 -356057.485971943 3150651 1 1
22 7255415.21636757 16669060.1719423 -327025.608183787 3300682 1 1
23 7516271.92020696 17357809.8283078 -307422.960103481 3450713 1 1
24 7775084.24627276 18044515.1068997 -286798.123136381 3600744 1 1
25 8034891.7663188 18732215.5794719 -266670.8831594 3750775 1 1
26 8302190.86790357 19427407.6335828 -250289.433951785 3900806 1 1
27 8568315.19036086 20121424.9085662 -233320.595180431 4050837 1 1
28 8848342.75521212 20829345.4259436 -223303.377606057 4200868 1 1
29 9127419.55372958 21536315.1769872 -212810.776864788 4350899 1 1
30 9410073.93326181 22246862.5090455 -204106.966630906 4500930 1 1
