Isolates,Level 1,Level 2
S_pneumoniae_Spanish_23F.dna,1,1
6259_5#10_S_pneumoniae_Spanish_23F.dna,29,118
6259_5#11_S_pneumoniae_Spanish_23F.dna,22,86
6259_5#12_S_pneumoniae_Spanish_23F.dna,28,113
6259_5#13_S_pneumoniae_Spanish_23F.dna,14,52
6259_5#14_S_pneumoniae_Spanish_23F.dna,29,143
6259_5#15_S_pneumoniae_Spanish_23F.dna,29,143
6259_5#16_S_pneumoniae_Spanish_23F.dna,31,147
6259_5#17_S_pneumoniae_Spanish_23F.dna,29,143
6259_5#18_S_pneumoniae_Spanish_23F.dna,26,107
6259_5#19_S_pneumoniae_Spanish_23F.dna,29,143
6259_5#1_S_pneumoniae_Spanish_23F.dna,28,114
6259_5#20_S_pneumoniae_Spanish_23F.dna,27,112
6259_5#21_S_pneumoniae_Spanish_23F.dna,29,139
6259_5#22_S_pneumoniae_Spanish_23F.dna,33,161
6259_5#23_S_pneumoniae_Spanish_23F.dna,29,119
6259_5#24_S_pneumoniae_Spanish_23F.dna,19,69
6259_5#2_S_pneumoniae_Spanish_23F.dna,31,147
6259_5#3_S_pneumoniae_Spanish_23F.dna,27,112
6259_5#4_S_pneumoniae_Spanish_23F.dna,29,143
6259_5#5_S_pneumoniae_Spanish_23F.dna,27,111
6259_5#6_S_pneumoniae_Spanish_23F.dna,29,143
6259_5#7_S_pneumoniae_Spanish_23F.dna,29,143
6259_5#8_S_pneumoniae_Spanish_23F.dna,28,114
6259_5#9_S_pneumoniae_Spanish_23F.dna,31,155
6259_6#10_S_pneumoniae_Spanish_23F.dna,28,113
6259_6#11_S_pneumoniae_Spanish_23F.dna,31,155
6259_6#12_S_pneumoniae_Spanish_23F.dna,31,155
6259_6#13_S_pneumoniae_Spanish_23F.dna,29,118
6259_6#14_S_pneumoniae_Spanish_23F.dna,29,139
6259_6#15_S_pneumoniae_Spanish_23F.dna,29,120
6259_6#16_S_pneumoniae_Spanish_23F.dna,31,147
6259_6#17_S_pneumoniae_Spanish_23F.dna,29,140
6259_6#18_S_pneumoniae_Spanish_23F.dna,10,34
6259_6#19_S_pneumoniae_Spanish_23F.dna,24,94
6259_6#1_S_pneumoniae_Spanish_23F.dna,25,101
6259_6#20_S_pneumoniae_Spanish_23F.dna,10,34
6259_6#21_S_pneumoniae_Spanish_23F.dna,7,20
6259_6#22_S_pneumoniae_Spanish_23F.dna,31,155
6259_6#23_S_pneumoniae_Spanish_23F.dna,23,92
6259_6#24_S_pneumoniae_Spanish_23F.dna,23,92
6259_6#2_S_pneumoniae_Spanish_23F.dna,10,31
6259_6#3_S_pneumoniae_Spanish_23F.dna,29,121
6259_6#4_S_pneumoniae_Spanish_23F.dna,9,27
6259_6#5_S_pneumoniae_Spanish_23F.dna,29,143
6259_6#6_S_pneumoniae_Spanish_23F.dna,23,88
6259_6#7_S_pneumoniae_Spanish_23F.dna,9,27
6259_6#8_S_pneumoniae_Spanish_23F.dna,9,29
6259_6#9_S_pneumoniae_Spanish_23F.dna,2,3
6259_7#10_S_pneumoniae_Spanish_23F.dna,6,15
6259_7#11_S_pneumoniae_Spanish_23F.dna,19,69
6259_7#12_S_pneumoniae_Spanish_23F.dna,5,14
6259_7#13_S_pneumoniae_Spanish_23F.dna,5,14
6259_7#14_S_pneumoniae_Spanish_23F.dna,10,31
6259_7#15_S_pneumoniae_Spanish_23F.dna,29,143
6259_7#16_S_pneumoniae_Spanish_23F.dna,27,111
6259_7#17_S_pneumoniae_Spanish_23F.dna,27,110
6259_7#18_S_pneumoniae_Spanish_23F.dna,28,113
6259_7#19_S_pneumoniae_Spanish_23F.dna,31,148
6259_7#1_S_pneumoniae_Spanish_23F.dna,19,70
6259_7#20_S_pneumoniae_Spanish_23F.dna,29,122
6259_7#21_S_pneumoniae_Spanish_23F.dna,29,122
6259_7#22_S_pneumoniae_Spanish_23F.dna,9,27
6259_7#23_S_pneumoniae_Spanish_23F.dna,28,113
6259_7#24_S_pneumoniae_Spanish_23F.dna,27,112
6259_7#2_S_pneumoniae_Spanish_23F.dna,9,27
6259_7#3_S_pneumoniae_Spanish_23F.dna,27,111
6259_7#4_S_pneumoniae_Spanish_23F.dna,26,107
6259_7#5_S_pneumoniae_Spanish_23F.dna,15,55
6259_7#6_S_pneumoniae_Spanish_23F.dna,8,26
6259_7#7_S_pneumoniae_Spanish_23F.dna,2,3
6259_7#8_S_pneumoniae_Spanish_23F.dna,2,3
6259_7#9_S_pneumoniae_Spanish_23F.dna,29,142
6259_8#10_S_pneumoniae_Spanish_23F.dna,12,40
6259_8#11_S_pneumoniae_Spanish_23F.dna,12,40
6259_8#12_S_pneumoniae_Spanish_23F.dna,5,14
6259_8#13_S_pneumoniae_Spanish_23F.dna,25,102
6259_8#14_S_pneumoniae_Spanish_23F.dna,29,143
6259_8#15_S_pneumoniae_Spanish_23F.dna,29,123
6259_8#16_S_pneumoniae_Spanish_23F.dna,13,46
6259_8#17_S_pneumoniae_Spanish_23F.dna,27,112
6259_8#18_S_pneumoniae_Spanish_23F.dna,33,161
6259_8#19_S_pneumoniae_Spanish_23F.dna,29,141
6259_8#1_S_pneumoniae_Spanish_23F.dna,24,94
6259_8#20_S_pneumoniae_Spanish_23F.dna,31,149
6259_8#21_S_pneumoniae_Spanish_23F.dna,10,31
6259_8#22_S_pneumoniae_Spanish_23F.dna,22,84
6259_8#23_S_pneumoniae_Spanish_23F.dna,13,44
6259_8#24_S_pneumoniae_Spanish_23F.dna,29,140
6259_8#2_S_pneumoniae_Spanish_23F.dna,13,45
6259_8#3_S_pneumoniae_Spanish_23F.dna,5,14
6259_8#4_S_pneumoniae_Spanish_23F.dna,20,77
6259_8#5_S_pneumoniae_Spanish_23F.dna,27,110
6259_8#6_S_pneumoniae_Spanish_23F.dna,30,144
6259_8#7_S_pneumoniae_Spanish_23F.dna,27,110
6259_8#8_S_pneumoniae_Spanish_23F.dna,29,124
6259_8#9_S_pneumoniae_Spanish_23F.dna,31,155
6593_4#10_S_pneumoniae_Spanish_23F.dna,29,125
6593_4#11_S_pneumoniae_Spanish_23F.dna,29,125
6593_4#12_S_pneumoniae_Spanish_23F.dna,29,140
6593_4#13_S_pneumoniae_Spanish_23F.dna,30,146
6593_4#14_S_pneumoniae_Spanish_23F.dna,29,143
6593_4#15_S_pneumoniae_Spanish_23F.dna,30,146
6593_4#16_S_pneumoniae_Spanish_23F.dna,8,24
6593_4#17_S_pneumoniae_Spanish_23F.dna,23,92
6593_4#18_S_pneumoniae_Spanish_23F.dna,10,34
6593_4#19_S_pneumoniae_Spanish_23F.dna,29,139
6593_4#1_S_pneumoniae_Spanish_23F.dna,12,40
6593_4#20_S_pneumoniae_Spanish_23F.dna,25,100
6593_4#21_S_pneumoniae_Spanish_23F.dna,29,143
6593_4#22_S_pneumoniae_Spanish_23F.dna,8,26
6593_4#23_S_pneumoniae_Spanish_23F.dna,29,140
6593_4#24_S_pneumoniae_Spanish_23F.dna,6,15
6593_4#2_S_pneumoniae_Spanish_23F.dna,30,146
6593_4#3_S_pneumoniae_Spanish_23F.dna,31,147
