Isolates,Level 1,Level 2
14324_4#1,12,41
14324_4#10,12,41
14324_4#11,9,25
14324_4#12,12,41
14324_4#13,7,17
14324_4#14,7,17
14324_4#15,6,14
14324_4#16,6,15
14324_4#17,9,26
14324_4#18,9,25
14324_4#19,14,47
14324_4#2,9,26
14324_4#20,9,25
14324_4#21,11,31
14324_4#22,12,40
14324_4#23,1,2
14324_4#24,6,14
14324_4#25,12,39
14324_4#26,9,25
14324_4#27,6,15
14324_4#28,12,41
14324_4#29,9,25
14324_4#3,9,26
14324_4#30,1,2
14324_4#31,9,26
14324_4#32,12,39
14324_4#33,12,41
14324_4#34,11,31
14324_4#35,1,1
14324_4#36,12,41
14324_4#37,1,2
14324_4#38,9,26
14324_4#39,2,4
14324_4#4,7,17
14324_4#40,6,15
14324_4#41,7,17
14324_4#42,9,26
14324_4#43,9,26
14324_4#44,2,4
14324_4#45,12,41
14324_4#46,9,26
14324_4#47,9,26
14324_4#48,3,7
14324_4#49,13,45
14324_4#5,6,15
14324_4#50,10,30
14324_4#51,6,15
14324_4#52,9,25
14324_4#53,12,41
14324_4#54,14,47
14324_4#55,1,2
14324_4#56,9,25
14324_4#57,12,41
14324_4#58,1,2
14324_4#59,11,31
14324_4#6,7,17
14324_4#60,2,4
14324_4#61,14,47
14324_4#62,1,2
14324_4#63,12,37
14324_4#64,3,7
14324_4#65,9,25
14324_4#66,12,40
14324_4#67,14,47
14324_4#68,9,25
14324_4#69,12,39
14324_4#7,14,47
14324_4#70,4,9
14324_4#71,4,9
14324_4#72,12,41
14324_4#73,14,47
14324_4#74,14,47
14324_4#75,3,5
14324_4#76,10,30
14324_4#77,3,7
14324_4#78,9,25
14324_4#79,9,25
14324_4#8,12,41
14324_4#80,12,39
14324_4#81,1,2
14324_4#82,12,40
14324_4#83,1,2
14324_4#84,3,7
14324_4#85,6,15
14324_4#86,11,31
14324_4#87,13,42
14324_4#88,9,26
14324_4#89,12,41
14324_4#9,1,2
14324_4#90,9,26
14324_4#91,6,14
14324_4#92,9,26
14324_4#93,2,4
14324_4#94,6,15
14324_4#95,9,25
14324_5#1,10,27
14324_5#10,10,30
14324_5#11,9,25
14324_5#12,9,25
14324_5#13,13,45
14324_5#14,13,45
14324_5#15,5,12
14324_5#16,5,12
14324_5#17,8,23
14324_5#18,8,23
14324_5#19,8,23
14324_5#2,10,27
14324_5#20,12,40
14324_5#21,12,40
14324_5#22,10,28
14324_5#23,10,28
14324_5#24,9,25
14324_5#25,9,25
14324_5#26,9,25
14324_5#27,14,47
14324_5#28,14,47
14324_5#29,13,43
14324_5#3,12,40
14324_5#30,13,43
14324_5#31,13,43
14324_5#32,9,25
14324_5#33,9,25
14324_5#34,9,25
14324_5#35,9,25
14324_5#36,14,47
14324_5#37,14,47
14324_5#38,9,25
14324_5#39,9,25
14324_5#4,12,40
14324_5#40,9,25
14324_5#41,8,23
14324_5#42,8,23
14324_5#43,8,23
14324_5#44,8,21
14324_5#45,8,21
14324_5#46,9,26
14324_5#47,9,26
14324_5#48,11,32
14324_5#49,11,32
14324_5#5,9,25
14324_5#50,11,32
14324_5#51,9,25
14324_5#52,9,25
