Isolates,Level 1
14324_4#1,9
14324_4#10,9
14324_4#11,12
14324_4#12,9
14324_4#13,8
14324_4#14,8
14324_4#15,10
14324_4#16,10
14324_4#17,12
14324_4#18,12
14324_4#19,14
14324_4#2,12
14324_4#20,12
14324_4#21,16
14324_4#22,9
14324_4#23,1
14324_4#24,10
14324_4#25,9
14324_4#26,12
14324_4#27,10
14324_4#28,9
14324_4#29,12
14324_4#3,12
14324_4#30,1
14324_4#31,12
14324_4#32,9
14324_4#33,9
14324_4#34,16
14324_4#35,1
14324_4#36,9
14324_4#37,1
14324_4#38,12
14324_4#39,2
14324_4#4,8
14324_4#40,10
14324_4#41,8
14324_4#42,12
14324_4#43,12
14324_4#44,2
14324_4#45,9
14324_4#46,12
14324_4#47,12
14324_4#48,3
14324_4#49,15
14324_4#5,10
14324_4#50,13
14324_4#51,10
14324_4#52,15
14324_4#53,9
14324_4#54,14
14324_4#55,1
14324_4#56,12
14324_4#57,9
14324_4#58,1
14324_4#59,16
14324_4#6,8
14324_4#60,2
14324_4#61,14
14324_4#62,1
14324_4#63,9
14324_4#64,3
14324_4#65,12
14324_4#66,9
14324_4#67,14
14324_4#68,15
14324_4#69,9
14324_4#7,14
14324_4#70,4
14324_4#71,4
14324_4#72,9
14324_4#73,16
14324_4#74,14
14324_4#75,3
14324_4#76,13
14324_4#77,3
14324_4#78,12
14324_4#79,12
14324_4#8,9
14324_4#80,9
14324_4#81,1
14324_4#82,9
14324_4#83,1
14324_4#84,3
14324_4#85,10
14324_4#86,16
14324_4#87,15
14324_4#88,12
14324_4#89,9
14324_4#9,1
14324_4#90,12
14324_4#91,10
14324_4#92,12
14324_4#93,2
14324_4#94,10
14324_4#95,12
14324_5#1,13
14324_5#10,13
14324_5#11,12
14324_5#12,12
14324_5#13,15
14324_5#14,15
14324_5#15,5
14324_5#16,5
14324_5#17,11
14324_5#18,11
14324_5#19,11
14324_5#2,13
14324_5#20,9
14324_5#21,9
14324_5#22,13
14324_5#23,13
14324_5#24,12
14324_5#25,12
14324_5#26,12
14324_5#27,14
14324_5#28,14
14324_5#29,15
14324_5#3,9
14324_5#30,15
14324_5#31,15
14324_5#32,12
14324_5#33,12
14324_5#34,12
14324_5#35,12
14324_5#36,6
14324_5#37,6
14324_5#38,12
14324_5#39,12
14324_5#4,9
14324_5#40,12
14324_5#41,11
14324_5#42,11
14324_5#43,11
14324_5#44,11
14324_5#45,11
14324_5#46,12
14324_5#47,12
14324_5#48,16
14324_5#49,16
14324_5#5,12
14324_5#50,16
14324_5#51,12
14324_5#52,12
14324_5#53,12
14324_5#54,12
14324_5#55,12
14324_5#56,12
14324_5#57,9
14324_5#58,9
14324_5#59,9
14324_5#6,12
14324_5#60,14
14324_5#61,14
14324_5#62,5
14324_5#63,5
14324_5#64,9
14324_5#65,9
14324_5#66,9
14324_5#67,10
14324_5#68,10
14324_5#69,10
14324_5#7,12
14324_5#70,11
14324_5#72,11
14324_5#73,11
14324_5#74,15
14324_5#75,15
14324_5#76,8
14324_5#77,8
14324_5#78,8
14324_5#79,16
14324_5#8,12
14324_5#80,16
14324_5#81,12
14324_5#83,11
14324_5#84,11
14324_5#85,8
14324_5#86,8
14324_5#87,12
14324_5#88,12
14324_5#89,12
14324_5#9,13
14324_5#90,8
14324_5#91,8
14324_5#92,12
14324_5#93,12
14324_5#94,12
14324_5#95,11
14355_4#1,12
14355_4#10,10
14355_4#11,12
14355_4#12,2
14355_4#13,10
14355_4#14,12
14355_4#15,12
14355_4#16,2
14355_4#17,12
14355_4#18,16
14355_4#19,9
14355_4#2,6
14355_4#20,10
14355_4#21,5
14355_4#22,10
14355_4#23,10
14355_4#24,10
14355_4#25,12
14355_4#26,10
14355_4#27,9
14355_4#28,10
14355_4#29,12
14355_4#3,12
14355_4#30,12
14355_4#31,12
14355_4#32,12
14355_4#33,15
14355_4#34,9
14355_4#35,12
14355_4#36,15
14355_4#37,14
14355_4#38,5
14355_4#39,13
14355_4#4,9
14355_4#40,9
14355_4#41,5
14355_4#42,5
14355_4#43,9
14355_4#44,12
14355_4#45,9
14355_4#46,8
14355_4#47,2
14355_4#48,9
14355_4#5,10
14355_4#50,12
14355_4#51,9
14355_4#52,9
14355_4#53,9
14355_4#54,9
14355_4#55,8
14355_4#56,12
14355_4#57,2
14355_4#58,11
14355_4#59,10
14355_4#6,12
14355_4#60,9
14355_4#61,12
14355_4#62,5
14355_4#63,15
14355_4#64,10
14355_4#65,12
14355_4#66,7
14355_4#67,10
14355_4#68,9
14355_4#69,12
14355_4#7,10
14355_4#71,12
14355_4#72,16
14355_4#74,10
14355_4#75,10
14355_4#76,5
14355_4#77,8
14355_4#78,15
14355_4#79,8
14355_4#8,10
14355_4#80,14
14355_4#81,8
14355_4#82,12
14355_4#83,9
14355_4#84,12
14355_4#85,12
14355_4#86,12
14355_4#87,12
14355_4#88,2
14355_4#89,12
14355_4#9,12
14355_4#90,2
14355_4#91,8
14355_4#92,9
14355_4#93,10
14355_4#94,12
14355_4#95,10
14355_5#1,9
14355_5#10,10
14355_5#11,10
14355_5#12,12
14355_5#13,10
14355_5#14,9
14355_5#15,10
14355_5#16,8
14355_5#17,9
14355_5#18,9
14355_5#19,10
14355_5#2,9
14355_5#20,12
14355_5#21,9
14355_5#22,12
14355_5#23,10
14355_5#24,12
14355_5#25,8
14355_5#26,8
14355_5#27,10
14355_5#28,10
14355_5#29,8
14355_5#3,14
14355_5#30,10
14355_5#31,9
14355_5#32,2
14355_5#33,8
14355_5#34,11
14355_5#35,12
14355_5#36,12
14355_5#37,12
14355_5#38,8
14355_5#39,12
14355_5#4,8
14355_5#40,16
14355_5#41,14
14355_5#42,12
14355_5#43,12
14355_5#44,8
14355_5#45,8
14355_5#46,8
14355_5#47,9
14355_5#48,12
14355_5#49,12
14355_5#5,14
14355_5#50,12
14355_5#51,9
14355_5#52,12
14355_5#53,12
14355_5#54,8
14355_5#55,9
14355_5#56,10
14355_5#57,12
14355_5#58,12
14355_5#59,11
14355_5#6,9
14355_5#60,8
14355_5#61,15
14355_5#62,11
14355_5#63,2
14355_5#64,12
14355_5#65,9
14355_5#66,12
14355_5#67,12
14355_5#68,6
14355_5#69,8
14355_5#7,15
14355_5#70,12
14355_5#71,9
14355_5#72,8
14355_5#73,12
14355_5#74,8
14355_5#75,6
14355_5#76,14
14355_5#77,8
14355_5#78,14
14355_5#79,10
14355_5#8,2
14355_5#80,12
14355_5#81,8
14355_5#82,11
14355_5#83,14
14355_5#84,12
14355_5#85,8
14355_5#86,8
14355_5#87,8
14355_5#88,9
14355_5#89,9
14355_5#9,10
14355_5#90,12
14355_5#91,8
14355_5#92,9
14355_5#93,8
14355_5#94,9
14355_5#95,2
14355_6#1,8
14355_6#10,9
14355_6#11,12
14355_6#12,9
14355_6#13,8
14355_6#14,8
14355_6#15,2
14355_6#16,12
14355_6#17,8
14355_6#18,11
14355_6#19,8
14355_6#2,9
14355_6#20,8
14355_6#21,8
14355_6#22,10
14355_6#23,8
14355_6#24,8
14355_6#25,8
14355_6#27,6
14355_6#28,8
14355_6#29,11
14355_6#3,10
14355_6#30,8
14355_6#31,4
14355_6#32,8
14355_6#33,8
14355_6#34,10
14355_6#35,5
14355_6#36,5
14355_6#37,1
14355_6#38,8
14355_6#39,8
14355_6#4,8
14355_6#40,8
14355_6#41,8
14355_6#42,8
14355_6#43,12
14355_6#44,8
14355_6#45,8
14355_6#46,10
14355_6#47,14
14355_6#48,8
14355_6#49,15
14355_6#5,8
14355_6#50,11
14355_6#51,11
14355_6#52,12
14355_6#53,16
14355_6#54,16
14355_6#55,12
14355_6#56,13
14355_6#57,12
14355_6#58,12
14355_6#59,9
14355_6#6,8
14355_6#60,12
14355_6#61,12
14355_6#62,13
14355_6#63,2
14355_6#64,9
14355_6#65,9
14355_6#66,8
14355_6#68,2
14355_6#69,12
14355_6#7,16
14355_6#70,9
14355_6#71,7
14355_6#72,12
14355_6#73,9
14355_6#74,7
14355_6#75,10
14355_6#76,9
14355_6#77,12
14355_6#78,12
14355_6#79,4
14355_6#8,10
14355_6#80,13
14355_6#81,14
14355_6#82,16
14355_6#83,12
14355_6#84,2
14355_6#85,6
14355_6#86,10
14355_6#87,14
14355_6#88,15
14355_6#89,10
14355_6#9,9
14355_6#90,9
14355_6#91,11
14355_6#92,1
14355_6#93,16
14355_6#94,12
14355_6#95,9
14355_7#1,11
14355_7#10,8
14355_7#11,8
14355_7#12,8
14355_7#13,12
14355_7#14,12
14355_7#15,12
14355_7#16,12
14355_7#17,12
14355_7#18,12
14355_7#19,12
14355_7#2,11
14355_7#20,14
14355_7#21,14
14355_7#22,9
14355_7#23,9
14355_7#24,9
14355_7#25,8
14355_7#26,8
14355_7#27,8
14355_7#28,8
14355_7#29,9
14355_7#3,9
14355_7#30,9
14355_7#31,16
14355_7#32,16
14355_7#33,16
14355_7#34,16
14355_7#35,12
14355_7#36,12
14355_7#37,12
14355_7#38,5
14355_7#39,5
14355_7#4,9
14355_7#40,11
14355_7#41,11
14355_7#42,11
14355_7#43,12
14355_7#44,12
14355_7#45,9
14355_7#46,9
14355_7#47,9
14355_7#48,9
14355_7#49,9
14355_7#5,9
14355_7#50,15
14355_7#51,15
14355_7#52,15
14355_7#53,12
14355_7#54,12
14355_7#55,12
14355_7#56,12
14355_7#57,12
14355_7#58,12
14355_7#59,12
14355_7#6,8
14355_7#60,12
14355_7#61,16
14355_7#63,12
14355_7#64,12
14355_7#65,12
14355_7#66,14
14355_7#67,14
14355_7#68,10
14355_7#69,10
14355_7#7,8
14355_7#70,9
14355_7#71,9
14355_7#72,15
14355_7#73,15
14355_7#74,12
14355_7#75,12
14355_7#76,12
14355_7#77,9
14355_7#78,9
14355_7#79,8
14355_7#8,8
14355_7#80,8
14355_7#81,1
14355_7#82,1
14355_7#83,9
14355_7#84,9
14355_7#85,10
14355_7#86,10
14355_7#87,10
14355_7#88,12
14355_7#89,12
14355_7#9,8
14355_7#90,12
14355_7#91,12
14355_7#92,12
14355_7#93,12
14355_7#94,12
14355_7#95,12
14355_8#1,12
14355_8#10,15
14355_8#11,12
14355_8#12,12
14355_8#13,12
14355_8#14,12
14355_8#15,12
14355_8#16,12
14355_8#17,12
14355_8#18,12
14355_8#19,10
14355_8#2,12
14355_8#20,10
14355_8#21,10
14355_8#22,10
14355_8#23,10
14355_8#24,10
14355_8#25,10
14355_8#26,9
14355_8#27,9
14355_8#28,9
14355_8#29,12
14355_8#3,12
14355_8#30,12
14355_8#31,15
14355_8#32,15
14355_8#33,1
14355_8#34,1
14355_8#4,12
14355_8#5,15
14355_8#6,15
14355_8#7,15
14355_8#8,15
14355_8#9,15
14555_5#1,2
14555_5#10,9
14555_5#11,5
14555_5#12,5
14555_5#13,9
14555_5#14,12
14555_5#15,9
14555_5#16,9
14555_5#17,8
14555_5#18,12
14555_5#19,2
14555_5#2,10
14555_5#20,11
14555_5#21,12
14555_5#22,12
14555_5#23,12
14555_5#24,9
14555_5#25,10
14555_5#26,5
14555_5#27,8
14555_5#28,15
14555_5#29,8
14555_5#3,5
14555_5#30,8
14555_5#31,2
14555_5#32,8
14555_5#33,10
14555_5#34,12
14555_5#35,10
14555_5#36,9
14555_5#37,14
14555_5#38,8
14555_5#39,15
14555_5#4,9
14555_5#40,2
14555_5#41,10
14555_5#42,10
14555_5#43,9
14555_5#44,8
14555_5#45,10
14555_5#46,12
14555_5#47,8
14555_5#48,10
14555_5#49,9
14555_5#5,12
14555_5#50,8
14555_5#51,11
14555_5#52,12
14555_5#53,12
14555_5#54,16
14555_5#55,12
14555_5#56,12
14555_5#57,8
14555_5#58,8
14555_5#59,8
14555_5#6,12
14555_5#60,12
14555_5#61,12
14555_5#62,9
14555_5#63,10
14555_5#64,12
14555_5#65,11
14555_5#66,8
14555_5#67,11
14555_5#68,12
14555_5#69,12
14555_5#7,12
14555_5#70,14
14555_5#71,12
14555_5#72,8
14555_5#73,8
14555_5#74,9
14555_5#75,8
14555_5#76,8
14555_5#77,9
14555_5#78,8
14555_5#79,8
14555_5#8,5
14555_5#80,8
14555_5#81,16
14555_5#82,9
14555_5#83,9
14555_5#84,8
14555_5#85,8
14555_5#86,8
14555_5#87,8
14555_5#88,8
14555_5#89,11
14555_5#9,13
14555_5#90,8
14555_5#91,10
14555_5#92,8
14555_5#93,8
14555_5#94,8
14555_5#95,15
14555_6#1,11
14555_6#10,7
14555_6#11,9
14555_6#12,12
14555_6#13,4
14555_6#14,13
14555_6#15,10
14555_6#16,11
14555_6#17,1
14555_6#18,9
14555_6#19,9
14555_6#2,11
14555_6#20,8
14555_6#21,10
14555_6#22,8
14555_6#23,9
14555_6#24,1
14555_6#25,9
14555_6#26,10
14555_6#27,12
14555_6#28,9
14555_6#29,1
14555_6#3,13
14555_6#30,10
14555_6#31,9
14555_6#32,9
14555_6#33,9
14555_6#34,1
14555_6#35,10
14555_6#36,12
14555_6#37,12
14555_6#38,12
14555_6#39,3
14555_6#4,12
14555_6#40,15
14555_6#41,9
14555_6#42,2
14555_6#43,9
14555_6#44,3
14555_6#45,12
14555_6#46,4
14555_6#47,9
14555_6#48,13
14555_6#49,3
14555_6#5,2
14555_6#50,10
14555_6#51,10
14555_6#52,12
14555_6#53,12
14555_6#54,15
14555_6#55,10
14555_6#56,10
14555_6#57,10
14555_6#58,12
14555_6#59,12
14555_6#6,9
14555_6#60,8
14555_6#61,8
14555_6#62,10
14555_6#63,9
14555_6#64,11
14555_6#65,11
14555_6#66,14
14555_6#67,14
14555_6#68,11
14555_6#69,11
14555_6#7,9
14555_6#70,11
14555_6#71,11
14555_6#72,11
14555_6#73,11
14555_6#74,11
14555_6#75,11
14555_6#76,11
14555_6#77,11
14555_6#78,11
14555_6#79,12
14555_6#8,12
14555_6#80,12
14555_6#81,3
14555_6#82,3
14555_6#83,3
14555_6#84,13
14555_6#85,13
14555_6#86,2
14555_6#87,2
14555_6#88,12
14555_6#89,12
14555_6#9,7
14555_6#90,12
14555_6#91,14
14555_6#92,14
14555_6#93,5
14555_6#94,5
14555_6#95,5
14672_1#1,12
14672_1#10,10
14672_1#11,12
14672_1#12,2
14672_1#13,10
14672_1#14,12
14672_1#15,12
14672_1#16,2
14672_1#17,12
14672_1#18,16
14672_1#19,9
14672_1#2,6
14672_1#20,10
14672_1#21,5
14672_1#22,10
14672_1#23,10
14672_1#24,10
14672_1#25,12
14672_1#26,10
14672_1#27,9
14672_1#28,10
14672_1#29,12
14672_1#3,12
14672_1#30,12
14672_1#31,12
14672_1#32,12
14672_1#33,15
14672_1#34,9
14672_1#35,12
14672_1#36,15
14672_1#37,14
14672_1#38,5
14672_1#39,13
14672_1#4,9
14672_1#40,9
14672_1#41,5
14672_1#42,5
14672_1#43,9
14672_1#44,12
14672_1#45,9
14672_1#46,8
14672_1#47,2
14672_1#48,9
14672_1#5,10
14672_1#50,12
14672_1#51,9
14672_1#52,9
14672_1#53,9
14672_1#54,9
14672_1#55,8
14672_1#56,12
14672_1#57,2
14672_1#58,11
14672_1#59,10
14672_1#6,12
