K AIC BIC log.lk n.param converged n.iter
2 31693426.0830161 32287613.445975 -15722463.0415081 124250 1 1
3 25136434.9814176 26027716.0258559 -12381842.4907088 186375 1 1
4 21332203.7799934 22520578.505911 -10417601.8899967 248500 1 4
5 19268526.6431051 20753995.0505022 -9323638.32155256 310625 1 4
6 17654135.0622272 19436697.1511037 -8454317.5311136 372750 1 8
7 16798842.6381973 18878498.4085532 -7964546.31909862 434875 1 7
8 16000403.4089847 18377152.8608201 -7503201.70449235 497000 1 1
9 15533678.8479981 18207521.9813129 -7207714.42399904 559125 1 1
10 15225089.7782991 18196026.5930933 -6991294.88914953 621250 1 1
11 15067335.2604705 18335365.7567442 -6850292.63023527 683375 1 1
12 14921469.9853185 18486594.1630716 -6715234.99265927 745500 1 1
13 14581584.5990091 18443802.4582416 -6483167.29950454 807625 1 1
14 14471794.4108103 18631105.9515222 -6366147.20540514 869750 1 1
15 14345625.0461534 18802030.2683447 -6240937.52307671 931875 1 1
16 13899921.5111413 18653420.4148121 -5955960.75557067 994000 1 1
17 13876378.5339305 18926971.1190806 -5882064.26696523 1056125 1 1
18 13834956.7754336 19182643.0420632 -5799228.38771678 1118250 1 1
19 13785243.7797109 19430023.7278199 -5712246.88985544 1180375 1 1
20 13308570.1499111 19250443.7794996 -5411785.07495557 1242500 1 1
21 13303590.0783638 19542557.3894317 -5347170.03918192 1304625 1 1
22 13303310.9111956 19839371.9037429 -5284905.45559779 1366750 1 1
23 13319100.4582198 20152255.1322465 -5230675.22910992 1428875 1 1
24 13343645.7044405 20473894.0599466 -5180822.85222024 1491000 1 1
25 13365609.620409 20792951.6573945 -5129679.8102045 1553125 1 1
26 13308410.5237948 21032846.2422598 -5038955.26189741 1615250 1 1
27 13337936.1627253 21359465.5626697 -4991593.08136264 1677375 1 1
28 13350952.0635264 21669575.1449502 -4935976.03176319 1739500 1 1
29 13279747.7389421 21895464.5018454 -4838248.86947106 1801625 1 1
30 13236725.8096052 22149536.2539879 -4754612.90480262 1863750 1 1
