Isolates,Level 1,Level 2
MK2008_2015-02-12,4,10
MK2826_2015-03-08,4,10
KT5022_2015-02-13,3,9
20524_EMLK_2015-09-06,5,15
J0135_2014-11-03,5,16
77524_EMLK_2014-12-30,5,16
490_EMLH_2015-01-30,5,16
491_EMLH_2015-01-30,5,16
567_EMLH_2015-02-03,5,16
592_EMLH_2015-02-05,5,16
75674_EMLH_2015-01-13,5,16
DML13828_2015-06-22,3,9
KT7106_2015-07-19,3,9
KG35_2015-06-08,2,4
EM_FORE_2015-2547_2015-09-26,1,2
KG45_2015-06-09,2,4
LIBR0114_2014-11-10,3,9
LIBR10081_2014-08-26,3,9
LIBR10245_2014-07-01,3,9
LIBR10253_2014-09-16,3,9
EM_074684_2014-08-14,3,9
EM_076769_2014-11-08,3,9
EM_076770_2014-11-08,3,9
EM_076948_2014-11-13,3,9
EM_076949_2014-11-13,3,9
EM_078697_2014-12-14,3,9
EM_078709_2014-12-14,3,9
KT5243_2015-02-22,3,9
EM_COY_2015_017174_2015-05-30,1,1
EM_FORE_2015_1140_2015-07-03,1,1
DML24620_2015-01-21,5,13
DML24706_2015-01-28,5,13
DML24720_2015-01-29,5,13
DML24758_2015-01-30,5,13
DML24853_2015-02-06,5,13
LIBR0063_2014-11-06,3,9
LIBR0279_2014-11-22,3,9
DML14077_2015-06-30,4,11
DML14163_2015-07-03,4,11
DML14366_2015-07-11,4,11
J0169_2014-11-09,3,8
77613_EMLK_2015-01-05,3,8
77615_EMLK_2015-01-05,3,8
18642R_EMLH_2015-07-08,4,11
18659R_EMLH_2015-07-10,4,11
18687R_EMLH_2015-07-12,4,11
13031_EMLH_2015-05-18,4,11
77526_EMLK_2014-12-30,3,8
14687_EMLK_2015-02-21,3,8
12851_EMLH_2015-04-15,4,11
12854_EMLH_2015-04-15,4,11
12855_EMLH_2015-04-15,4,11
12872_EMLH_2015-04-18,4,11
12916_EMLH_2015-04-29,4,11
12934_EMLH_2015-05-04,4,11
12936_EMLH_2015-05-04,4,11
13204_EMLH_2015-06-16,4,11
13247_EMLH_2015-06-19,4,11
13268_EMLH_2015-06-23,4,11
13275_EMLH_2015-06-24,4,11
15070R_DML_2015-08-06,4,11
18538_EMLH_2015-07-04,4,11
18596_EMLH_2015-07-05,4,11
18636_EMLH_2015-07-08,4,11
18647_EMLH_2015-07-09,4,11
18648_EMLH_2015-07-09,4,11
18649_EMLH_2015-07-10,4,11
18650_EMLH_2015-07-10,4,11
18660_EMLH_2015-07-10,4,11
18706_EMLH_2015-07-14,4,11
MK10128_2015-07-31,4,11
MK10173_2015-08-01,4,11
MK8878_2015-07-23,4,11
MK9396_2015-07-18,4,11
PL8486_2015-06-25,4,11
PL4346_2015-03-04,4,11
CDC-NIH-272_2014-08-27,3,9
77572_EMLK_2015-01-03,5,16
EM_COY_2015_023888_2015-09-15,1,2
CON-10193_2015-08-03,1,2
CON-10512_2015-08-11,1,2
CON-10590_2015-08-13,1,2
CON-10786_2015-08-17,1,1
CON-11010_2015-08-23,1,2
CON-8559_2015-06-21,1,3
CON-8811_2015-06-27,1,1
CON12930_2015-10-13,2,6
EM-FORE-2015-1414_2015-07-13,1,1
EM-FORE-2015-548_2015-05-27,1,1
EM-FORE-2015-631_2015-06-02,1,1
EM-FORE-2015-664_2015-06-04,1,1
EM-FORE-2015-669_2015-06-05,1,1
EM-FORE-2015-838_2015-06-16,1,1
EM-FORE_2015_1160_2015-07-13,2,5
EM_COY_2015_013576_2015-03-09,2,6
EM_COY_2015_013671_2015-03-12,1,3
EM_COY_2015_013731_2015-03-14,2,4
EM_COY_2015_013795_2015-03-16,1,3
EM_COY_2015_013857_2015-03-18,2,6
EM_COY_2015_013962_2015-03-22,1,3
EM_COY_2015_014060_2015-03-25,1,3
EM_COY_2015_014098_2015-03-26,2,4
EM_COY_2015_014100_2015-03-26,2,4
EM_COY_2015_014102_2015-03-26,2,4
EM_COY_2015_014261_2015-04-02,2,4
EM_COY_2015_014370_2015-04-07,1,3
EM_COY_2015_015802_2015-04-14,2,4
EM_COY_2015_015815_2015-04-14,1,3
EM_COY_2015_015972_2015-04-20,1,3
EM_COY_2015_015980_2015-04-20,1,3
EM_COY_2015_015982_2015-04-20,2,6
EM_COY_2015_015986_2015-04-20,1,3
EM_COY_2015_016236_2015-05-03,2,6
EM_COY_2015_016238_2015-05-03,1,3
EM_COY_2015_016263_2015-05-04,2,6
EM_COY_2015_016267_2015-05-04,1,3
EM_COY_2015_016278_2015-05-05,1,1
EM_COY_2015_016293_2015-05-06,2,6
EM_COY_2015_016414_2015-05-11,1,2
EM_COY_2015_016449_2015-05-11,2,6
EM_COY_2015_016456_2015-05-12,1,2
EM_COY_2015_016483_2015-05-13,2,4
EM_COY_2015_016515_2015-05-14,1,2
EM_COY_2015_016531_2015-05-14,1,2
EM_COY_2015_016617_2015-05-16,1,2
EM_COY_2015_016642_2015-05-17,2,6
EM_COY_2015_016743_2015-05-19,2,4
EM_COY_2015_016800_2015-05-20,1,2
EM_COY_2015_017018_2015-05-26,2,6
EM_COY_2015_017021_2015-05-25,2,6
EM_COY_2015_017057_2015-05-27,1,2
EM_COY_2015_017091_2015-05-28,2,4
EM_COY_2015_017135_2015-05-29,1,2
EM_COY_2015_017238_2015-05-31,1,2
EM_COY_2015_017240_2015-05-31,1,2
EM_COY_2015_017574_2015-06-10,2,4
EM_COY_2015_017664_2015-06-12,1,2
EM_COY_2015_017666_2015-06-12,1,2
EM_COY_2015_017787_2015-06-16,1,2
EM_COY_2015_017788_2015-06-16,1,2
EM_COY_2015_017865_2015-06-18,1,2
EM_COY_2015_022059_2015-07-02,1,1
EM_COY_2015_023747_2015-09-09,1,2
EM_FORE_2015-1971_2015-08-14,1,1
EM_FORE_2015_1023_2015-06-29,1,1
EM_FORE_2015_1024_2015-06-29,1,1
EM_FORE_2015_1047_2015-06-30,1,1
EM_FORE_2015_1076_2015-07-01,1,1
EM_FORE_2015_1079_2015-07-01,1,1
EM_FORE_2015_1118_2015-07-02,1,1
EM_FORE_2015_1313_2015-07-10,1,1
EM_FORE_2015_1415_2015-07-20,2,5
EM_FORE_2015_1437_2015-07-15,1,1
EM_FORE_2015_2781_2015-10-13,1,2
EM_FORE_2015_2878_2015-10-24,1,2
EM_FORE_2015_695_2015-06-07,1,1
EM_FORE_2015_696_2015-06-07,1,1
EM_FORE_2015_697_2015-06-07,1,1
EM_FORE_2015_781_2015-06-13,1,1
EM_FORE_2015_816_2015-06-15,2,6
EM_FORE_2015_875_2015-06-17,2,6
EM_FORE_2015_896_2015-06-20,1,1
EM_FORE_2015_934_2015-06-23,1,1
EM_GUI_2015_004674_2015-03-26,1,3
EM_FORE_2015-2417_2015-09-15,1,2
EM_FORE_2015-2531_2015-09-26,1,2
