Isolates,Level 1,Level 2
11657_5#1,1,2
11657_5#10,2,4
11657_5#11,19,65
11657_5#12,20,73
11657_5#13,19,65
11657_5#14,3,10
11657_5#15,18,61
11657_5#16,4,11
11657_5#17,17,54
11657_5#18,21,76
11657_5#19,20,70
11657_5#2,18,61
11657_5#20,5,17
11657_5#21,2,7
11657_5#22,19,65
11657_5#23,17,55
11657_5#24,19,65
11657_5#25,6,19
11657_5#26,20,70
11657_5#27,20,70
11657_5#28,19,66
11657_5#29,17,54
11657_5#3,20,71
11657_5#30,16,48
11657_5#31,16,51
11657_5#32,7,21
11657_5#33,1,2
11657_5#34,2,5
11657_5#35,3,9
11657_5#36,23,86
11657_5#37,18,63
11657_5#38,8,23
11657_5#39,4,11
11657_5#4,1,3
11657_5#40,1,2
11657_5#41,18,63
11657_5#42,2,4
11657_5#43,9,25
11657_5#44,20,71
11657_5#46,19,65
11657_5#47,20,68
11657_5#48,20,71
11657_5#49,18,62
11657_5#5,2,5
11657_5#50,20,71
11657_5#51,23,86
11657_5#52,1,2
11657_5#53,18,61
11657_5#54,18,63
11657_5#55,20,70
11657_5#56,18,63
11657_5#57,21,77
11657_5#58,20,72
11657_5#59,21,78
11657_5#6,20,70
11657_5#60,24,89
11657_5#61,19,65
11657_5#62,18,60
11657_5#63,21,77
11657_5#64,23,83
11657_5#65,7,21
11657_5#66,9,26
11657_5#67,3,10
11657_5#68,3,8
11657_5#69,1,2
11657_5#7,19,65
11657_5#70,2,7
11657_5#71,8,22
11657_5#72,20,71
11657_5#73,16,51
11657_5#74,21,79
11657_5#75,20,71
11657_5#76,9,25
11657_5#77,21,78
11657_5#78,20,73
11657_5#79,18,59
11657_5#8,19,65
11657_5#80,19,65
11657_5#81,21,77
11657_5#82,20,71
11657_5#83,20,68
11657_5#84,18,61
11657_5#85,2,7
11657_5#86,20,73
11657_5#87,20,71
11657_5#88,18,59
11657_5#89,19,65
11657_5#9,2,7
11657_5#90,1,2
11657_5#91,23,83
11657_5#92,19,65
11657_5#93,2,4
11657_5#94,19,67
11657_5#95,2,5
11657_5#96,18,59
11657_6#1,2,5
11657_6#10,15,47
11657_6#11,19,67
11657_6#12,1,2
11657_6#13,20,68
11657_6#14,19,65
11657_6#15,21,77
11657_6#16,19,65
11657_6#17,22,82
11657_6#18,17,55
11657_6#19,20,68
11657_6#2,18,61
11657_6#20,1,2
11657_6#21,18,61
11657_6#22,18,63
11657_6#23,19,66
11657_6#24,20,70
11657_6#26,20,70
11657_6#27,17,54
11657_6#28,20,73
11657_6#29,15,45
11657_6#3,20,73
11657_6#30,20,73
