Isolates,Level 1
11657_5#1,1
11657_5#10,2
11657_5#11,3
11657_5#12,28
11657_5#13,3
11657_5#14,4
11657_5#15,27
11657_5#16,5
11657_5#17,22
11657_5#18,24
11657_5#19,28
11657_5#2,27
11657_5#20,6
11657_5#21,2
11657_5#22,3
11657_5#23,22
11657_5#24,3
11657_5#25,7
11657_5#26,28
11657_5#27,28
11657_5#28,8
11657_5#29,22
11657_5#3,28
11657_5#30,25
11657_5#31,25
11657_5#32,9
11657_5#33,1
11657_5#34,2
11657_5#35,4
11657_5#36,29
11657_5#37,27
11657_5#38,10
11657_5#39,5
11657_5#4,1
11657_5#40,1
11657_5#41,27
11657_5#42,2
11657_5#43,11
11657_5#44,28
11657_5#46,3
11657_5#47,28
11657_5#48,28
11657_5#49,27
11657_5#5,2
11657_5#50,28
11657_5#51,29
11657_5#52,1
11657_5#53,27
11657_5#54,27
11657_5#55,28
11657_5#56,27
11657_5#57,24
11657_5#58,28
11657_5#59,26
11657_5#6,28
11657_5#60,12
11657_5#61,3
11657_5#62,27
11657_5#63,24
11657_5#64,20
11657_5#65,9
11657_5#66,11
11657_5#67,4
11657_5#68,4
11657_5#69,1
11657_5#7,3
11657_5#70,2
11657_5#71,10
11657_5#72,28
11657_5#73,25
11657_5#74,26
11657_5#75,28
11657_5#76,11
11657_5#77,26
11657_5#78,28
11657_5#79,27
11657_5#8,3
11657_5#80,3
11657_5#81,24
11657_5#82,28
11657_5#83,28
11657_5#84,27
11657_5#85,2
11657_5#86,28
11657_5#87,28
11657_5#88,27
11657_5#89,3
11657_5#9,2
11657_5#90,1
11657_5#91,20
11657_5#92,3
11657_5#93,2
11657_5#94,18
11657_5#95,2
11657_5#96,27
11657_6#1,2
11657_6#10,21
11657_6#11,18
11657_6#12,1
11657_6#13,28
11657_6#14,3
11657_6#15,24
11657_6#16,3
11657_6#17,23
11657_6#18,22
11657_6#19,28
11657_6#2,27
11657_6#20,1
11657_6#21,27
11657_6#22,27
11657_6#23,8
11657_6#24,28
11657_6#26,28
11657_6#27,22
11657_6#28,28
11657_6#29,21
11657_6#3,28
11657_6#30,28
11657_6#31,13
11657_6#32,22
11657_6#33,10
11657_6#34,6
11657_6#35,27
11657_6#36,27
11657_6#37,3
11657_6#38,28
11657_6#39,2
11657_6#4,2
11657_6#40,11
11657_6#41,23
11657_6#42,29
11657_6#43,4
11657_6#44,4
11657_6#45,27
11657_6#46,28
11657_6#47,18
11657_6#48,28
11657_6#49,27
11657_6#5,14
11657_6#50,27
11657_6#51,3
11657_6#52,28
11657_6#53,27
11657_6#54,25
11657_6#55,15
11657_6#56,28
11657_6#57,1
11657_6#58,27
11657_6#59,21
11657_6#6,27
11657_6#60,1
11657_6#61,12
11657_6#62,11
11657_6#63,3
11657_6#64,3
11657_6#65,3
11657_6#66,22
11657_6#67,3
11657_6#68,1
11657_6#69,6
11657_6#7,8
11657_6#70,5
11657_6#71,27
11657_6#72,3
11657_6#73,28
11657_6#74,25
11657_6#75,10
11657_6#76,22
11657_6#77,25
11657_6#78,28
11657_6#79,28
11657_6#8,28
11657_6#80,28
11657_6#81,28
11657_6#82,27
11657_6#83,5
11657_6#84,4
11657_6#85,27
11657_6#86,27
11657_6#87,28
11657_6#88,4
11657_6#89,9
11657_6#9,24
11657_6#90,1
11657_6#91,3
11657_6#92,21
11657_6#93,10
11657_6#94,3
11657_6#95,27
11657_6#96,8
11657_7#1,28
11657_7#10,5
11657_7#11,28
11657_7#12,3
11657_7#13,10
11657_7#14,29
11657_7#15,22
11657_7#16,27
11657_7#17,28
11657_7#18,29
11657_7#19,5
11657_7#2,27
11657_7#20,28
11657_7#21,3
11657_7#22,3
11657_7#23,3
11657_7#24,24
11657_7#25,28
11657_7#26,28
11657_7#27,11
11657_7#28,27
11657_7#29,20
11657_7#3,2
11657_7#30,21
11657_7#31,14
11657_7#32,7
11657_7#33,28
11657_7#34,1
11657_7#35,1
11657_7#36,16
11657_7#37,25
11657_7#38,29
11657_7#39,4
11657_7#4,28
11657_7#40,27
11657_7#41,2
11657_7#42,25
11657_7#43,21
11657_7#44,28
11657_7#45,9
11657_7#46,2
11657_7#47,3
11657_7#48,28
11657_7#49,27
11657_7#5,6
11657_7#50,27
11657_7#51,22
11657_7#52,3
11657_7#53,3
11657_7#54,3
11657_7#55,3
11657_7#56,3
11657_7#57,3
11657_7#58,3
11657_7#59,3
11657_7#6,23
11657_7#60,28
11657_7#61,28
11657_7#62,27
11657_7#63,17
11657_7#64,4
11657_7#65,17
11657_7#66,3
11657_7#67,28
11657_7#68,27
11657_7#69,28
11657_7#7,8
11657_7#70,3
11657_7#71,28
11657_7#72,25
11657_7#73,3
11657_7#74,28
11657_7#75,9
11657_7#76,28
11657_7#77,18
11657_7#78,3
11657_7#79,29
11657_7#8,27
11657_7#80,23
11657_7#81,11
11657_7#82,7
11657_7#83,25
11657_7#84,25
11657_7#85,2
11657_7#86,27
11657_7#87,17
11657_7#88,27
11657_7#89,3
11657_7#9,2
11657_7#90,27
11657_7#91,2
11657_7#92,14
11657_7#93,25
11657_7#94,5
11657_7#95,3
11657_7#96,28
11658_3#1,29
11658_3#10,24
11658_3#11,1
11658_3#12,1
11658_3#13,12
11658_3#14,1
11658_3#19,21
11658_3#2,13
11658_3#20,27
11658_3#21,22
11658_3#22,1
11658_3#23,26
11658_3#24,17
11658_3#25,15
11658_3#26,28
11658_3#27,28
11658_3#28,6
11658_3#29,28
11658_3#3,4
11658_3#30,27
11658_3#31,18
11658_3#32,28
11658_3#33,23
11658_3#34,27
11658_3#35,28
11658_3#36,3
11658_3#37,25
11658_3#38,3
11658_3#39,28
11658_3#4,3
11658_3#40,23
11658_3#41,3
11658_3#42,3
11658_3#43,27
11658_3#44,19
11658_3#45,5
11658_3#46,28
11658_3#47,28
11658_3#48,29
11658_3#49,4
11658_3#5,28
11658_3#50,2
11658_3#51,7
11658_3#52,27
11658_3#53,25
11658_3#54,25
11658_3#55,3
11658_3#56,3
11658_3#57,28
11658_3#58,9
11658_3#59,5
11658_3#6,2
11658_3#60,29
11658_3#61,19
11658_3#62,25
11658_3#64,28
11658_3#65,9
11658_3#66,28
11658_3#67,28
11658_3#68,4
11658_3#69,4
11658_3#7,10
11658_3#70,18
11658_3#71,28
11658_3#72,4
11658_3#73,22
11658_3#74,3
11658_3#75,28
11658_3#76,22
11658_3#77,29
11658_3#78,6
11658_3#79,28
11658_3#8,18
11658_3#80,25
11658_3#81,28
11658_3#82,28
11658_3#83,28
11658_3#84,1
11658_3#85,28
11658_3#86,3
11658_3#87,4
11658_3#88,24
11658_3#89,4
11658_3#9,4
11658_3#90,4
11658_3#91,27
11658_3#92,21
11658_3#93,28
11658_3#94,3
11658_3#95,28
11658_3#96,27
11658_4#10,23
11658_4#11,4
11658_4#12,4
11658_4#13,15
11658_4#14,10
11658_4#15,27
11658_4#16,27
11658_4#17,16
11658_4#18,3
11658_4#19,28
11658_4#2,23
11658_4#20,27
11658_4#21,2
11658_4#22,8
11658_4#23,2
11658_4#24,27
11658_4#25,27
11658_4#26,2
11658_4#27,1
11658_4#28,1
11658_4#29,28
11658_4#3,4
11658_4#30,9
11658_4#31,28
11658_4#32,22
11658_4#33,2
11658_4#34,27
11658_4#35,9
11658_4#36,28
11658_4#37,27
11658_4#38,23
11658_4#39,22
11658_4#4,5
11658_4#40,28
11658_4#41,28
11658_4#42,17
11658_4#43,18
11658_4#44,27
11658_4#45,28
11658_4#46,9
11658_4#47,1
11658_4#48,18
11658_4#49,27
11658_4#5,27
11658_4#50,28
11658_4#51,19
11658_4#52,6
11658_4#53,28
11658_4#54,28
11658_4#55,26
11658_4#56,2
11658_4#57,18
11658_4#58,27
11658_4#59,28
11658_4#6,26
11658_4#60,18
11658_4#61,3
11658_4#62,27
11658_4#63,11
11658_4#64,27
11658_4#65,3
11658_4#66,3
11658_4#67,11
11658_4#68,12
11658_4#69,27
11658_4#7,18
11658_4#70,4
11658_4#71,17
11658_4#72,14
11658_4#73,16
11658_4#74,3
11658_4#75,21
11658_4#76,5
11658_4#77,3
11658_4#78,1
11658_4#79,28
11658_4#8,28
11658_4#80,3
11658_4#81,3
11658_4#82,25
11658_4#83,21
11658_4#84,19
11658_4#85,3
11658_4#86,10
11658_4#87,14
11658_4#88,15
11658_4#89,24
11658_4#9,2
11658_4#90,28
11658_4#91,27
11658_4#92,9
11658_4#93,1
11658_4#94,16
11658_4#95,28
11658_4#96,28
11658_5#1,1
11658_5#10,4
11658_5#11,3
11658_5#12,28
11658_5#13,4
11658_5#14,3
11658_5#15,28
11658_5#16,28
11658_5#17,22
11658_5#18,1
11658_5#19,3
11658_5#2,3
11658_5#20,28
11658_5#21,23
11658_5#22,9
11658_5#23,28
11658_5#25,21
11658_5#26,3
11658_5#27,28
11658_5#28,3
11658_5#29,28
11658_5#3,12
11658_5#30,27
11658_5#31,25
11658_5#32,3
11658_5#33,27
11658_5#34,21
11658_5#35,7
11658_5#36,28
11658_5#37,24
11658_5#38,9
11658_5#4,14
11658_5#40,17
11658_5#41,3
11658_5#42,8
11658_5#43,19
11658_5#44,3
11658_5#45,2
11658_5#46,25
11658_5#47,27
11658_5#49,4
11658_5#5,3
11658_5#50,8
11658_5#51,23
11658_5#52,14
11658_5#53,18
11658_5#54,26
11658_5#55,23
11658_5#56,4
11658_5#57,18
11658_5#58,24
11658_5#59,21
11658_5#6,27
11658_5#60,23
11658_5#61,27
11658_5#62,25
11658_5#63,2
11658_5#64,5
11658_5#65,20
11658_5#66,3
11658_5#67,25
11658_5#68,28
11658_5#69,23
11658_5#7,25
11658_5#70,7
11658_5#71,22
11658_5#72,27
11658_5#73,28
11658_5#74,25
11658_5#75,27
11658_5#76,28
11658_5#77,9
11658_5#78,6
11658_5#79,28
11658_5#8,16
11658_5#80,4
11658_5#81,21
11658_5#82,28
11658_5#83,25
11658_5#84,27
11658_5#85,27
11658_5#86,17
11658_5#87,3
11658_5#88,22
11658_5#89,27
11658_5#9,17
11658_5#90,27
11658_5#91,27
11658_5#92,11
11658_5#93,4
11658_5#94,4
11658_5#95,19
11658_5#96,25
11658_6#1,27
11658_6#10,3
11658_6#11,17
11658_6#12,10
11658_6#13,3
11658_6#14,5
11658_6#15,6
11658_6#16,17
11658_6#17,4
11658_6#18,7
11658_6#19,4
11658_6#2,28
11658_6#20,22
11658_6#21,22
11658_6#22,8
11658_6#23,4
11658_6#24,11
11658_6#25,28
11658_6#26,27
11658_6#27,25
11658_6#28,23
11658_6#29,29
11658_6#3,23
11658_6#30,24
11658_6#31,29
11658_6#32,4
11658_6#33,28
11658_6#34,3
11658_6#35,22
11658_6#36,5
