Isolate,baps.cluster
11657_5#1,31
11657_5#10,5
11657_5#11,2
11657_5#12,30
11657_5#13,2
11657_5#14,24
11657_5#15,28
11657_5#16,32
11657_5#17,25
11657_5#18,15
11657_5#19,30
11657_5#2,28
11657_5#20,21
11657_5#21,29
11657_5#22,2
11657_5#23,25
11657_5#24,2
11657_5#25,13
11657_5#26,30
11657_5#27,30
11657_5#28,6
11657_5#29,25
11657_5#3,30
11657_5#30,22
11657_5#31,22
11657_5#32,7
11657_5#33,31
11657_5#34,29
11657_5#35,24
11657_5#36,23
11657_5#37,28
11657_5#38,17
11657_5#39,32
11657_5#4,32
11657_5#40,31
11657_5#41,28
11657_5#42,5
11657_5#43,19
11657_5#44,30
11657_5#46,2
11657_5#47,30
11657_5#48,30
11657_5#49,28
11657_5#5,29
11657_5#50,30
11657_5#51,23
11657_5#52,31
11657_5#53,28
11657_5#54,28
11657_5#55,30
11657_5#56,28
11657_5#57,15
11657_5#58,30
11657_5#59,15
11657_5#6,30
11657_5#60,16
11657_5#61,2
11657_5#62,28
11657_5#63,15
11657_5#64,26
11657_5#65,7
11657_5#66,19
11657_5#67,24
11657_5#68,9
11657_5#69,31
11657_5#7,2
11657_5#70,29
11657_5#71,17
11657_5#72,30
11657_5#73,22
11657_5#74,15
11657_5#75,30
11657_5#76,19
11657_5#77,15
11657_5#78,30
11657_5#79,28
11657_5#8,2
11657_5#80,2
11657_5#81,15
11657_5#82,30
11657_5#83,30
11657_5#84,28
11657_5#85,29
11657_5#86,30
11657_5#87,30
11657_5#88,28
11657_5#89,2
11657_5#9,29
11657_5#90,31
11657_5#91,26
11657_5#92,2
11657_5#93,5
11657_5#94,14
11657_5#95,29
11657_5#96,28
11657_6#1,29
11657_6#10,18
11657_6#11,14
11657_6#12,31
11657_6#13,30
11657_6#14,2
11657_6#15,15
11657_6#16,2
11657_6#17,11
11657_6#18,25
11657_6#19,30
11657_6#2,28
11657_6#20,31
11657_6#21,28
11657_6#22,28
11657_6#23,6
11657_6#24,30
11657_6#26,30
11657_6#27,25
11657_6#28,30
11657_6#29,18
11657_6#3,30
11657_6#30,30
11657_6#31,12
11657_6#32,25
11657_6#33,17
11657_6#34,21
11657_6#35,28
11657_6#36,28
11657_6#37,2
11657_6#38,30
11657_6#39,29
11657_6#4,29
11657_6#40,19
11657_6#41,11
11657_6#42,23
11657_6#43,24
11657_6#44,24
11657_6#45,28
11657_6#46,30
11657_6#47,14
11657_6#48,30
11657_6#49,28
11657_6#5,27
11657_6#50,28
11657_6#51,2
11657_6#52,30
11657_6#53,28
11657_6#54,22
11657_6#55,8
11657_6#56,30
11657_6#57,31
11657_6#58,28
11657_6#59,18
11657_6#6,28
11657_6#60,31
11657_6#61,16
11657_6#62,19
11657_6#63,2
11657_6#64,2
11657_6#65,2
11657_6#66,25
11657_6#67,2
11657_6#68,31
11657_6#69,21
11657_6#7,6
11657_6#70,32
11657_6#71,28
11657_6#72,2
11657_6#73,30
11657_6#74,22
11657_6#75,17
11657_6#76,25
11657_6#77,22
11657_6#78,30
11657_6#79,30
11657_6#8,30
11657_6#80,30
11657_6#81,30
11657_6#82,28
11657_6#83,32
11657_6#84,24
11657_6#85,28
11657_6#86,28
11657_6#87,30
11657_6#88,24
11657_6#89,7
11657_6#9,15
11657_6#90,31
11657_6#91,2
11657_6#92,18
11657_6#93,17
11657_6#94,2
11657_6#95,28
11657_6#96,6
11657_7#1,30
11657_7#10,32
11657_7#11,30
11657_7#12,2
11657_7#13,17
11657_7#14,23
11657_7#15,25
11657_7#16,28
11657_7#17,30
11657_7#18,23
11657_7#19,32
11657_7#2,28
11657_7#20,30
11657_7#21,2
11657_7#22,2
11657_7#23,2
11657_7#24,15
11657_7#25,30
11657_7#26,30
11657_7#27,19
11657_7#28,28
11657_7#29,26
11657_7#3,29
11657_7#30,18
11657_7#31,27
11657_7#32,13
11657_7#33,30
11657_7#34,31
11657_7#35,31
11657_7#36,3
11657_7#37,22
11657_7#38,26
11657_7#39,24
11657_7#4,30
11657_7#40,28
11657_7#41,29
11657_7#42,22
11657_7#43,18
11657_7#44,30
11657_7#45,7
11657_7#46,5
11657_7#47,2
11657_7#48,30
11657_7#49,28
11657_7#5,21
11657_7#50,28
11657_7#51,25
11657_7#52,2
11657_7#53,2
11657_7#54,2
11657_7#55,2
11657_7#56,2
11657_7#57,2
11657_7#58,2
11657_7#59,2
11657_7#6,11
11657_7#60,30
11657_7#61,30
11657_7#62,28
11657_7#63,20
11657_7#64,24
11657_7#65,20
11657_7#66,2
11657_7#67,30
11657_7#68,28
11657_7#69,30
11657_7#7,6
11657_7#70,2
11657_7#71,30
