Isolate,baps.cluster
14412_3#81,13
14412_3#82,6
14412_3#83,10
14412_3#84,8
14412_3#85,3
14412_3#86,3
14412_3#87,12
14412_3#88,13
14412_3#89,13
14412_3#90,11
14412_3#91,8
14412_3#92,8
14412_3#93,12
14412_3#94,5
14412_3#95,11
14412_4#1,8
14412_4#10,10
14412_4#11,2
14412_4#12,3
14412_4#13,3
14412_4#14,11
14412_4#16,7
14412_4#17,13
14412_4#18,13
14412_4#19,5
14412_4#2,9
14412_4#20,5
14412_4#21,5
14412_4#22,5
14412_4#23,11
14412_4#24,11
14412_4#25,7
14412_4#26,12
14412_4#27,5
14412_4#28,5
14412_4#29,5
14412_4#3,11
14412_4#30,5
14412_4#31,9
14412_4#32,9
14412_4#33,9
14412_4#34,9
14412_4#35,4
14412_4#36,6
14412_4#37,6
14412_4#38,13
14412_4#39,5
14412_4#4,5
14412_4#40,5
14412_4#41,6
14412_4#42,12
14412_4#43,13
14412_4#44,8
14412_4#45,7
14412_4#46,7
14412_4#47,2
14412_4#48,2
14412_4#49,2
14412_4#5,5
14412_4#50,10
14412_4#51,10
14412_4#52,1
14412_4#53,1
14412_4#54,12
14412_4#55,13
14412_4#56,12
14412_4#57,5
14412_4#58,5
14412_4#59,4
14412_4#6,10
14412_4#60,4
14412_4#61,8
14412_4#7,10
14412_4#8,13
14412_4#9,13
