Isolate,baps.cluster
12673_8#24,4
12673_8#26,4
12673_8#27,9
12673_8#28,9
12673_8#29,4
12673_8#31,4
12673_8#32,9
12673_8#34,9
12673_8#36,2
12673_8#37,9
12673_8#39,7
12673_8#41,4
12673_8#42,2
12673_8#43,5
12754_4#66,4
12754_4#68,2
12754_4#70,2
12754_4#71,10
12754_4#73,9
12754_4#74,9
12754_4#75,2
12754_4#77,5
12754_4#78,8
12754_4#79,8
12754_4#80,9
12754_4#81,10
12754_4#82,5
12754_4#84,7
12754_4#85,4
12754_4#87,10
12754_4#88,9
12754_4#89,7
12754_4#90,10
12754_4#92,3
12754_4#94,7
12754_4#95,5
12754_5#11,5
12754_5#12,10
12754_5#13,5
12754_5#14,1
12754_5#16,7
12754_5#18,2
12754_5#19,10
12754_5#2,6
12754_5#20,7
12754_5#22,4
12754_5#24,4
12754_5#26,2
12754_5#28,9
12754_5#3,5
12754_5#30,10
12754_5#32,4
12754_5#33,5
12754_5#35,10
12754_5#36,4
12754_5#37,10
12754_5#39,10
12754_5#40,5
12754_5#42,1
12754_5#43,5
12754_5#45,2
12754_5#46,8
12754_5#47,4
12754_5#49,1
12754_5#5,7
12754_5#51,2
12754_5#52,8
12754_5#53,2
12754_5#55,9
12754_5#57,9
12754_5#59,9
12754_5#6,9
12754_5#61,4
12754_5#62,6
12754_5#64,2
12754_5#66,10
12754_5#68,5
12754_5#70,5
12754_5#71,4
12754_5#72,3
12754_5#73,8
12754_5#74,4
12754_5#76,2
12754_5#78,4
12754_5#8,2
12754_5#80,4
12754_5#82,10
12754_5#84,4
12754_5#86,4
12754_5#88,7
12754_5#89,4
12754_5#9,5
12754_5#90,2
12754_5#92,2
12754_5#94,8
12754_5#95,4
19183_4#48,10
19183_4#49,4
19183_4#50,9
19183_4#51,10
19183_4#52,5
19183_4#53,5
19183_4#54,2
19183_4#55,7
19183_4#56,9
19183_4#57,4
19183_4#58,9
19183_4#59,6
19183_4#60,4
19183_4#61,4
19183_4#62,3
19183_4#63,3
19183_4#64,9
19183_4#65,10
19183_4#66,9
19183_4#67,9
19183_4#68,10
19183_4#69,5
19183_4#70,3
19183_4#71,9
19183_4#72,9
19183_4#73,4
19183_4#74,10
19183_4#75,7
19183_4#76,3
19183_4#77,2
19183_4#78,4
19183_4#79,4
