Isolates,Level 1
S_pneumoniae_Spanish_23F.dna,1
6259_5#10_S_pneumoniae_Spanish_23F.dna,29
6259_5#11_S_pneumoniae_Spanish_23F.dna,22
6259_5#12_S_pneumoniae_Spanish_23F.dna,28
6259_5#13_S_pneumoniae_Spanish_23F.dna,14
6259_5#14_S_pneumoniae_Spanish_23F.dna,29
6259_5#15_S_pneumoniae_Spanish_23F.dna,29
6259_5#16_S_pneumoniae_Spanish_23F.dna,31
6259_5#17_S_pneumoniae_Spanish_23F.dna,29
6259_5#18_S_pneumoniae_Spanish_23F.dna,26
6259_5#19_S_pneumoniae_Spanish_23F.dna,29
6259_5#1_S_pneumoniae_Spanish_23F.dna,28
6259_5#20_S_pneumoniae_Spanish_23F.dna,27
6259_5#21_S_pneumoniae_Spanish_23F.dna,29
6259_5#22_S_pneumoniae_Spanish_23F.dna,33
6259_5#23_S_pneumoniae_Spanish_23F.dna,29
6259_5#24_S_pneumoniae_Spanish_23F.dna,19
6259_5#2_S_pneumoniae_Spanish_23F.dna,31
6259_5#3_S_pneumoniae_Spanish_23F.dna,27
6259_5#4_S_pneumoniae_Spanish_23F.dna,29
6259_5#5_S_pneumoniae_Spanish_23F.dna,27
6259_5#6_S_pneumoniae_Spanish_23F.dna,29
6259_5#7_S_pneumoniae_Spanish_23F.dna,29
6259_5#8_S_pneumoniae_Spanish_23F.dna,28
6259_5#9_S_pneumoniae_Spanish_23F.dna,31
6259_6#10_S_pneumoniae_Spanish_23F.dna,28
6259_6#11_S_pneumoniae_Spanish_23F.dna,31
6259_6#12_S_pneumoniae_Spanish_23F.dna,31
6259_6#13_S_pneumoniae_Spanish_23F.dna,29
6259_6#14_S_pneumoniae_Spanish_23F.dna,29
6259_6#15_S_pneumoniae_Spanish_23F.dna,29
6259_6#16_S_pneumoniae_Spanish_23F.dna,31
6259_6#17_S_pneumoniae_Spanish_23F.dna,29
6259_6#18_S_pneumoniae_Spanish_23F.dna,10
6259_6#19_S_pneumoniae_Spanish_23F.dna,24
6259_6#1_S_pneumoniae_Spanish_23F.dna,25
6259_6#20_S_pneumoniae_Spanish_23F.dna,10
6259_6#21_S_pneumoniae_Spanish_23F.dna,7
6259_6#22_S_pneumoniae_Spanish_23F.dna,31
6259_6#23_S_pneumoniae_Spanish_23F.dna,23
6259_6#24_S_pneumoniae_Spanish_23F.dna,23
6259_6#2_S_pneumoniae_Spanish_23F.dna,10
6259_6#3_S_pneumoniae_Spanish_23F.dna,29
6259_6#4_S_pneumoniae_Spanish_23F.dna,9
6259_6#5_S_pneumoniae_Spanish_23F.dna,29
6259_6#6_S_pneumoniae_Spanish_23F.dna,23
6259_6#7_S_pneumoniae_Spanish_23F.dna,9
6259_6#8_S_pneumoniae_Spanish_23F.dna,9
6259_6#9_S_pneumoniae_Spanish_23F.dna,2
6259_7#10_S_pneumoniae_Spanish_23F.dna,6
6259_7#11_S_pneumoniae_Spanish_23F.dna,19
6259_7#12_S_pneumoniae_Spanish_23F.dna,5
6259_7#13_S_pneumoniae_Spanish_23F.dna,5
6259_7#14_S_pneumoniae_Spanish_23F.dna,10
6259_7#15_S_pneumoniae_Spanish_23F.dna,29
6259_7#16_S_pneumoniae_Spanish_23F.dna,27
6259_7#17_S_pneumoniae_Spanish_23F.dna,27
6259_7#18_S_pneumoniae_Spanish_23F.dna,28
6259_7#19_S_pneumoniae_Spanish_23F.dna,31
6259_7#1_S_pneumoniae_Spanish_23F.dna,19
6259_7#20_S_pneumoniae_Spanish_23F.dna,29
6259_7#21_S_pneumoniae_Spanish_23F.dna,29
6259_7#22_S_pneumoniae_Spanish_23F.dna,9
6259_7#23_S_pneumoniae_Spanish_23F.dna,28
6259_7#24_S_pneumoniae_Spanish_23F.dna,27
6259_7#2_S_pneumoniae_Spanish_23F.dna,9
6259_7#3_S_pneumoniae_Spanish_23F.dna,27
6259_7#4_S_pneumoniae_Spanish_23F.dna,26
6259_7#5_S_pneumoniae_Spanish_23F.dna,15
6259_7#6_S_pneumoniae_Spanish_23F.dna,8
6259_7#7_S_pneumoniae_Spanish_23F.dna,2
6259_7#8_S_pneumoniae_Spanish_23F.dna,2
6259_7#9_S_pneumoniae_Spanish_23F.dna,29
6259_8#10_S_pneumoniae_Spanish_23F.dna,12
6259_8#11_S_pneumoniae_Spanish_23F.dna,12
6259_8#12_S_pneumoniae_Spanish_23F.dna,5
6259_8#13_S_pneumoniae_Spanish_23F.dna,25
6259_8#14_S_pneumoniae_Spanish_23F.dna,29
6259_8#15_S_pneumoniae_Spanish_23F.dna,29
6259_8#16_S_pneumoniae_Spanish_23F.dna,13
6259_8#17_S_pneumoniae_Spanish_23F.dna,27
6259_8#18_S_pneumoniae_Spanish_23F.dna,33
6259_8#19_S_pneumoniae_Spanish_23F.dna,29
6259_8#1_S_pneumoniae_Spanish_23F.dna,24
6259_8#20_S_pneumoniae_Spanish_23F.dna,31
6259_8#21_S_pneumoniae_Spanish_23F.dna,10
6259_8#22_S_pneumoniae_Spanish_23F.dna,22
6259_8#23_S_pneumoniae_Spanish_23F.dna,13
6259_8#24_S_pneumoniae_Spanish_23F.dna,29
6259_8#2_S_pneumoniae_Spanish_23F.dna,13
6259_8#3_S_pneumoniae_Spanish_23F.dna,5
6259_8#4_S_pneumoniae_Spanish_23F.dna,20
