Isolates,Level 1
14324_4#1,1
14324_4#10,1
14324_4#11,31
14324_4#12,1
14324_4#13,22
14324_4#14,22
14324_4#15,21
14324_4#16,25
14324_4#17,29
14324_4#18,31
14324_4#19,32
14324_4#2,29
14324_4#20,31
14324_4#21,2
14324_4#22,28
14324_4#23,3
14324_4#24,21
14324_4#25,28
14324_4#26,29
14324_4#27,25
14324_4#28,1
14324_4#29,31
14324_4#3,29
14324_4#30,3
14324_4#31,20
14324_4#32,28
14324_4#33,1
14324_4#34,2
14324_4#35,3
14324_4#36,1
14324_4#37,3
14324_4#38,29
14324_4#39,4
14324_4#4,22
14324_4#40,25
14324_4#41,22
14324_4#42,20
14324_4#43,20
14324_4#44,4
14324_4#45,1
14324_4#46,29
14324_4#47,20
14324_4#48,5
14324_4#49,26
14324_4#5,25
14324_4#50,6
14324_4#51,25
14324_4#52,26
14324_4#53,1
14324_4#54,32
14324_4#55,3
14324_4#56,29
14324_4#57,1
14324_4#58,3
14324_4#59,2
14324_4#6,22
14324_4#60,4
14324_4#61,32
14324_4#62,3
14324_4#63,28
14324_4#64,5
14324_4#65,31
14324_4#66,28
14324_4#67,32
14324_4#68,26
14324_4#69,28
14324_4#7,7
14324_4#70,8
14324_4#71,8
14324_4#72,1
14324_4#73,32
14324_4#74,32
14324_4#75,5
14324_4#76,6
14324_4#77,5
14324_4#78,31
14324_4#79,31
14324_4#8,1
14324_4#80,28
14324_4#81,3
14324_4#82,28
14324_4#83,3
14324_4#84,5
14324_4#85,25
14324_4#86,2
14324_4#87,9
14324_4#88,29
14324_4#89,1
14324_4#9,3
14324_4#90,29
14324_4#91,21
14324_4#92,29
14324_4#93,4
14324_4#94,25
14324_4#95,31
14324_5#1,10
14324_5#10,6
14324_5#11,31
14324_5#12,31
14324_5#13,26
14324_5#14,26
14324_5#15,23
14324_5#16,23
14324_5#17,11
14324_5#18,11
14324_5#19,11
14324_5#2,10
14324_5#20,28
14324_5#21,28
14324_5#22,10
14324_5#23,10
14324_5#24,31
14324_5#25,31
14324_5#26,31
14324_5#27,32
14324_5#28,32
14324_5#29,12
14324_5#3,28
14324_5#30,12
14324_5#31,12
14324_5#32,31
14324_5#33,31
14324_5#34,31
14324_5#35,31
14324_5#36,13
14324_5#37,13
14324_5#38,31
14324_5#39,31
14324_5#4,28
14324_5#40,31
14324_5#41,11
14324_5#42,11
14324_5#43,11
14324_5#44,30
14324_5#45,30
14324_5#46,29
14324_5#47,29
14324_5#48,14
14324_5#49,14
14324_5#5,31
14324_5#50,14
14324_5#51,31
14324_5#52,31
14324_5#53,31
14324_5#54,29
14324_5#55,29
14324_5#56,29
14324_5#57,28
14324_5#58,28
14324_5#59,28
14324_5#6,31
14324_5#60,15
14324_5#61,15
14324_5#62,23
14324_5#63,23
14324_5#64,28
14324_5#65,28
14324_5#66,28
14324_5#67,21
14324_5#68,21
