Isolate,baps.cluster
14324_4#1,30
14324_4#10,30
14324_4#11,28
14324_4#12,30
14324_4#13,17
14324_4#14,17
14324_4#15,25
14324_4#16,29
14324_4#17,28
14324_4#18,28
14324_4#19,27
14324_4#2,31
14324_4#20,24
14324_4#21,9
14324_4#22,30
14324_4#23,19
14324_4#24,25
14324_4#25,30
14324_4#26,28
14324_4#27,29
14324_4#28,30
14324_4#29,24
14324_4#3,31
14324_4#30,19
14324_4#31,28
14324_4#32,30
14324_4#33,30
14324_4#34,9
14324_4#35,19
14324_4#36,30
14324_4#37,19
14324_4#38,31
14324_4#39,21
14324_4#4,17
14324_4#40,29
14324_4#41,17
14324_4#42,28
14324_4#43,28
14324_4#44,21
14324_4#45,30
14324_4#46,31
14324_4#47,28
14324_4#48,14
14324_4#49,22
14324_4#5,29
14324_4#50,12
14324_4#51,29
14324_4#52,22
14324_4#53,30
14324_4#54,27
14324_4#55,19
14324_4#56,28
14324_4#57,30
14324_4#58,19
14324_4#59,9
14324_4#6,17
14324_4#60,21
14324_4#61,27
14324_4#62,19
14324_4#63,30
14324_4#64,14
14324_4#65,28
14324_4#66,30
14324_4#67,27
14324_4#68,22
14324_4#69,30
14324_4#7,27
14324_4#70,6
14324_4#71,6
14324_4#72,30
14324_4#73,13
14324_4#74,27
14324_4#75,14
14324_4#76,12
14324_4#77,14
14324_4#78,28
14324_4#79,28
14324_4#8,30
14324_4#80,30
14324_4#81,19
14324_4#82,30
14324_4#83,19
14324_4#84,14
14324_4#85,29
14324_4#86,9
14324_4#87,11
14324_4#88,31
14324_4#89,30
14324_4#9,19
14324_4#90,31
14324_4#91,25
14324_4#92,31
14324_4#93,21
14324_4#94,29
14324_4#95,24
14324_5#1,8
14324_5#10,12
14324_5#11,24
14324_5#12,24
14324_5#13,22
14324_5#14,22
14324_5#15,23
14324_5#16,23
14324_5#17,20
14324_5#18,20
14324_5#19,20
14324_5#2,8
14324_5#20,30
14324_5#21,30
14324_5#22,8
14324_5#23,8
14324_5#24,24
14324_5#25,24
14324_5#26,24
14324_5#27,27
14324_5#28,27
14324_5#29,22
14324_5#3,30
14324_5#30,22
14324_5#31,22
14324_5#32,24
14324_5#33,24
14324_5#34,24
14324_5#35,24
14324_5#36,10
14324_5#37,10
14324_5#38,24
14324_5#39,24
14324_5#4,30
14324_5#40,24
14324_5#41,20
14324_5#42,20
14324_5#43,20
14324_5#44,20
14324_5#45,20
14324_5#46,31
14324_5#47,31
14324_5#48,5
14324_5#49,5
14324_5#5,24
14324_5#50,5
14324_5#51,24
14324_5#52,24
14324_5#53,24
14324_5#54,31
14324_5#55,31
14324_5#56,31
14324_5#57,30
14324_5#58,30
14324_5#59,30
14324_5#6,24
14324_5#60,27
14324_5#61,27
14324_5#62,23
14324_5#63,23
14324_5#64,30
14324_5#65,30
14324_5#66,30
14324_5#67,25
14324_5#68,25
14324_5#69,25
14324_5#7,24
14324_5#70,20
14324_5#72,20
14324_5#73,20
14324_5#74,22
14324_5#75,22
14324_5#76,16
14324_5#77,16
14324_5#78,16
14324_5#79,15
14324_5#8,24
14324_5#80,15
14324_5#81,24
14324_5#83,20
14324_5#84,20
14324_5#85,16
14324_5#86,16
14324_5#87,24
14324_5#88,24
14324_5#89,24
14324_5#9,12
14324_5#90,16
14324_5#91,16
14324_5#92,31
14324_5#93,31
14324_5#94,31
14324_5#95,20
14355_4#1,31
14355_4#10,25
14355_4#11,31
14355_4#12,21
14355_4#13,29
14355_4#14,24
14355_4#15,24
14355_4#16,21
14355_4#17,31
14355_4#18,9
14355_4#19,30
14355_4#2,10
14355_4#20,29
14355_4#21,23
14355_4#22,25
14355_4#23,29
14355_4#24,29
14355_4#25,24
14355_4#26,29
14355_4#27,30
14355_4#28,25
14355_4#29,24
14355_4#3,31
14355_4#30,31
14355_4#31,24
14355_4#32,28
14355_4#33,11
14355_4#34,30
14355_4#35,28
14355_4#36,11
14355_4#37,2
14355_4#38,23
14355_4#39,12
14355_4#4,30
14355_4#40,30
14355_4#41,23
14355_4#42,23
14355_4#43,30
14355_4#44,24
14355_4#45,30
14355_4#46,17
14355_4#47,21
14355_4#48,30
14355_4#5,25
14355_4#50,24
14355_4#51,30
14355_4#52,30
14355_4#53,30
14355_4#54,30
14355_4#55,16
14355_4#56,31
14355_4#57,21
14355_4#58,20
14355_4#59,25
14355_4#6,31
14355_4#60,30
14355_4#61,31
14355_4#62,23
14355_4#63,26
14355_4#64,29
14355_4#65,31
14355_4#66,7
14355_4#67,29
14355_4#68,30
14355_4#69,31
14355_4#7,25
14355_4#71,31
14355_4#72,15
14355_4#74,25
14355_4#75,29
14355_4#76,23
14355_4#77,16
14355_4#78,26
14355_4#79,17
14355_4#8,29
14355_4#80,27
14355_4#81,17
14355_4#82,24
14355_4#83,30
14355_4#84,31
14355_4#85,31
14355_4#86,24
14355_4#87,31
14355_4#88,21
14355_4#89,28
14355_4#9,28
14355_4#90,21
14355_4#91,17
14355_4#92,30
14355_4#93,25
14355_4#94,24
14355_4#95,29
14355_5#1,30
14355_5#10,25
14355_5#11,29
14355_5#12,31
14355_5#13,25
14355_5#14,30
14355_5#15,29
14355_5#16,17
14355_5#17,30
14355_5#18,30
14355_5#19,29
14355_5#2,30
14355_5#20,31
14355_5#21,30
14355_5#22,31
14355_5#23,29
14355_5#24,31
14355_5#25,17
14355_5#26,16
14355_5#27,29
14355_5#28,25
14355_5#29,17
14355_5#3,27
14355_5#30,29
14355_5#31,30
14355_5#32,21
14355_5#33,16
14355_5#34,20
14355_5#35,24
14355_5#36,31
14355_5#37,24
14355_5#38,17
14355_5#39,31
14355_5#4,17
14355_5#40,9
14355_5#41,27
14355_5#42,24
14355_5#43,28
14355_5#44,16
14355_5#45,16
14355_5#46,17
14355_5#47,30
14355_5#48,28
14355_5#49,31
14355_5#5,27
14355_5#50,24
14355_5#51,30
14355_5#52,31
14355_5#53,24
14355_5#54,16
14355_5#55,30
14355_5#56,29
14355_5#57,31
14355_5#58,31
14355_5#59,20
14355_5#6,30
14355_5#60,16
14355_5#61,26
14355_5#62,20
14355_5#63,21
14355_5#64,28
14355_5#65,30
14355_5#66,24
14355_5#67,24
14355_5#68,27
14355_5#69,16
14355_5#7,26
14355_5#70,24
14355_5#71,30
14355_5#72,16
14355_5#73,31
14355_5#74,16
14355_5#75,27
14355_5#76,27
14355_5#77,16
