Isolate,baps.cluster
4238_1#1,13
4238_1#10,13
4238_1#11,5
4238_1#12,8
4238_1#4,5
4238_1#5,5
4238_1#6,5
4238_1#7,13
4238_1#8,13
4330_2#1,14
4330_2#10,8
4330_2#11,8
4330_2#12,8
4330_2#2,9
4330_2#3,5
4330_2#4,8
4330_2#5,14
4330_2#6,8
4330_2#7,8
4330_2#8,9
4330_2#9,8
4330_8#1,13
4330_8#10,5
4330_8#11,5
4330_8#12,5
4330_8#2,1
4330_8#3,8
4330_8#4,13
4330_8#6,7
4330_8#7,8
4330_8#8,12
4330_8#9,5
4340_5#1,13
4340_5#10,12
4340_5#11,8
4340_5#12,10
4340_5#2,1
4340_5#3,8
4340_5#4,8
4340_5#5,4
4340_5#6,6
4340_5#8,12
4340_5#9,14
4340_6#1,13
4340_6#11,12
4340_6#12,8
4340_6#2,5
4340_6#3,3
4340_6#4,3
4340_6#6,5
4340_6#7,8
4340_6#8,1
4340_6#9,10
4350_1#1,8
4350_1#10,8
4350_1#11,9
4350_1#12,8
4350_1#2,8
4350_1#3,11
4350_1#4,13
4350_1#5,8
4350_1#6,13
4350_1#7,13
4350_1#8,8
4350_1#9,5
4350_2#1,6
4350_2#10,9
4350_2#11,8
4350_2#2,14
4350_2#3,14
4350_2#4,9
4350_2#5,2
4350_2#6,5
4350_2#7,8
4350_2#8,1
4350_2#9,6
4350_7#5,9
4350_7#6,12
4386_1#1,8
4386_1#10,8
4386_1#11,13
4386_1#12,8
4386_1#2,13
4386_1#3,13
4386_1#4,14
4386_1#5,13
4386_1#6,5
4386_1#7,8
4386_1#8,9
4386_1#9,8
4386_2#1,13
4386_2#11,5
4386_2#12,14
4386_2#2,10
4386_2#3,2
4386_2#5,14
4386_2#6,13
4386_2#8,14
4386_2#9,7
4386_5#1,8
4386_5#10,8
4386_5#12,5
4386_5#2,7
4386_5#4,8
4386_5#5,11
4386_5#6,5
4386_5#7,5
4386_5#8,10
4386_6#1,12
4386_6#10,14
4386_6#11,5
4386_6#12,12
4386_6#2,14
4386_6#3,10
4386_6#4,10
4386_6#5,5
4386_6#6,5
4386_6#7,5
4386_6#8,12
4386_6#9,3
4386_7#1,10
4386_7#10,10
4386_7#11,10
4386_7#12,10
4386_7#2,10
4386_7#3,8
4386_7#4,13
4386_7#5,14
4386_7#7,8
4386_7#8,12
4386_8#1,10
4386_8#10,2
4386_8#11,10
4386_8#2,8
4386_8#3,9
4386_8#4,8
4386_8#5,8
4386_8#7,8
4386_8#8,7
4395_2#1,10
4395_2#10,10
4395_2#11,8
4395_2#12,10
4395_2#3,9
4395_2#4,12
4395_2#5,10
4395_2#6,10
4395_2#7,8
4395_2#8,4
4395_2#9,8
4395_3#1,8
4395_3#10,8
4395_3#11,13
4395_3#12,8
4395_3#3,14
4395_3#4,8
4395_3#5,8
4395_3#6,8
4395_3#7,7
4395_3#8,8
4395_3#9,4
4414_1#1,14
4414_1#10,7
4414_1#12,6
4414_1#2,8
4414_1#3,14
4414_1#5,8
4414_1#6,12
4414_1#8,12
4414_2#1,14
4414_2#10,13
4414_2#12,10
4414_2#2,8
4414_2#3,10
4414_2#4,14
4414_2#5,8
4414_2#6,13
4414_2#7,3
4414_2#8,8
4414_2#9,12
4414_3#1,9
4414_3#10,13
4414_3#11,13
4414_3#12,13
4414_3#2,12
4414_3#3,13
4414_3#4,13
4414_3#5,9
4414_3#6,9
4414_3#7,14
4414_3#8,5
4414_3#9,5
4414_5#1,9
4414_5#10,13
4414_5#11,14
4414_5#12,9
4414_5#2,12
4414_5#3,14
4414_5#4,13
4414_5#5,10
4414_5#6,13
4414_5#7,8
4414_5#8,13
4414_5#9,12
4414_6#1,14
4414_6#10,14
4414_6#12,9
4414_6#2,14
4414_6#3,13
4414_6#4,12
4414_6#5,8
4414_6#6,13
4414_6#7,2
4414_6#9,9
4430_1#1,13
4430_1#10,11
4430_1#11,10
4430_1#12,7
4430_1#2,9
4430_1#3,7
4430_1#5,14
4430_1#6,8
4430_1#7,9
4430_1#9,10
4430_2#1,12
4430_2#10,8
4430_2#11,12
4430_2#12,12
4430_2#2,10
4430_2#3,8
4430_2#4,12
4430_2#5,10
4430_2#6,8
4430_2#7,8
4430_2#8,9
4430_2#9,5
4453_5#1,6
4453_5#10,8
4453_5#2,13
4453_5#3,14
4453_5#4,13
4453_5#5,8
4453_5#6,5
4453_5#7,9
4453_5#9,8
6133_1#1,14
6133_1#10,8
6133_1#11,11
6133_1#12,13
6133_1#2,14
6133_1#3,10
6133_1#4,8
6133_1#5,14
6133_1#6,14
6133_1#7,4
6133_1#8,14
6133_1#9,8
6133_2#1,9
6133_2#11,9
6133_2#12,3
6133_2#2,1
6133_2#3,4
6133_2#4,1
6133_2#5,14
6133_2#6,13
6133_2#9,8
6133_3#1,9
6133_3#10,2
6133_3#2,3
6133_3#3,14
6133_3#4,14
6133_3#5,13
6133_3#7,14
6133_3#8,13
6133_3#9,7
6236_1#1,8
6236_1#10,10
6236_1#11,8
6236_1#2,2
6236_1#3,12
6236_1#4,13
6236_1#6,9
6236_1#7,8
6236_1#9,12
