Isolates,Level 1,Level 2
MK2008_2015-02-12,1,2
MK2826_2015-03-08,1,2
KT5022_2015-02-13,7,22
20524_EMLK_2015-09-06,2,3
J0135_2014-11-03,4,10
77524_EMLK_2014-12-30,4,10
490_EMLH_2015-01-30,4,10
491_EMLH_2015-01-30,4,10
567_EMLH_2015-02-03,4,10
592_EMLH_2015-02-05,4,10
75674_EMLH_2015-01-13,4,10
DML13828_2015-06-22,7,22
KT7106_2015-07-19,7,22
KG35_2015-06-08,6,15
EM_FORE_2015-2547_2015-09-26,3,6
KG45_2015-06-09,6,15
LIBR0114_2014-11-10,7,20
LIBR10081_2014-08-26,7,22
LIBR10245_2014-07-01,7,20
LIBR10253_2014-09-16,7,22
EM_074684_2014-08-14,7,22
EM_076769_2014-11-08,7,22
EM_076770_2014-11-08,7,22
EM_076948_2014-11-13,7,22
EM_076949_2014-11-13,7,22
EM_078697_2014-12-14,7,22
EM_078709_2014-12-14,7,22
KT5243_2015-02-22,5,13
EM_COY_2015_017174_2015-05-30,3,5
EM_FORE_2015_1140_2015-07-03,3,5
DML24620_2015-01-21,4,9
DML24706_2015-01-28,4,9
DML24720_2015-01-29,4,9
DML24758_2015-01-30,4,9
DML24853_2015-02-06,4,9
LIBR0063_2014-11-06,7,21
LIBR0279_2014-11-22,7,22
DML14077_2015-06-30,8,26
DML14163_2015-07-03,8,26
DML14366_2015-07-11,8,26
J0169_2014-11-09,8,27
77613_EMLK_2015-01-05,8,27
77615_EMLK_2015-01-05,8,27
18642R_EMLH_2015-07-08,8,26
18659R_EMLH_2015-07-10,8,26
18687R_EMLH_2015-07-12,8,26
13031_EMLH_2015-05-18,8,26
77526_EMLK_2014-12-30,8,27
14687_EMLK_2015-02-21,8,27
12851_EMLH_2015-04-15,8,26
12854_EMLH_2015-04-15,8,26
12855_EMLH_2015-04-15,8,26
12872_EMLH_2015-04-18,8,26
12916_EMLH_2015-04-29,8,26
12934_EMLH_2015-05-04,8,26
12936_EMLH_2015-05-04,8,26
13204_EMLH_2015-06-16,8,26
13247_EMLH_2015-06-19,8,26
13268_EMLH_2015-06-23,8,26
13275_EMLH_2015-06-24,8,26
15070R_DML_2015-08-06,8,26
18538_EMLH_2015-07-04,8,26
18596_EMLH_2015-07-05,8,26
18636_EMLH_2015-07-08,8,26
18647_EMLH_2015-07-09,8,26
18648_EMLH_2015-07-09,8,26
18649_EMLH_2015-07-10,8,26
18650_EMLH_2015-07-10,8,26
18660_EMLH_2015-07-10,8,26
18706_EMLH_2015-07-14,8,26
MK10128_2015-07-31,8,26
MK10173_2015-08-01,8,26
MK8878_2015-07-23,8,26
MK9396_2015-07-18,8,26
PL8486_2015-06-25,8,26
PL4346_2015-03-04,8,26
CDC-NIH-272_2014-08-27,7,20
77572_EMLK_2015-01-03,4,8
EM_COY_2015_023888_2015-09-15,3,6
CON-10193_2015-08-03,3,6
CON-10512_2015-08-11,3,6
