Isolates,Level 1
14412_3#81,11
14412_3#82,1
14412_3#83,7
14412_3#84,8
14412_3#85,2
14412_3#86,2
14412_3#87,9
14412_3#88,11
14412_3#89,11
14412_3#90,10
14412_3#91,8
14412_3#92,8
14412_3#93,9
14412_3#94,3
14412_3#95,10
14412_4#1,8
14412_4#10,7
14412_4#11,2
14412_4#12,2
14412_4#13,2
14412_4#14,10
14412_4#16,4
14412_4#17,11
14412_4#18,11
14412_4#19,3
14412_4#2,12
14412_4#20,3
14412_4#21,3
14412_4#22,3
14412_4#23,10
14412_4#24,10
14412_4#25,4
14412_4#26,9
14412_4#27,3
14412_4#28,3
14412_4#29,3
14412_4#3,10
14412_4#30,3
14412_4#31,12
14412_4#32,12
14412_4#33,12
14412_4#34,12
14412_4#35,5
14412_4#36,1
14412_4#37,1
14412_4#38,11
14412_4#39,3
14412_4#4,3
14412_4#40,3
14412_4#41,1
14412_4#42,9
14412_4#43,11
14412_4#44,8
14412_4#45,4
14412_4#46,4
14412_4#47,2
14412_4#48,2
14412_4#49,2
14412_4#5,3
14412_4#50,7
14412_4#51,7
14412_4#52,6
14412_4#53,6
14412_4#54,9
14412_4#55,11
14412_4#56,9
14412_4#57,3
14412_4#58,3
14412_4#59,5
14412_4#6,7
14412_4#60,5
14412_4#61,8
14412_4#7,7
14412_4#8,11
14412_4#9,11
