Isolates,Level 1
MK2008_2015-02-12,1
MK2826_2015-03-08,1
KT5022_2015-02-13,13
20524_EMLK_2015-09-06,6
J0135_2014-11-03,12
77524_EMLK_2014-12-30,12
490_EMLH_2015-01-30,12
491_EMLH_2015-01-30,12
567_EMLH_2015-02-03,12
592_EMLH_2015-02-05,12
75674_EMLH_2015-01-13,12
DML13828_2015-06-22,13
KT7106_2015-07-19,13
KG35_2015-06-08,8
EM_FORE_2015-2547_2015-09-26,9
KG45_2015-06-09,8
LIBR0114_2014-11-10,13
LIBR10081_2014-08-26,13
LIBR10245_2014-07-01,13
LIBR10253_2014-09-16,13
EM_074684_2014-08-14,13
EM_076769_2014-11-08,13
EM_076770_2014-11-08,13
EM_076948_2014-11-13,13
EM_076949_2014-11-13,13
EM_078697_2014-12-14,13
EM_078709_2014-12-14,13
KT5243_2015-02-22,11
EM_COY_2015_017174_2015-05-30,9
EM_FORE_2015_1140_2015-07-03,9
DML24620_2015-01-21,12
DML24706_2015-01-28,12
DML24720_2015-01-29,12
DML24758_2015-01-30,12
DML24853_2015-02-06,12
LIBR0063_2014-11-06,13
LIBR0279_2014-11-22,13
DML14077_2015-06-30,2
DML14163_2015-07-03,2
DML14366_2015-07-11,2
J0169_2014-11-09,10
77613_EMLK_2015-01-05,10
77615_EMLK_2015-01-05,10
18642R_EMLH_2015-07-08,2
18659R_EMLH_2015-07-10,2
18687R_EMLH_2015-07-12,2
13031_EMLH_2015-05-18,2
77526_EMLK_2014-12-30,10
14687_EMLK_2015-02-21,10
12851_EMLH_2015-04-15,2
12854_EMLH_2015-04-15,2
12855_EMLH_2015-04-15,2
12872_EMLH_2015-04-18,2
12916_EMLH_2015-04-29,2
12934_EMLH_2015-05-04,2
12936_EMLH_2015-05-04,2
13204_EMLH_2015-06-16,2
13247_EMLH_2015-06-19,2
13268_EMLH_2015-06-23,2
13275_EMLH_2015-06-24,2
15070R_DML_2015-08-06,2
18538_EMLH_2015-07-04,2
18596_EMLH_2015-07-05,2
18636_EMLH_2015-07-08,2
18647_EMLH_2015-07-09,2
18648_EMLH_2015-07-09,2
18649_EMLH_2015-07-10,2
18650_EMLH_2015-07-10,2
18660_EMLH_2015-07-10,2
18706_EMLH_2015-07-14,2
MK10128_2015-07-31,2
MK10173_2015-08-01,2
MK8878_2015-07-23,2
MK9396_2015-07-18,2
PL8486_2015-06-25,2
PL4346_2015-03-04,2
CDC-NIH-272_2014-08-27,13
77572_EMLK_2015-01-03,12
EM_COY_2015_023888_2015-09-15,9
CON-10193_2015-08-03,9
CON-10512_2015-08-11,9
CON-10590_2015-08-13,9
