Isolate,baps.cluster
MK2008_2015-02-12,7
MK2826_2015-03-08,7
KT5022_2015-02-13,13
20524_EMLK_2015-09-06,2
J0135_2014-11-03,9
77524_EMLK_2014-12-30,9
490_EMLH_2015-01-30,9
491_EMLH_2015-01-30,9
567_EMLH_2015-02-03,9
592_EMLH_2015-02-05,9
75674_EMLH_2015-01-13,9
DML13828_2015-06-22,13
KT7106_2015-07-19,13
KG35_2015-06-08,10
EM_FORE_2015-2547_2015-09-26,11
KG45_2015-06-09,10
LIBR0114_2014-11-10,13
LIBR10081_2014-08-26,13
LIBR10245_2014-07-01,13
LIBR10253_2014-09-16,13
EM_074684_2014-08-14,13
EM_076769_2014-11-08,13
EM_076770_2014-11-08,13
EM_076948_2014-11-13,13
EM_076949_2014-11-13,13
EM_078697_2014-12-14,13
EM_078709_2014-12-14,13
KT5243_2015-02-22,4
EM_COY_2015_017174_2015-05-30,11
EM_FORE_2015_1140_2015-07-03,11
DML24620_2015-01-21,9
DML24706_2015-01-28,9
DML24720_2015-01-29,9
DML24758_2015-01-30,9
DML24853_2015-02-06,9
LIBR0063_2014-11-06,8
LIBR0279_2014-11-22,13
DML14077_2015-06-30,5
DML14163_2015-07-03,5
DML14366_2015-07-11,5
J0169_2014-11-09,6
77613_EMLK_2015-01-05,6
77615_EMLK_2015-01-05,6
18642R_EMLH_2015-07-08,5
18659R_EMLH_2015-07-10,5
18687R_EMLH_2015-07-12,5
13031_EMLH_2015-05-18,5
77526_EMLK_2014-12-30,6
14687_EMLK_2015-02-21,6
12851_EMLH_2015-04-15,5
12854_EMLH_2015-04-15,5
12855_EMLH_2015-04-15,5
12872_EMLH_2015-04-18,5
12916_EMLH_2015-04-29,5
12934_EMLH_2015-05-04,5
12936_EMLH_2015-05-04,5
13204_EMLH_2015-06-16,5
13247_EMLH_2015-06-19,5
13268_EMLH_2015-06-23,5
13275_EMLH_2015-06-24,5
15070R_DML_2015-08-06,5
18538_EMLH_2015-07-04,5
18596_EMLH_2015-07-05,5
18636_EMLH_2015-07-08,5
18647_EMLH_2015-07-09,5
18648_EMLH_2015-07-09,5
18649_EMLH_2015-07-10,5
18650_EMLH_2015-07-10,5
18660_EMLH_2015-07-10,5
18706_EMLH_2015-07-14,5
MK10128_2015-07-31,5
MK10173_2015-08-01,5
MK8878_2015-07-23,5
MK9396_2015-07-18,5
PL8486_2015-06-25,5
PL4346_2015-03-04,5
CDC-NIH-272_2014-08-27,13
77572_EMLK_2015-01-03,9
EM_COY_2015_023888_2015-09-15,11
CON-10193_2015-08-03,11
CON-10512_2015-08-11,11
CON-10590_2015-08-13,11
CON-10786_2015-08-17,11
CON-11010_2015-08-23,11
CON-8559_2015-06-21,11
CON-8811_2015-06-27,11
CON12930_2015-10-13,10
EM-FORE-2015-1414_2015-07-13,11
EM-FORE-2015-548_2015-05-27,11
EM-FORE-2015-631_2015-06-02,11
EM-FORE-2015-664_2015-06-04,11
EM-FORE-2015-669_2015-06-05,11
EM-FORE-2015-838_2015-06-16,11
EM-FORE_2015_1160_2015-07-13,13
EM_COY_2015_013576_2015-03-09,10
EM_COY_2015_013671_2015-03-12,11
EM_COY_2015_013731_2015-03-14,10
EM_COY_2015_013795_2015-03-16,11
EM_COY_2015_013857_2015-03-18,10
EM_COY_2015_013962_2015-03-22,11
EM_COY_2015_014060_2015-03-25,11
EM_COY_2015_014098_2015-03-26,10
EM_COY_2015_014100_2015-03-26,10
EM_COY_2015_014102_2015-03-26,10
EM_COY_2015_014261_2015-04-02,10
EM_COY_2015_014370_2015-04-07,11
EM_COY_2015_015802_2015-04-14,10
EM_COY_2015_015815_2015-04-14,11
EM_COY_2015_015972_2015-04-20,11
EM_COY_2015_015980_2015-04-20,11
EM_COY_2015_015982_2015-04-20,10
EM_COY_2015_015986_2015-04-20,11
EM_COY_2015_016236_2015-05-03,10
EM_COY_2015_016238_2015-05-03,11
EM_COY_2015_016263_2015-05-04,10
EM_COY_2015_016267_2015-05-04,11
EM_COY_2015_016278_2015-05-05,11
EM_COY_2015_016293_2015-05-06,10
EM_COY_2015_016414_2015-05-11,11
EM_COY_2015_016449_2015-05-11,10
EM_COY_2015_016456_2015-05-12,11
EM_COY_2015_016483_2015-05-13,10
EM_COY_2015_016515_2015-05-14,11
EM_COY_2015_016531_2015-05-14,11
EM_COY_2015_016617_2015-05-16,11
EM_COY_2015_016642_2015-05-17,10
EM_COY_2015_016743_2015-05-19,10
EM_COY_2015_016800_2015-05-20,11
EM_COY_2015_017018_2015-05-26,10
EM_COY_2015_017021_2015-05-25,10
EM_COY_2015_017057_2015-05-27,11
EM_COY_2015_017091_2015-05-28,10
EM_COY_2015_017135_2015-05-29,11
EM_COY_2015_017238_2015-05-31,11
EM_COY_2015_017240_2015-05-31,11
EM_COY_2015_017574_2015-06-10,10
EM_COY_2015_017664_2015-06-12,11
EM_COY_2015_017666_2015-06-12,11
EM_COY_2015_017787_2015-06-16,11
EM_COY_2015_017788_2015-06-16,11
EM_COY_2015_017865_2015-06-18,11
EM_COY_2015_022059_2015-07-02,11
EM_COY_2015_023747_2015-09-09,11
EM_FORE_2015-1971_2015-08-14,11
EM_FORE_2015_1023_2015-06-29,11
EM_FORE_2015_1024_2015-06-29,11
EM_FORE_2015_1047_2015-06-30,11
EM_FORE_2015_1076_2015-07-01,11
EM_FORE_2015_1079_2015-07-01,11
EM_FORE_2015_1118_2015-07-02,11
EM_FORE_2015_1313_2015-07-10,11
EM_FORE_2015_1415_2015-07-20,13
EM_FORE_2015_1437_2015-07-15,11
EM_FORE_2015_2781_2015-10-13,11
EM_FORE_2015_2878_2015-10-24,11
EM_FORE_2015_695_2015-06-07,11
EM_FORE_2015_696_2015-06-07,11
EM_FORE_2015_697_2015-06-07,11
EM_FORE_2015_781_2015-06-13,11
EM_FORE_2015_816_2015-06-15,10
EM_FORE_2015_875_2015-06-17,10
EM_FORE_2015_896_2015-06-20,11
EM_FORE_2015_934_2015-06-23,11
EM_GUI_2015_004674_2015-03-26,11
EM_FORE_2015-2417_2015-09-15,11
EM_FORE_2015-2531_2015-09-26,11
EM_FORE_2015-2533_2015-09-26,11
GUI_CTS_2015_0050_2015-06-20,10
