Isolates,Level 1,Level 2
MK2008_2015-02-12,1,3
MK2826_2015-03-08,1,3
KT5022_2015-02-13,13,60
20524_EMLK_2015-09-06,6,24
J0135_2014-11-03,12,55
77524_EMLK_2014-12-30,12,55
490_EMLH_2015-01-30,12,55
491_EMLH_2015-01-30,12,55
567_EMLH_2015-02-03,12,55
592_EMLH_2015-02-05,12,55
75674_EMLH_2015-01-13,12,55
DML13828_2015-06-22,13,60
KT7106_2015-07-19,13,60
KG35_2015-06-08,8,33
EM_FORE_2015-2547_2015-09-26,9,40
KG45_2015-06-09,8,33
LIBR0114_2014-11-10,13,58
LIBR10081_2014-08-26,13,59
LIBR10245_2014-07-01,13,58
LIBR10253_2014-09-16,13,61
EM_074684_2014-08-14,13,61
EM_076769_2014-11-08,13,61
EM_076770_2014-11-08,13,61
EM_076948_2014-11-13,13,61
EM_076949_2014-11-13,13,61
EM_078697_2014-12-14,13,61
EM_078709_2014-12-14,13,61
KT5243_2015-02-22,11,51
EM_COY_2015_017174_2015-05-30,9,37
EM_FORE_2015_1140_2015-07-03,9,37
DML24620_2015-01-21,12,52
DML24706_2015-01-28,12,57
DML24720_2015-01-29,12,57
DML24758_2015-01-30,12,52
DML24853_2015-02-06,12,52
LIBR0063_2014-11-06,13,59
LIBR0279_2014-11-22,13,59
DML14077_2015-06-30,2,6
DML14163_2015-07-03,2,6
DML14366_2015-07-11,2,6
J0169_2014-11-09,10,46
77613_EMLK_2015-01-05,10,46
77615_EMLK_2015-01-05,10,46
18642R_EMLH_2015-07-08,2,6
18659R_EMLH_2015-07-10,2,6
18687R_EMLH_2015-07-12,2,6
13031_EMLH_2015-05-18,2,7
77526_EMLK_2014-12-30,10,46
14687_EMLK_2015-02-21,10,46
12851_EMLH_2015-04-15,2,7
12854_EMLH_2015-04-15,2,7
12855_EMLH_2015-04-15,2,7
12872_EMLH_2015-04-18,2,7
12916_EMLH_2015-04-29,2,7
12934_EMLH_2015-05-04,2,7
12936_EMLH_2015-05-04,2,7
13204_EMLH_2015-06-16,2,6
13247_EMLH_2015-06-19,2,6
13268_EMLH_2015-06-23,2,6
13275_EMLH_2015-06-24,2,6
15070R_DML_2015-08-06,2,6
18538_EMLH_2015-07-04,2,6
18596_EMLH_2015-07-05,2,6
18636_EMLH_2015-07-08,2,6
18647_EMLH_2015-07-09,2,6
18648_EMLH_2015-07-09,2,6
18649_EMLH_2015-07-10,2,6
18650_EMLH_2015-07-10,2,6
18660_EMLH_2015-07-10,2,6
18706_EMLH_2015-07-14,2,6
MK10128_2015-07-31,2,6
MK10173_2015-08-01,2,6
MK8878_2015-07-23,2,6
MK9396_2015-07-18,2,7
PL8486_2015-06-25,2,6
PL4346_2015-03-04,2,5
CDC-NIH-272_2014-08-27,13,58
77572_EMLK_2015-01-03,12,53
EM_COY_2015_023888_2015-09-15,9,40
CON-10193_2015-08-03,9,40
CON-10512_2015-08-11,9,40
CON-10590_2015-08-13,9,40
CON-10786_2015-08-17,9,37
CON-11010_2015-08-23,9,40
CON-8559_2015-06-21,9,39
CON-8811_2015-06-27,9,37
CON12930_2015-10-13,8,35
EM-FORE-2015-1414_2015-07-13,9,37
EM-FORE-2015-548_2015-05-27,9,37
EM-FORE-2015-631_2015-06-02,9,37
EM-FORE-2015-664_2015-06-04,9,37
EM-FORE-2015-669_2015-06-05,9,37
