Isolates,Level 1,Level 2
14324_4#1,9,35
14324_4#10,9,35
14324_4#11,12,46
14324_4#12,9,35
14324_4#13,8,26
14324_4#14,8,26
14324_4#15,10,38
14324_4#16,10,39
14324_4#17,12,47
14324_4#18,12,46
14324_4#19,14,56
14324_4#2,12,47
14324_4#20,12,45
14324_4#21,16,62
14324_4#22,9,36
14324_4#23,1,3
14324_4#24,10,38
14324_4#25,9,31
14324_4#26,12,47
14324_4#27,10,39
14324_4#28,9,35
14324_4#29,12,45
14324_4#3,12,47
14324_4#30,1,3
14324_4#31,12,47
14324_4#32,9,34
14324_4#33,9,35
14324_4#34,16,62
14324_4#35,1,2
14324_4#36,9,35
14324_4#37,1,3
14324_4#38,12,47
14324_4#39,2,4
14324_4#4,8,26
14324_4#40,10,39
14324_4#41,8,26
14324_4#42,12,47
14324_4#43,12,47
14324_4#44,2,4
14324_4#45,9,35
14324_4#46,12,47
14324_4#47,12,47
14324_4#48,3,9
14324_4#49,15,57
14324_4#5,10,39
14324_4#50,13,48
14324_4#51,10,39
14324_4#52,15,57
14324_4#53,9,35
14324_4#54,14,56
14324_4#55,1,3
14324_4#56,12,47
14324_4#57,9,35
14324_4#58,1,3
14324_4#59,16,62
14324_4#6,8,26
14324_4#60,2,5
14324_4#61,14,56
14324_4#62,1,3
14324_4#63,9,32
14324_4#64,3,10
14324_4#65,12,45
14324_4#66,9,36
14324_4#67,14,56
14324_4#68,15,57
14324_4#69,9,31
14324_4#7,14,53
14324_4#70,4,14
14324_4#71,4,12
14324_4#72,9,35
14324_4#73,16,63
14324_4#74,14,56
14324_4#75,3,8
14324_4#76,13,48
14324_4#77,3,9
14324_4#78,12,45
14324_4#79,12,45
14324_4#8,9,35
14324_4#80,9,34
14324_4#81,1,3
14324_4#82,9,33
14324_4#83,1,1
14324_4#84,3,9
14324_4#85,10,39
14324_4#86,16,62
14324_4#87,15,58
14324_4#88,12,47
14324_4#89,9,35
14324_4#9,1,3
14324_4#90,12,47
14324_4#91,10,38
14324_4#92,12,47
14324_4#93,2,4
14324_4#94,10,39
14324_4#95,12,45
14324_5#1,13,49
14324_5#10,13,48
14324_5#11,12,45
14324_5#12,12,45
14324_5#13,15,57
14324_5#14,15,57
14324_5#15,5,15
14324_5#16,5,15
14324_5#17,11,40
14324_5#18,11,40
14324_5#19,11,40
14324_5#2,13,49
14324_5#20,9,36
14324_5#21,9,36
14324_5#22,13,50
14324_5#23,13,50
14324_5#24,12,45
14324_5#25,12,45
14324_5#26,12,45
14324_5#27,14,56
14324_5#28,14,56
14324_5#29,15,59
14324_5#3,9,36
14324_5#30,15,59
14324_5#31,15,59
14324_5#32,12,45
14324_5#33,12,45
14324_5#34,12,45
14324_5#35,12,45
14324_5#36,6,21
14324_5#37,6,21
14324_5#38,12,45
14324_5#39,12,45
14324_5#4,9,36
14324_5#40,12,45
14324_5#41,11,40
14324_5#42,11,40
14324_5#43,11,40
14324_5#44,11,41
14324_5#45,11,41
14324_5#46,12,47
14324_5#47,12,47
14324_5#48,16,64
14324_5#49,16,64
14324_5#5,12,45
14324_5#50,16,64
14324_5#51,12,45
14324_5#52,12,45
14324_5#53,12,45
14324_5#54,12,47
14324_5#55,12,47
14324_5#56,12,47
14324_5#57,9,34
14324_5#58,9,34
14324_5#59,9,34
14324_5#6,12,45
14324_5#60,14,54
14324_5#61,14,54
14324_5#62,5,15
14324_5#63,5,15
14324_5#64,9,34
14324_5#65,9,34
14324_5#66,9,34
14324_5#67,10,38
14324_5#68,10,38
14324_5#69,10,38
14324_5#7,12,45
14324_5#70,11,40
14324_5#72,11,41
14324_5#73,11,41
14324_5#74,15,60
14324_5#75,15,60
14324_5#76,8,30
14324_5#77,8,30
14324_5#78,8,30
14324_5#79,16,65
14324_5#8,12,45
14324_5#80,16,65
14324_5#81,12,45
14324_5#83,11,41
14324_5#84,11,41
14324_5#85,8,30
14324_5#86,8,30
14324_5#87,12,45
14324_5#88,12,45
14324_5#89,12,45
14324_5#9,13,48
14324_5#90,8,30
14324_5#91,8,30
14324_5#92,12,47
14324_5#93,12,47
14324_5#94,12,47
14324_5#95,11,41
14355_4#1,12,47
14355_4#10,10,38
14355_4#11,12,47
14355_4#12,2,4
14355_4#13,10,39
14355_4#14,12,45
14355_4#15,12,45
14355_4#16,2,4
14355_4#17,12,47
14355_4#18,16,62
14355_4#19,9,34
14355_4#2,6,22
14355_4#20,10,39
14355_4#21,5,16
14355_4#22,10,38
14355_4#23,10,39
14355_4#24,10,39
14355_4#25,12,45
14355_4#26,10,39
14355_4#27,9,35
14355_4#28,10,38
14355_4#29,12,45
14355_4#3,12,47
14355_4#30,12,47
14355_4#31,12,46
14355_4#32,12,46
14355_4#33,15,58
14355_4#34,9,34
14355_4#35,12,46
14355_4#36,15,58
14355_4#37,14,56
14355_4#38,5,15
14355_4#39,13,48
14355_4#4,9,35
14355_4#40,9,34
14355_4#41,5,17
14355_4#42,5,15
14355_4#43,9,34
14355_4#44,12,45
14355_4#45,9,36
14355_4#46,8,29
14355_4#47,2,4
14355_4#48,9,35
14355_4#5,10,38
14355_4#50,12,45
14355_4#51,9,36
14355_4#52,9,35
14355_4#53,9,35
14355_4#54,9,35
14355_4#55,8,30
14355_4#56,12,47
14355_4#57,2,6
14355_4#58,11,42
14355_4#59,10,38
14355_4#6,12,47
14355_4#60,9,36
14355_4#61,12,47
14355_4#62,5,17
14355_4#63,15,60
14355_4#64,10,39
14355_4#65,12,47
14355_4#66,7,23
14355_4#67,10,39
14355_4#68,9,36
14355_4#69,12,47
14355_4#7,10,38
14355_4#71,12,47
14355_4#72,16,65
14355_4#74,10,38
14355_4#75,10,39
14355_4#76,5,17
14355_4#77,8,30
14355_4#78,15,60
14355_4#79,8,29
14355_4#8,10,39
14355_4#80,14,56
14355_4#81,8,29
14355_4#82,12,46
14355_4#83,9,31
14355_4#84,12,47
14355_4#85,12,47
14355_4#86,12,45
14355_4#87,12,47
14355_4#88,2,4
14355_4#89,12,46
14355_4#9,12,46
14355_4#90,2,4
14355_4#91,8,29
14355_4#92,9,32
14355_4#93,10,38
14355_4#94,12,45
14355_4#95,10,39
14355_5#1,9,34
14355_5#10,10,38
14355_5#11,10,39
14355_5#12,12,47
14355_5#13,10,38
14355_5#14,9,36
14355_5#15,10,39
14355_5#16,8,29
14355_5#17,9,36
14355_5#18,9,35
14355_5#19,10,39
14355_5#2,9,35
14355_5#20,12,47
14355_5#21,9,35
14355_5#22,12,47
14355_5#23,10,39
14355_5#24,12,47
14355_5#25,8,29
14355_5#26,8,30
14355_5#27,10,39
14355_5#28,10,38
14355_5#29,8,29
14355_5#3,14,53
14355_5#30,10,39
14355_5#31,9,35
14355_5#32,2,4
14355_5#33,8,27
14355_5#34,11,42
14355_5#35,12,45
14355_5#36,12,47
14355_5#37,12,45
14355_5#38,8,29
14355_5#39,12,47
14355_5#4,8,29
14355_5#40,16,62
14355_5#41,14,56
14355_5#42,12,45
14355_5#43,12,46
14355_5#44,8,30
14355_5#45,8,27
14355_5#46,8,29
14355_5#47,9,36
14355_5#48,12,46
14355_5#49,12,47
14355_5#5,14,53
14355_5#50,12,45
14355_5#51,9,35
14355_5#52,12,47
14355_5#53,12,45
14355_5#54,8,30
14355_5#55,9,35
14355_5#56,10,39
14355_5#57,12,47
14355_5#58,12,47
14355_5#59,11,42
14355_5#6,9,36
14355_5#60,8,30
14355_5#61,15,60
14355_5#62,11,42
14355_5#63,2,4
14355_5#64,12,46
14355_5#65,9,35
14355_5#66,12,45
14355_5#67,12,45
14355_5#68,6,20
14355_5#69,8,30
14355_5#7,15,61
14355_5#70,12,46
14355_5#71,9,35
14355_5#72,8,30
14355_5#73,12,47
14355_5#74,8,30
14355_5#75,6,19
14355_5#76,14,56
14355_5#77,8,30
14355_5#78,14,56
14355_5#79,10,39
14355_5#8,2,4
14355_5#80,12,45
14355_5#81,8,29
14355_5#82,11,42
14355_5#83,14,56
14355_5#84,12,45
14355_5#85,8,29
14355_5#86,8,29
14355_5#87,8,30
14355_5#88,9,31
14355_5#89,9,31
14355_5#9,10,39
14355_5#90,12,45
14355_5#91,8,30
14355_5#92,9,34
14355_5#93,8,27
14355_5#94,9,32
14355_5#95,2,4
14355_6#1,8,29
