Isolates,Level 1
11657_5#1,1
11657_5#10,2
11657_5#11,19
11657_5#12,20
11657_5#13,19
11657_5#14,3
11657_5#15,18
11657_5#16,4
11657_5#17,17
11657_5#18,21
11657_5#19,20
11657_5#2,18
11657_5#20,5
11657_5#21,2
11657_5#22,19
11657_5#23,17
11657_5#24,19
11657_5#25,6
11657_5#26,20
11657_5#27,20
11657_5#28,19
11657_5#29,17
11657_5#3,20
11657_5#30,16
11657_5#31,16
11657_5#32,7
11657_5#33,1
11657_5#34,2
11657_5#35,3
11657_5#36,23
11657_5#37,18
11657_5#38,8
11657_5#39,4
11657_5#4,1
11657_5#40,1
11657_5#41,18
11657_5#42,2
11657_5#43,9
11657_5#44,20
11657_5#46,19
11657_5#47,20
11657_5#48,20
11657_5#49,18
11657_5#5,2
11657_5#50,20
11657_5#51,23
11657_5#52,1
11657_5#53,18
11657_5#54,18
11657_5#55,20
11657_5#56,18
11657_5#57,21
11657_5#58,20
11657_5#59,21
11657_5#6,20
11657_5#60,24
11657_5#61,19
11657_5#62,18
11657_5#63,21
11657_5#64,23
11657_5#65,7
11657_5#66,9
11657_5#67,3
11657_5#68,3
11657_5#69,1
11657_5#7,19
11657_5#70,2
11657_5#71,8
11657_5#72,20
11657_5#73,16
11657_5#74,21
11657_5#75,20
11657_5#76,9
11657_5#77,21
11657_5#78,20
11657_5#79,18
11657_5#8,19
11657_5#80,19
11657_5#81,21
11657_5#82,20
11657_5#83,20
11657_5#84,18
11657_5#85,2
11657_5#86,20
11657_5#87,20
11657_5#88,18
11657_5#89,19
11657_5#9,2
11657_5#90,1
11657_5#91,23
11657_5#92,19
11657_5#93,2
11657_5#94,19
11657_5#95,2
11657_5#96,18
11657_6#1,2
11657_6#10,15
11657_6#11,19
11657_6#12,1
11657_6#13,20
11657_6#14,19
11657_6#15,21
11657_6#16,19
11657_6#17,22
11657_6#18,17
11657_6#19,20
11657_6#2,18
11657_6#20,1
11657_6#21,18
11657_6#22,18
11657_6#23,19
11657_6#24,20
11657_6#26,20
11657_6#27,17
11657_6#28,20
11657_6#29,15
11657_6#3,20
11657_6#30,20
11657_6#31,24
11657_6#32,17
11657_6#33,8
11657_6#34,5
11657_6#35,18
11657_6#36,18
11657_6#37,19
11657_6#38,20
11657_6#39,2
11657_6#4,2
11657_6#40,9
11657_6#41,22
11657_6#42,23
11657_6#43,3
11657_6#44,3
11657_6#45,18
11657_6#46,20
11657_6#47,19
11657_6#48,20
11657_6#49,18
11657_6#5,10
11657_6#50,18
11657_6#51,19
11657_6#52,20
11657_6#53,18
11657_6#54,16
11657_6#55,11
11657_6#56,20
11657_6#57,1
11657_6#58,18
11657_6#59,15
11657_6#6,18
11657_6#60,1
11657_6#61,24
11657_6#62,9
11657_6#63,19
11657_6#64,19
11657_6#65,19
11657_6#66,17
11657_6#67,19
11657_6#68,1
11657_6#69,5
11657_6#7,19
11657_6#70,4
11657_6#71,18
11657_6#72,19
11657_6#73,20
11657_6#74,16
11657_6#75,8
11657_6#76,17
11657_6#77,16
11657_6#78,20
11657_6#79,20
11657_6#8,20
11657_6#80,20
11657_6#81,20
11657_6#82,18
11657_6#83,4
11657_6#84,3
11657_6#85,18
11657_6#86,18
11657_6#87,20
11657_6#88,3
11657_6#89,7
11657_6#9,21
11657_6#90,1
11657_6#91,19
11657_6#92,15
11657_6#93,8
11657_6#94,19
11657_6#95,18
11657_6#96,19
11657_7#1,20
11657_7#10,4
11657_7#11,20
11657_7#12,19
11657_7#13,8
11657_7#14,23
11657_7#15,17
11657_7#16,18
11657_7#17,20
11657_7#18,23
11657_7#19,4
11657_7#2,18
11657_7#20,20
11657_7#21,19
11657_7#22,19
11657_7#23,19
11657_7#24,21
11657_7#25,20
11657_7#26,20
11657_7#27,9
11657_7#28,18
11657_7#29,23
11657_7#3,2
11657_7#30,15
11657_7#31,10
11657_7#32,6
11657_7#33,20
11657_7#34,1
11657_7#35,1
11657_7#36,12
11657_7#37,16
11657_7#38,23
11657_7#39,3
11657_7#4,20
11657_7#40,18
11657_7#41,2
11657_7#42,16
11657_7#43,15
11657_7#44,20
11657_7#45,7
11657_7#46,2
11657_7#47,19
11657_7#48,20
11657_7#49,18
11657_7#5,5
11657_7#50,18
11657_7#51,17
11657_7#52,19
11657_7#53,19
11657_7#54,19
11657_7#55,19
11657_7#56,19
11657_7#57,19
11657_7#58,19
11657_7#59,19
11657_7#6,22
11657_7#60,20
11657_7#61,20
11657_7#62,18
11657_7#63,13
11657_7#64,3
11657_7#65,13
11657_7#66,19
11657_7#67,20
11657_7#68,18
11657_7#69,20
11657_7#7,19
11657_7#70,19
11657_7#71,20
11657_7#72,16
11657_7#73,19
11657_7#74,20
11657_7#75,7
11657_7#76,20
11657_7#77,19
11657_7#78,19
11657_7#79,23
11657_7#8,18
11657_7#80,22
11657_7#81,9
11657_7#82,6
11657_7#83,16
11657_7#84,16
11657_7#85,2
11657_7#86,18
11657_7#87,13
11657_7#88,18
11657_7#89,19
11657_7#9,2
11657_7#90,18
11657_7#91,2
11657_7#92,10
11657_7#93,16
11657_7#94,4
11657_7#95,19
11657_7#96,20
11658_3#1,23
11658_3#10,21
11658_3#11,1
11658_3#12,1
11658_3#13,24
11658_3#14,1
11658_3#19,15
11658_3#2,24
11658_3#20,18
11658_3#21,17
11658_3#22,1
11658_3#23,21
11658_3#24,13
11658_3#25,11
11658_3#26,20
11658_3#27,20
11658_3#28,5
11658_3#29,20
11658_3#3,3
11658_3#30,18
11658_3#31,19
11658_3#32,20
11658_3#33,22
11658_3#34,18
11658_3#35,20
11658_3#36,19
11658_3#37,16
11658_3#38,19
11658_3#39,20
11658_3#4,19
11658_3#40,22
11658_3#41,19
11658_3#42,19
11658_3#43,18
11658_3#44,14
11658_3#45,4
11658_3#46,20
11658_3#47,20
11658_3#48,23
11658_3#49,3
11658_3#5,20
11658_3#50,2
11658_3#51,6
11658_3#52,18
11658_3#53,16
11658_3#54,16
11658_3#55,19
11658_3#56,19
11658_3#57,20
11658_3#58,7
11658_3#59,4
11658_3#6,2
11658_3#60,23
11658_3#61,14
11658_3#62,16
11658_3#64,20
11658_3#65,7
11658_3#66,20
11658_3#67,20
11658_3#68,3
11658_3#69,3
11658_3#7,8
11658_3#70,19
11658_3#71,20
11658_3#72,3
11658_3#73,17
11658_3#74,19
11658_3#75,20
11658_3#76,17
11658_3#77,23
11658_3#78,5
11658_3#79,20
11658_3#8,19
11658_3#80,16
11658_3#81,20
11658_3#82,20
11658_3#83,20
11658_3#84,1
11658_3#85,20
11658_3#86,19
11658_3#87,3
11658_3#88,21
11658_3#89,3
11658_3#9,3
11658_3#90,3
11658_3#91,18
11658_3#92,15
11658_3#93,20
11658_3#94,19
11658_3#95,20
11658_3#96,18
11658_4#10,22
11658_4#11,3
11658_4#12,3
11658_4#13,11
11658_4#14,8
11658_4#15,18
11658_4#16,18
11658_4#17,12
11658_4#18,19
11658_4#19,20
11658_4#2,22
11658_4#20,18
11658_4#21,2
11658_4#22,19
11658_4#23,2
11658_4#24,18
11658_4#25,18
11658_4#26,2
11658_4#27,1
11658_4#28,1
11658_4#29,20
11658_4#3,3
11658_4#30,7
11658_4#31,20
11658_4#32,17
11658_4#33,2
11658_4#34,18
11658_4#35,7
11658_4#36,20
11658_4#37,18
11658_4#38,22
11658_4#39,17
11658_4#4,4
11658_4#40,20
11658_4#41,20
11658_4#42,13
11658_4#43,19
11658_4#44,18
11658_4#45,20
11658_4#46,7
11658_4#47,1
11658_4#48,19
11658_4#49,18
11658_4#5,18
11658_4#50,20
11658_4#51,14
11658_4#52,5
11658_4#53,20
11658_4#54,20
11658_4#55,21
11658_4#56,2
11658_4#57,19
11658_4#58,18
11658_4#59,20
11658_4#6,21
11658_4#60,19
11658_4#61,19
11658_4#62,18
11658_4#63,9
11658_4#64,18
11658_4#65,19
11658_4#66,19
11658_4#67,9
11658_4#68,24
11658_4#69,18
11658_4#7,19
11658_4#70,3
11658_4#71,13
11658_4#72,10
11658_4#73,12
11658_4#74,19
11658_4#75,15
11658_4#76,4
11658_4#77,19
11658_4#78,1
11658_4#79,20
11658_4#8,20
11658_4#80,19
11658_4#81,19
11658_4#82,16
11658_4#83,15
11658_4#84,14
11658_4#85,19
11658_4#86,8
11658_4#87,10
11658_4#88,11
11658_4#89,21
11658_4#9,2
11658_4#90,20
11658_4#91,18
11658_4#92,7
11658_4#93,1
11658_4#94,12
11658_4#95,20
11658_4#96,20
11658_5#1,1
11658_5#10,3
11658_5#11,19
11658_5#12,20
11658_5#13,3
11658_5#14,19
11658_5#15,20
11658_5#16,20
11658_5#17,17
11658_5#18,1
11658_5#19,19
11658_5#2,19
11658_5#20,20
11658_5#21,22
11658_5#22,7
11658_5#23,20
11658_5#25,15
11658_5#26,19
11658_5#27,20
11658_5#28,19
11658_5#29,20
11658_5#3,24
11658_5#30,18
11658_5#31,16
11658_5#32,19
11658_5#33,18
11658_5#34,15
11658_5#35,6
11658_5#36,20
11658_5#37,21
11658_5#38,7
11658_5#4,10
11658_5#40,13
11658_5#41,19
11658_5#42,19
11658_5#43,14
11658_5#44,19
11658_5#45,2
11658_5#46,16
11658_5#47,18
11658_5#49,3
11658_5#5,19
11658_5#50,19
11658_5#51,22
11658_5#52,10
11658_5#53,19
11658_5#54,21
11658_5#55,22
11658_5#56,3
11658_5#57,19
11658_5#58,21
11658_5#59,15
11658_5#6,18
11658_5#60,22
11658_5#61,18
11658_5#62,16
11658_5#63,2
11658_5#64,4
11658_5#65,23
11658_5#66,19
11658_5#67,16
11658_5#68,20
11658_5#69,22
11658_5#7,16
11658_5#70,6
11658_5#71,17
11658_5#72,18
11658_5#73,20
11658_5#74,16
11658_5#75,18
11658_5#76,20
11658_5#77,7
11658_5#78,5
11658_5#79,20
11658_5#8,12
11658_5#80,3
11658_5#81,15
11658_5#82,20
11658_5#83,16
11658_5#84,18
11658_5#85,18
11658_5#86,13
11658_5#87,19
11658_5#88,17
11658_5#89,18
11658_5#9,13
11658_5#90,18
11658_5#91,18
11658_5#92,9
11658_5#93,3
11658_5#94,3
11658_5#95,14
11658_5#96,16
11658_6#1,18
11658_6#10,19
11658_6#11,13
11658_6#12,8
11658_6#13,19
11658_6#14,4
11658_6#15,5
11658_6#16,13
11658_6#17,3
11658_6#18,6
11658_6#19,3
11658_6#2,20
11658_6#20,17
11658_6#21,17
11658_6#22,19
11658_6#23,3
11658_6#24,9
11658_6#25,20
11658_6#26,18
11658_6#27,16
11658_6#28,22
11658_6#29,23
11658_6#3,22
11658_6#30,21
11658_6#31,23
11658_6#32,3
11658_6#33,20
11658_6#34,19
11658_6#35,17
11658_6#36,4
