Isolates,Level 1,Level 2
S_pneumoniae_Spanish_23F.dna,3,3
6259_5#10_S_pneumoniae_Spanish_23F.dna,19,71
6259_5#11_S_pneumoniae_Spanish_23F.dna,57,222
6259_5#12_S_pneumoniae_Spanish_23F.dna,67,281
6259_5#13_S_pneumoniae_Spanish_23F.dna,70,301
6259_5#14_S_pneumoniae_Spanish_23F.dna,77,346
6259_5#15_S_pneumoniae_Spanish_23F.dna,77,332
6259_5#16_S_pneumoniae_Spanish_23F.dna,4,12
6259_5#17_S_pneumoniae_Spanish_23F.dna,77,333
6259_5#18_S_pneumoniae_Spanish_23F.dna,48,183
6259_5#19_S_pneumoniae_Spanish_23F.dna,77,346
6259_5#1_S_pneumoniae_Spanish_23F.dna,77,346
6259_5#20_S_pneumoniae_Spanish_23F.dna,60,245
6259_5#21_S_pneumoniae_Spanish_23F.dna,62,252
6259_5#22_S_pneumoniae_Spanish_23F.dna,5,17
6259_5#23_S_pneumoniae_Spanish_23F.dna,53,206
6259_5#24_S_pneumoniae_Spanish_23F.dna,50,192
6259_5#2_S_pneumoniae_Spanish_23F.dna,4,11
6259_5#3_S_pneumoniae_Spanish_23F.dna,60,245
6259_5#4_S_pneumoniae_Spanish_23F.dna,77,346
6259_5#5_S_pneumoniae_Spanish_23F.dna,71,310
6259_5#6_S_pneumoniae_Spanish_23F.dna,77,346
6259_5#7_S_pneumoniae_Spanish_23F.dna,77,346
6259_5#8_S_pneumoniae_Spanish_23F.dna,77,346
6259_5#9_S_pneumoniae_Spanish_23F.dna,66,275
6259_6#10_S_pneumoniae_Spanish_23F.dna,67,281
6259_6#11_S_pneumoniae_Spanish_23F.dna,66,275
6259_6#12_S_pneumoniae_Spanish_23F.dna,66,275
6259_6#13_S_pneumoniae_Spanish_23F.dna,19,71
6259_6#14_S_pneumoniae_Spanish_23F.dna,62,252
6259_6#15_S_pneumoniae_Spanish_23F.dna,6,20
6259_6#16_S_pneumoniae_Spanish_23F.dna,4,10
6259_6#17_S_pneumoniae_Spanish_23F.dna,74,318
6259_6#18_S_pneumoniae_Spanish_23F.dna,69,294
6259_6#19_S_pneumoniae_Spanish_23F.dna,61,248
6259_6#1_S_pneumoniae_Spanish_23F.dna,79,359
6259_6#20_S_pneumoniae_Spanish_23F.dna,69,294
6259_6#21_S_pneumoniae_Spanish_23F.dna,36,138
6259_6#22_S_pneumoniae_Spanish_23F.dna,77,346
6259_6#23_S_pneumoniae_Spanish_23F.dna,52,203
6259_6#24_S_pneumoniae_Spanish_23F.dna,52,203
6259_6#2_S_pneumoniae_Spanish_23F.dna,69,291
6259_6#3_S_pneumoniae_Spanish_23F.dna,7,26
6259_6#4_S_pneumoniae_Spanish_23F.dna,73,316
6259_6#5_S_pneumoniae_Spanish_23F.dna,77,333
6259_6#6_S_pneumoniae_Spanish_23F.dna,72,312
6259_6#7_S_pneumoniae_Spanish_23F.dna,73,316
6259_6#8_S_pneumoniae_Spanish_23F.dna,73,313
