Isolates,Level 1,Level 2
4238_1#1,1,4
4238_1#10,1,4
4238_1#11,2,7
4238_1#12,14,50
4238_1#4,2,8
4238_1#5,2,7
4238_1#6,2,7
4238_1#7,1,4
4238_1#8,1,4
4330_2#1,3,13
4330_2#10,14,50
4330_2#11,14,50
4330_2#12,14,47
4330_2#2,4,17
4330_2#3,2,8
4330_2#4,14,50
4330_2#5,3,13
4330_2#6,14,47
4330_2#7,14,47
4330_2#8,4,17
4330_2#9,14,47
4330_8#1,1,4
4330_8#10,2,7
4330_8#11,2,8
4330_8#12,2,8
4330_8#2,5,21
4330_8#3,14,50
4330_8#4,1,4
4330_8#6,6,25
4330_8#7,14,48
4330_8#8,15,55
4330_8#9,2,7
4340_5#1,1,4
4340_5#10,15,56
4340_5#11,14,48
4340_5#12,7,28
4340_5#2,5,20
4340_5#3,14,48
4340_5#4,14,48
4340_5#5,8,30
4340_5#6,9,33
4340_5#8,10,34
4340_5#9,3,13
4340_6#1,1,4
4340_6#11,15,56
4340_6#12,14,50
4340_6#2,2,9
4340_6#3,11,37
4340_6#4,11,37
4340_6#6,2,7
4340_6#7,14,50
4340_6#8,5,22
4340_6#9,7,28
4350_1#1,14,49
4350_1#10,14,49
4350_1#11,4,17
4350_1#12,14,49
4350_1#2,14,49
4350_1#3,12,39
4350_1#4,1,4
4350_1#5,14,49
4350_1#6,1,4
4350_1#7,1,4
4350_1#8,14,49
4350_1#9,2,9
4350_2#1,9,33
4350_2#10,4,17
4350_2#11,14,50
4350_2#2,3,13
4350_2#3,3,13
4350_2#4,4,17
4350_2#5,13,43
4350_2#6,2,9
4350_2#7,14,49
4350_2#8,5,19
4350_2#9,9,33
4350_7#5,4,17
4350_7#6,15,57
4386_1#1,14,48
4386_1#10,14,48
4386_1#11,1,4
4386_1#12,14,48
4386_1#2,1,4
4386_1#3,1,4
4386_1#4,3,13
4386_1#5,1,4
4386_1#6,2,8
4386_1#7,14,48
4386_1#8,4,17
4386_1#9,14,48
4386_2#1,1,4
4386_2#11,2,9
4386_2#12,3,13
4386_2#2,7,28
4386_2#3,13,44
4386_2#5,3,13
4386_2#6,1,4
4386_2#8,3,13
4386_2#9,6,25
4386_5#1,14,50
4386_5#10,14,50
4386_5#12,2,7
4386_5#2,6,25
4386_5#4,14,50
4386_5#5,12,39
4386_5#6,2,6
4386_5#7,2,7
4386_5#8,7,28
4386_6#1,15,54
4386_6#10,3,13
4386_6#11,2,8
4386_6#12,15,58
4386_6#2,3,13
4386_6#3,7,27
4386_6#4,7,27
4386_6#5,2,7
4386_6#6,2,8
4386_6#7,2,7
4386_6#8,15,56
4386_6#9,11,38
4386_7#1,7,27
4386_7#10,7,28
4386_7#11,7,27
4386_7#12,7,27
4386_7#2,7,27
4386_7#3,14,49
4386_7#4,1,4
4386_7#5,3,13
4386_7#7,14,49
4386_7#8,15,57
4386_8#1,7,27
4386_8#10,13,42
4386_8#11,7,27
4386_8#2,14,49
4386_8#3,4,16
4386_8#4,14,49
4386_8#5,14,48
4386_8#7,14,49
4386_8#8,6,25
4395_2#1,7,27
4395_2#10,7,27
4395_2#11,14,50
4395_2#12,7,27
4395_2#3,4,17
4395_2#4,15,53
4395_2#5,7,27
4395_2#6,7,27
4395_2#7,14,50
4395_2#8,8,30
4395_2#9,14,50
4395_3#1,14,50
4395_3#10,14,47
4395_3#11,1,4
4395_3#12,14,47
4395_3#3,3,13
4395_3#4,14,48
4395_3#5,14,47
4395_3#6,14,47
4395_3#7,6,25
4395_3#8,14,50
4395_3#9,8,31
4414_1#1,3,13
4414_1#10,6,25
4414_1#12,9,33
4414_1#2,14,50
4414_1#3,3,13
4414_1#5,14,48
4414_1#6,15,57
4414_1#8,15,59
4414_2#1,3,13
4414_2#10,1,4
4414_2#12,7,27
4414_2#2,14,50
4414_2#3,7,27
4414_2#4,3,13
4414_2#5,14,50
4414_2#6,1,4
4414_2#7,11,36
4414_2#8,14,50
4414_2#9,15,58
4414_3#1,4,17
4414_3#10,1,4
4414_3#11,1,4
4414_3#12,1,4
4414_3#2,10,34
4414_3#3,1,4
4414_3#4,1,3
4414_3#5,4,17
4414_3#6,4,15
4414_3#7,3,12
4414_3#8,2,5
4414_3#9,2,9
4414_5#1,4,17
4414_5#10,1,4
4414_5#11,3,13
4414_5#12,4,17
4414_5#2,15,59
4414_5#3,3,13
4414_5#4,1,4
4414_5#5,7,28
4414_5#6,1,4
4414_5#7,14,50
4414_5#8,1,4
4414_5#9,15,52
4414_6#1,3,13
4414_6#10,3,13
4414_6#12,4,17
4414_6#2,3,13
4414_6#3,1,4
4414_6#4,10,34
4414_6#5,14,48
4414_6#6,1,4
4414_6#7,13,41
4414_6#9,4,17
4430_1#1,1,4
4430_1#10,12,39
4430_1#11,7,28
4430_1#12,6,25
4430_1#2,4,17
4430_1#3,6,24
4430_1#5,3,13
4430_1#6,14,50
4430_1#7,4,14
4430_1#9,7,26
4430_2#1,15,56
4430_2#10,14,49
4430_2#11,15,51
4430_2#12,10,34
4430_2#2,7,27
4430_2#3,14,49
4430_2#4,15,59
4430_2#5,7,27
4430_2#6,14,49
4430_2#7,14,49
4430_2#8,4,17
4430_2#9,2,9
4453_5#1,9,32
4453_5#10,14,50
4453_5#2,1,2
4453_5#3,3,11
4453_5#4,1,4
4453_5#5,14,46
4453_5#6,2,8
4453_5#7,4,17
4453_5#9,14,45
6133_1#1,3,13
6133_1#10,14,50
6133_1#11,12,39
6133_1#12,1,4
6133_1#2,3,12
6133_1#3,7,28
6133_1#4,14,50
6133_1#5,3,13
6133_1#6,3,13
6133_1#7,8,29
6133_1#8,3,13
6133_1#9,14,50
6133_2#1,4,17
6133_2#11,4,17
6133_2#12,11,35
6133_2#2,5,22
6133_2#3,8,31
6133_2#4,5,18
6133_2#5,3,13
6133_2#6,1,1
6133_2#9,14,48
6133_3#1,4,17
6133_3#10,13,40
6133_3#2,11,38
6133_3#3,3,13
6133_3#4,3,13
6133_3#5,1,4
6133_3#7,3,10
6133_3#8,1,4
