Isolate,level 1,level 2
14324_4#1,1,1
14324_4#10,1,1
14324_4#11,2,7
14324_4#12,1,1
14324_4#13,3,10
14324_4#14,3,10
14324_4#15,4,16
14324_4#16,4,17
14324_4#17,2,8
14324_4#18,2,7
14324_4#19,5,19
14324_4#2,2,8
14324_4#20,2,7
14324_4#21,6,24
14324_4#22,1,2
14324_4#23,7,29
14324_4#24,4,16
14324_4#25,1,3
14324_4#26,2,8
14324_4#27,4,17
14324_4#28,1,1
14324_4#29,2,7
14324_4#3,2,8
14324_4#30,7,29
14324_4#31,2,9
14324_4#32,1,4
14324_4#33,1,1
14324_4#34,6,24
14324_4#35,7,30
14324_4#36,1,1
14324_4#37,7,29
14324_4#38,2,8
14324_4#39,8,32
14324_4#4,3,10
14324_4#40,4,17
14324_4#41,3,10
14324_4#42,2,9
14324_4#43,2,9
14324_4#44,8,32
14324_4#45,1,1
14324_4#46,2,8
14324_4#47,2,9
14324_4#48,9,36
14324_4#49,10,40
14324_4#5,4,17
14324_4#50,11,47
14324_4#51,4,17
14324_4#52,10,41
14324_4#53,1,1
14324_4#54,5,19
14324_4#55,7,29
14324_4#56,2,8
14324_4#57,1,1
14324_4#58,7,29
14324_4#59,6,24
14324_4#6,3,10
14324_4#60,8,33
14324_4#61,5,19
14324_4#62,7,29
14324_4#63,1,5
14324_4#64,9,37
14324_4#65,2,7
14324_4#66,1,2
14324_4#67,5,19
14324_4#68,10,41
14324_4#69,1,3
14324_4#7,5,20
14324_4#70,12,51
14324_4#71,12,52
14324_4#72,1,1
14324_4#73,6,25
14324_4#74,5,19
14324_4#75,9,38
14324_4#76,11,47
14324_4#77,9,36
14324_4#78,2,7
14324_4#79,2,7
14324_4#8,1,1
14324_4#80,1,4
14324_4#81,7,29
14324_4#82,1,6
14324_4#83,7,31
14324_4#84,9,36
14324_4#85,4,17
14324_4#86,6,24
14324_4#87,10,42
14324_4#88,2,8
14324_4#89,1,1
14324_4#9,7,29
14324_4#90,2,8
14324_4#91,4,16
14324_4#92,2,8
14324_4#93,8,32
14324_4#94,4,17
14324_4#95,2,7
14324_5#1,11,48
14324_5#10,11,47
14324_5#11,2,7
14324_5#12,2,7
14324_5#13,10,41
14324_5#14,10,41
14324_5#15,3,11
14324_5#16,3,11
14324_5#17,13,54
14324_5#18,13,54
14324_5#19,13,54
14324_5#2,11,48
14324_5#20,1,2
14324_5#21,1,2
14324_5#22,11,49
14324_5#23,11,49
14324_5#24,2,7
14324_5#25,2,7
14324_5#26,2,7
14324_5#27,5,19
14324_5#28,5,19
14324_5#29,10,43
14324_5#3,1,2
14324_5#30,10,43
14324_5#31,10,43
14324_5#32,2,7
14324_5#33,2,7
14324_5#34,2,7
14324_5#35,2,7
14324_5#36,14,60
14324_5#37,14,60
14324_5#38,2,7
14324_5#39,2,7
14324_5#4,1,2
14324_5#40,2,7
14324_5#41,13,54
14324_5#42,13,54
14324_5#43,13,54
14324_5#44,13,55
14324_5#45,13,55
14324_5#46,2,8
14324_5#47,2,8
14324_5#48,6,26
14324_5#49,6,26
14324_5#5,2,7
14324_5#50,6,26
14324_5#51,2,7
14324_5#52,2,7
14324_5#53,2,7
14324_5#54,2,8
14324_5#55,2,8
14324_5#56,2,8
14324_5#57,1,4
14324_5#58,1,4
14324_5#59,1,4
14324_5#6,2,7
14324_5#60,5,21
14324_5#61,5,21
14324_5#62,3,11
14324_5#63,3,11
14324_5#64,1,4
14324_5#65,1,4
14324_5#66,1,4
14324_5#67,4,16
14324_5#68,4,16
14324_5#69,4,16
14324_5#7,2,7
14324_5#70,13,54
14324_5#72,13,55
14324_5#73,13,55
14324_5#74,10,44
14324_5#75,10,44
14324_5#76,3,12
14324_5#77,3,12
14324_5#78,3,12
14324_5#79,6,27
14324_5#8,2,7
14324_5#80,6,27
14324_5#81,2,7
14324_5#83,13,55
14324_5#84,13,55
14324_5#85,3,12
14324_5#86,3,12
14324_5#87,2,7
14324_5#88,2,7
14324_5#89,2,7
14324_5#9,11,47
14324_5#90,3,12
14324_5#91,3,12
14324_5#92,2,8
14324_5#93,2,8
14324_5#94,2,8
14324_5#95,13,55
14355_4#1,2,8
14355_4#10,4,16
14355_4#11,2,8
14355_4#12,8,32
14355_4#13,4,17
14355_4#14,2,7
14355_4#15,2,7
14355_4#16,8,32
14355_4#17,2,8
14355_4#18,6,24
14355_4#19,1,4
14355_4#2,14,61
14355_4#20,4,17
14355_4#21,3,11
14355_4#22,4,16
14355_4#23,4,17
14355_4#24,4,17
14355_4#25,2,7
14355_4#26,4,17
14355_4#27,1,1
14355_4#28,4,16
14355_4#29,2,7
14355_4#3,2,8
14355_4#30,2,8
14355_4#31,2,7
14355_4#32,2,7
14355_4#33,10,42
14355_4#34,1,4
14355_4#35,2,7
14355_4#36,10,42
14355_4#37,5,22
14355_4#38,3,11
14355_4#39,11,47
14355_4#4,1,1
14355_4#40,1,4
14355_4#41,3,13
14355_4#42,3,11
14355_4#43,1,4
14355_4#44,2,7
14355_4#45,1,2
14355_4#46,3,14
14355_4#47,8,32
14355_4#48,1,1
14355_4#5,4,16
14355_4#50,2,7
14355_4#51,1,2
14355_4#52,1,1
14355_4#53,1,1
14355_4#54,1,1
14355_4#55,3,12
14355_4#56,2,8
14355_4#57,8,34
14355_4#58,13,56
14355_4#59,4,16
14355_4#6,2,8
14355_4#60,1,2
14355_4#61,2,8
14355_4#62,3,13
14355_4#63,10,44
14355_4#64,4,17
14355_4#65,2,8
14355_4#66,15,64
14355_4#67,4,17
14355_4#68,1,2
14355_4#69,2,8
14355_4#7,4,16
14355_4#71,2,8
14355_4#72,6,27
14355_4#74,4,16
14355_4#75,4,17
14355_4#76,3,13
14355_4#77,3,12
14355_4#78,10,44
14355_4#79,3,14
14355_4#8,4,17
14355_4#80,5,19
14355_4#81,3,14
14355_4#82,2,7
14355_4#83,1,3
14355_4#84,2,8
14355_4#85,2,8
14355_4#86,2,7
14355_4#87,2,8
14355_4#88,8,32
14355_4#89,2,7
14355_4#9,2,7
14355_4#90,8,32
14355_4#91,3,14
14355_4#92,1,5
14355_4#93,4,16
14355_4#94,2,7
14355_4#95,4,17
14355_5#1,1,4
14355_5#10,4,16
14355_5#11,4,17
14355_5#12,2,8
14355_5#13,4,16
14355_5#14,1,2
14355_5#15,4,17
14355_5#16,3,14
14355_5#17,1,2
14355_5#18,1,1
14355_5#19,4,17
14355_5#2,1,1
14355_5#20,2,8
14355_5#21,1,1
14355_5#22,2,8
14355_5#23,4,17
14355_5#24,2,8
14355_5#25,3,14
14355_5#26,3,12
