Isolates,Level 1
12673_8#24,4
12673_8#26,4
12673_8#27,5
12673_8#28,5
12673_8#29,4
12673_8#31,4
12673_8#32,5
12673_8#34,5
12673_8#36,1
12673_8#37,5
12673_8#39,2
12673_8#41,4
12673_8#42,1
12673_8#43,3
12754_4#66,4
12754_4#68,1
12754_4#70,1
12754_4#71,2
12754_4#73,5
12754_4#74,5
12754_4#75,1
12754_4#77,3
12754_4#78,2
12754_4#79,2
12754_4#80,5
12754_4#81,2
12754_4#82,3
12754_4#84,2
12754_4#85,4
12754_4#87,2
12754_4#88,5
12754_4#89,2
12754_4#90,2
12754_4#92,2
12754_4#94,2
12754_4#95,3
12754_5#11,3
12754_5#12,2
12754_5#13,3
12754_5#14,2
12754_5#16,2
12754_5#18,1
12754_5#19,2
12754_5#2,2
12754_5#20,2
12754_5#22,4
12754_5#24,4
12754_5#26,1
12754_5#28,5
12754_5#3,3
12754_5#30,2
12754_5#32,4
12754_5#33,3
12754_5#35,2
12754_5#36,4
12754_5#37,2
12754_5#39,2
12754_5#40,3
12754_5#42,2
12754_5#43,3
12754_5#45,1
12754_5#46,2
12754_5#47,4
12754_5#49,2
12754_5#5,2
12754_5#51,1
12754_5#52,2
12754_5#53,1
12754_5#55,5
12754_5#57,5
12754_5#59,5
12754_5#6,5
12754_5#61,4
12754_5#62,2
12754_5#64,1
12754_5#66,2
12754_5#68,3
12754_5#70,3
12754_5#71,4
12754_5#72,2
12754_5#73,2
12754_5#74,4
12754_5#76,1
12754_5#78,4
12754_5#8,1
12754_5#80,4
12754_5#82,2
12754_5#84,4
12754_5#86,4
12754_5#88,2
12754_5#89,4
12754_5#9,3
12754_5#90,1
12754_5#92,1
12754_5#94,2
12754_5#95,4
19183_4#48,2
19183_4#49,4
19183_4#50,5
19183_4#51,2
19183_4#52,3
19183_4#53,3
19183_4#54,1
19183_4#55,2
19183_4#56,5
19183_4#57,4
19183_4#58,5
19183_4#59,2
19183_4#60,4
19183_4#61,4
19183_4#62,2
19183_4#63,2
19183_4#64,5
19183_4#65,2
19183_4#66,5
19183_4#67,5
19183_4#68,2
19183_4#69,3
19183_4#70,2
19183_4#71,5
19183_4#72,5
19183_4#73,4
19183_4#74,2
19183_4#75,2
19183_4#76,2
19183_4#77,1
19183_4#78,4
19183_4#79,4
