Isolates,Level 1,Level 2
12673_8#24,4,31
12673_8#26,4,30
12673_8#27,5,40
12673_8#28,5,39
12673_8#29,4,30
12673_8#31,4,31
12673_8#32,5,38
12673_8#34,5,37
12673_8#36,1,3
12673_8#37,5,42
12673_8#39,2,8
12673_8#41,4,31
12673_8#42,1,4
12673_8#43,3,24
12754_4#66,4,30
12754_4#68,1,5
12754_4#70,1,3
12754_4#71,2,9
12754_4#73,5,43
12754_4#74,5,43
12754_4#75,1,3
12754_4#77,3,24
12754_4#78,2,10
12754_4#79,2,10
12754_4#80,5,36
12754_4#81,2,11
12754_4#82,3,24
12754_4#84,2,8
12754_4#85,4,30
12754_4#87,2,9
12754_4#88,5,44
12754_4#89,2,8
12754_4#90,2,13
12754_4#92,2,14
12754_4#94,2,8
12754_4#95,3,24
12754_5#11,3,24
12754_5#12,2,15
12754_5#13,3,26
12754_5#14,2,16
12754_5#16,2,8
12754_5#18,1,6
12754_5#19,2,17
12754_5#2,2,18
12754_5#20,2,8
12754_5#22,4,30
12754_5#24,4,29
12754_5#26,1,6
12754_5#28,5,44
12754_5#3,3,23
12754_5#30,2,11
12754_5#32,4,31
12754_5#33,3,22
12754_5#35,2,11
12754_5#36,4,30
12754_5#37,2,17
12754_5#39,2,7
12754_5#40,3,25
12754_5#42,2,16
12754_5#43,3,21
12754_5#45,1,2
12754_5#46,2,19
12754_5#47,4,30
12754_5#49,2,16
12754_5#5,2,8
12754_5#51,1,3
12754_5#52,2,10
12754_5#53,1,3
12754_5#55,5,35
12754_5#57,5,45
12754_5#59,5,41
12754_5#6,5,43
12754_5#61,4,30
12754_5#62,2,18
12754_5#64,1,4
12754_5#66,2,13
12754_5#68,3,27
12754_5#70,3,25
12754_5#71,4,31
12754_5#72,2,14
12754_5#73,2,10
12754_5#74,4,30
12754_5#76,1,4
12754_5#78,4,30
12754_5#8,1,4
12754_5#80,4,30
12754_5#82,2,20
12754_5#84,4,30
12754_5#86,4,30
12754_5#88,2,8
12754_5#89,4,30
12754_5#9,3,27
12754_5#90,1,4
12754_5#92,1,1
12754_5#94,2,19
12754_5#95,4,30
19183_4#48,2,15
19183_4#49,4,30
19183_4#50,5,43
19183_4#51,2,12
19183_4#52,3,25
19183_4#53,3,25
19183_4#54,1,5
19183_4#55,2,8
19183_4#56,5,34
19183_4#57,4,31
19183_4#58,5,42
19183_4#59,2,18
19183_4#60,4,30
19183_4#61,4,28
19183_4#62,2,14
19183_4#63,2,14
19183_4#64,5,44
19183_4#65,2,12
19183_4#66,5,33
19183_4#67,5,42
19183_4#68,2,20
19183_4#69,3,26
19183_4#70,2,14
19183_4#71,5,45
19183_4#72,5,32
19183_4#73,4,30
19183_4#74,2,9
19183_4#75,2,8
19183_4#76,2,14
19183_4#77,1,3
19183_4#78,4,30
19183_4#79,4,30
