Isolates,Level 1,Level 2
S_pneumoniae_Spanish_23F.dna,1,1
6259_5#10_S_pneumoniae_Spanish_23F.dna,35,134
6259_5#11_S_pneumoniae_Spanish_23F.dna,17,53
6259_5#12_S_pneumoniae_Spanish_23F.dna,20,64
6259_5#13_S_pneumoniae_Spanish_23F.dna,22,75
6259_5#14_S_pneumoniae_Spanish_23F.dna,38,158
6259_5#15_S_pneumoniae_Spanish_23F.dna,38,158
6259_5#16_S_pneumoniae_Spanish_23F.dna,38,157
6259_5#17_S_pneumoniae_Spanish_23F.dna,38,158
6259_5#18_S_pneumoniae_Spanish_23F.dna,34,127
6259_5#19_S_pneumoniae_Spanish_23F.dna,38,158
6259_5#1_S_pneumoniae_Spanish_23F.dna,38,158
6259_5#20_S_pneumoniae_Spanish_23F.dna,28,96
6259_5#21_S_pneumoniae_Spanish_23F.dna,36,146
6259_5#22_S_pneumoniae_Spanish_23F.dna,24,84
6259_5#23_S_pneumoniae_Spanish_23F.dna,35,139
6259_5#24_S_pneumoniae_Spanish_23F.dna,30,106
6259_5#2_S_pneumoniae_Spanish_23F.dna,38,157
6259_5#3_S_pneumoniae_Spanish_23F.dna,28,96
6259_5#4_S_pneumoniae_Spanish_23F.dna,38,158
6259_5#5_S_pneumoniae_Spanish_23F.dna,18,57
6259_5#6_S_pneumoniae_Spanish_23F.dna,38,158
6259_5#7_S_pneumoniae_Spanish_23F.dna,38,158
6259_5#8_S_pneumoniae_Spanish_23F.dna,38,158
6259_5#9_S_pneumoniae_Spanish_23F.dna,38,158
6259_6#10_S_pneumoniae_Spanish_23F.dna,20,64
6259_6#11_S_pneumoniae_Spanish_23F.dna,38,158
6259_6#12_S_pneumoniae_Spanish_23F.dna,38,158
6259_6#13_S_pneumoniae_Spanish_23F.dna,35,134
6259_6#14_S_pneumoniae_Spanish_23F.dna,36,146
6259_6#15_S_pneumoniae_Spanish_23F.dna,38,153
6259_6#16_S_pneumoniae_Spanish_23F.dna,38,157
6259_6#17_S_pneumoniae_Spanish_23F.dna,35,131
6259_6#18_S_pneumoniae_Spanish_23F.dna,23,79
6259_6#19_S_pneumoniae_Spanish_23F.dna,38,158
6259_6#1_S_pneumoniae_Spanish_23F.dna,31,112
6259_6#20_S_pneumoniae_Spanish_23F.dna,23,79
6259_6#21_S_pneumoniae_Spanish_23F.dna,9,27
6259_6#22_S_pneumoniae_Spanish_23F.dna,38,158
6259_6#23_S_pneumoniae_Spanish_23F.dna,33,123
6259_6#24_S_pneumoniae_Spanish_23F.dna,33,123
6259_6#2_S_pneumoniae_Spanish_23F.dna,23,78
6259_6#3_S_pneumoniae_Spanish_23F.dna,35,128
6259_6#4_S_pneumoniae_Spanish_23F.dna,25,88
6259_6#5_S_pneumoniae_Spanish_23F.dna,38,158
6259_6#6_S_pneumoniae_Spanish_23F.dna,33,121
6259_6#7_S_pneumoniae_Spanish_23F.dna,25,88
6259_6#8_S_pneumoniae_Spanish_23F.dna,25,85
6259_6#9_S_pneumoniae_Spanish_23F.dna,7,16
6259_7#10_S_pneumoniae_Spanish_23F.dna,16,48
6259_7#11_S_pneumoniae_Spanish_23F.dna,30,106
6259_7#12_S_pneumoniae_Spanish_23F.dna,6,14
6259_7#13_S_pneumoniae_Spanish_23F.dna,6,14
6259_7#14_S_pneumoniae_Spanish_23F.dna,23,78
6259_7#15_S_pneumoniae_Spanish_23F.dna,38,158
6259_7#16_S_pneumoniae_Spanish_23F.dna,18,57
6259_7#17_S_pneumoniae_Spanish_23F.dna,18,55
6259_7#18_S_pneumoniae_Spanish_23F.dna,20,63
6259_7#19_S_pneumoniae_Spanish_23F.dna,38,158
6259_7#1_S_pneumoniae_Spanish_23F.dna,30,108
6259_7#20_S_pneumoniae_Spanish_23F.dna,35,133
6259_7#21_S_pneumoniae_Spanish_23F.dna,35,133
6259_7#22_S_pneumoniae_Spanish_23F.dna,25,88
6259_7#23_S_pneumoniae_Spanish_23F.dna,20,64
6259_7#24_S_pneumoniae_Spanish_23F.dna,28,98
6259_7#2_S_pneumoniae_Spanish_23F.dna,25,88
6259_7#3_S_pneumoniae_Spanish_23F.dna,18,57
6259_7#4_S_pneumoniae_Spanish_23F.dna,34,127
6259_7#5_S_pneumoniae_Spanish_23F.dna,26,91
6259_7#6_S_pneumoniae_Spanish_23F.dna,12,36
6259_7#7_S_pneumoniae_Spanish_23F.dna,7,16
6259_7#8_S_pneumoniae_Spanish_23F.dna,7,16
6259_7#9_S_pneumoniae_Spanish_23F.dna,38,158
6259_8#10_S_pneumoniae_Spanish_23F.dna,19,59
6259_8#11_S_pneumoniae_Spanish_23F.dna,19,59
6259_8#12_S_pneumoniae_Spanish_23F.dna,6,14
6259_8#13_S_pneumoniae_Spanish_23F.dna,31,112
6259_8#14_S_pneumoniae_Spanish_23F.dna,38,158
6259_8#15_S_pneumoniae_Spanish_23F.dna,35,141
6259_8#16_S_pneumoniae_Spanish_23F.dna,32,117
6259_8#17_S_pneumoniae_Spanish_23F.dna,28,98
6259_8#18_S_pneumoniae_Spanish_23F.dna,24,84
6259_8#19_S_pneumoniae_Spanish_23F.dna,35,132
6259_8#1_S_pneumoniae_Spanish_23F.dna,38,158
6259_8#20_S_pneumoniae_Spanish_23F.dna,38,158
6259_8#21_S_pneumoniae_Spanish_23F.dna,23,78
6259_8#22_S_pneumoniae_Spanish_23F.dna,17,52
6259_8#23_S_pneumoniae_Spanish_23F.dna,32,115
6259_8#24_S_pneumoniae_Spanish_23F.dna,38,158
6259_8#2_S_pneumoniae_Spanish_23F.dna,32,116
6259_8#3_S_pneumoniae_Spanish_23F.dna,6,14
6259_8#4_S_pneumoniae_Spanish_23F.dna,37,151
6259_8#5_S_pneumoniae_Spanish_23F.dna,18,55
6259_8#6_S_pneumoniae_Spanish_23F.dna,10,29
6259_8#7_S_pneumoniae_Spanish_23F.dna,18,55
6259_8#8_S_pneumoniae_Spanish_23F.dna,36,145
6259_8#9_S_pneumoniae_Spanish_23F.dna,38,158
6593_4#10_S_pneumoniae_Spanish_23F.dna,36,147
6593_4#11_S_pneumoniae_Spanish_23F.dna,36,147
6593_4#12_S_pneumoniae_Spanish_23F.dna,35,131
6593_4#13_S_pneumoniae_Spanish_23F.dna,8,21
6593_4#14_S_pneumoniae_Spanish_23F.dna,38,158
6593_4#15_S_pneumoniae_Spanish_23F.dna,8,20
6593_4#16_S_pneumoniae_Spanish_23F.dna,12,35
6593_4#17_S_pneumoniae_Spanish_23F.dna,33,123
6593_4#18_S_pneumoniae_Spanish_23F.dna,23,79
6593_4#19_S_pneumoniae_Spanish_23F.dna,36,146
6593_4#1_S_pneumoniae_Spanish_23F.dna,19,59
6593_4#20_S_pneumoniae_Spanish_23F.dna,31,109
6593_4#21_S_pneumoniae_Spanish_23F.dna,38,158
6593_4#22_S_pneumoniae_Spanish_23F.dna,12,36
6593_4#23_S_pneumoniae_Spanish_23F.dna,35,131
6593_4#24_S_pneumoniae_Spanish_23F.dna,16,48
6593_4#2_S_pneumoniae_Spanish_23F.dna,8,19
6593_4#3_S_pneumoniae_Spanish_23F.dna,38,157
6593_4#4_S_pneumoniae_Spanish_23F.dna,31,112
6593_4#5_S_pneumoniae_Spanish_23F.dna,38,158
6593_4#6_S_pneumoniae_Spanish_23F.dna,38,158
6593_4#7_S_pneumoniae_Spanish_23F.dna,32,117
6593_4#8_S_pneumoniae_Spanish_23F.dna,31,112
6593_4#9_S_pneumoniae_Spanish_23F.dna,23,79
6593_5#10_S_pneumoniae_Spanish_23F.dna,31,110
6593_5#11_S_pneumoniae_Spanish_23F.dna,32,114
6593_5#12_S_pneumoniae_Spanish_23F.dna,18,57
6593_5#13_S_pneumoniae_Spanish_23F.dna,29,99
6593_5#14_S_pneumoniae_Spanish_23F.dna,18,55
6593_5#15_S_pneumoniae_Spanish_23F.dna,18,55
6593_5#16_S_pneumoniae_Spanish_23F.dna,30,108
6593_5#17_S_pneumoniae_Spanish_23F.dna,33,121
6593_5#18_S_pneumoniae_Spanish_23F.dna,37,150
6593_5#19_S_pneumoniae_Spanish_23F.dna,26,89
6593_5#1_S_pneumoniae_Spanish_23F.dna,31,112
6593_5#20_S_pneumoniae_Spanish_23F.dna,26,89
6593_5#21_S_pneumoniae_Spanish_23F.dna,26,91
6593_5#22_S_pneumoniae_Spanish_23F.dna,10,29
6593_5#23_S_pneumoniae_Spanish_23F.dna,38,154
6593_5#24_S_pneumoniae_Spanish_23F.dna,26,89
6593_5#2_S_pneumoniae_Spanish_23F.dna,1,2
6593_5#3_S_pneumoniae_Spanish_23F.dna,26,89
6593_5#4_S_pneumoniae_Spanish_23F.dna,30,106
6593_5#5_S_pneumoniae_Spanish_23F.dna,20,64
6593_5#6_S_pneumoniae_Spanish_23F.dna,18,54
6593_5#7_S_pneumoniae_Spanish_23F.dna,16,48
6593_5#8_S_pneumoniae_Spanish_23F.dna,38,158
6630_1#10_S_pneumoniae_Spanish_23F.dna,29,104
6630_1#11_S_pneumoniae_Spanish_23F.dna,33,121
6630_1#12_S_pneumoniae_Spanish_23F.dna,3,7
6630_1#13_S_pneumoniae_Spanish_23F.dna,20,64
6630_1#14_S_pneumoniae_Spanish_23F.dna,38,155
6630_1#15_S_pneumoniae_Spanish_23F.dna,22,74
6630_1#16_S_pneumoniae_Spanish_23F.dna,17,53
6630_1#17_S_pneumoniae_Spanish_23F.dna,23,79
6630_1#18_S_pneumoniae_Spanish_23F.dna,38,158
6630_1#19_S_pneumoniae_Spanish_23F.dna,31,112
6630_1#1_S_pneumoniae_Spanish_23F.dna,36,147
6630_1#20_S_pneumoniae_Spanish_23F.dna,31,112
6630_1#21_S_pneumoniae_Spanish_23F.dna,38,153
