"Isolate","level 1","level 2"
"11657_5#1",1,1
"11657_5#10",2,6
"11657_5#11",3,11
"11657_5#12",4,14
"11657_5#13",3,11
"11657_5#14",5,21
"11657_5#15",6,25
"11657_5#16",7,34
"11657_5#17",8,38
"11657_5#18",9,43
"11657_5#19",4,15
"11657_5#2",6,25
"11657_5#20",10,50
"11657_5#21",2,7
"11657_5#22",3,11
"11657_5#23",8,39
"11657_5#24",3,11
"11657_5#25",11,54
"11657_5#26",4,15
"11657_5#27",4,15
"11657_5#28",3,12
"11657_5#29",8,38
"11657_5#3",4,16
"11657_5#30",12,56
"11657_5#31",12,57
"11657_5#32",13,61
"11657_5#33",1,1
"11657_5#34",2,8
"11657_5#35",5,22
"11657_5#36",14,63
"11657_5#37",6,26
"11657_5#38",15,67
"11657_5#39",7,34
"11657_5#4",7,34
"11657_5#40",1,1
"11657_5#41",6,26
"11657_5#42",2,6
"11657_5#43",16,69
"11657_5#44",4,16
"11657_5#46",3,11
"11657_5#47",4,17
"11657_5#48",4,16
"11657_5#49",6,27
"11657_5#5",2,8
"11657_5#50",4,16
"11657_5#51",14,63
"11657_5#52",1,1
"11657_5#53",6,25
"11657_5#54",6,26
"11657_5#55",4,15
"11657_5#56",6,26
"11657_5#57",9,44
"11657_5#58",4,18
"11657_5#59",9,45
"11657_5#6",4,15
"11657_5#60",17,72
"11657_5#61",3,11
"11657_5#62",6,28
"11657_5#63",9,44
"11657_5#64",14,64
"11657_5#65",13,61
"11657_5#66",16,70
"11657_5#67",5,21
"11657_5#68",5,23
"11657_5#69",1,1
"11657_5#7",3,11
"11657_5#70",2,7
"11657_5#71",15,68
"11657_5#72",4,16
"11657_5#73",12,57
"11657_5#74",9,46
"11657_5#75",4,16
"11657_5#76",16,69
"11657_5#77",9,45
"11657_5#78",4,19
"11657_5#79",6,29
"11657_5#8",3,11
"11657_5#80",3,11
"11657_5#81",9,44
"11657_5#82",4,16
"11657_5#83",4,17
"11657_5#84",6,25
"11657_5#85",2,7
"11657_5#86",4,14
"11657_5#87",4,16
"11657_5#88",6,29
"11657_5#89",3,11
"11657_5#9",2,7
"11657_5#90",1,1
"11657_5#91",14,64
"11657_5#92",3,11
"11657_5#93",2,6
"11657_5#94",3,13
"11657_5#95",2,8
"11657_5#96",6,29
"11657_6#1",2,8
"11657_6#10",18,77
"11657_6#11",3,13
"11657_6#12",1,1
"11657_6#13",4,17
"11657_6#14",3,11
"11657_6#15",9,44
"11657_6#16",3,11
"11657_6#17",19,80
"11657_6#18",8,39
"11657_6#19",4,17
"11657_6#2",6,25
"11657_6#20",1,2
"11657_6#21",6,25
"11657_6#22",6,26
"11657_6#23",3,12
"11657_6#24",4,15
"11657_6#26",4,15
"11657_6#27",8,38
"11657_6#28",4,14
"11657_6#29",18,78
"11657_6#3",4,14
"11657_6#30",4,14
"11657_6#31",17,73
"11657_6#32",8,39
"11657_6#33",15,67
"11657_6#34",10,51
"11657_6#35",6,30
"11657_6#36",6,26
"11657_6#37",3,11
"11657_6#38",4,16
"11657_6#39",2,7
"11657_6#4",2,9
"11657_6#40",16,70
"11657_6#41",19,80
"11657_6#42",14,65
"11657_6#43",5,21
"11657_6#44",5,22
"11657_6#45",6,26
"11657_6#46",4,16
"11657_6#47",3,13
"11657_6#48",4,16
"11657_6#49",6,28
"11657_6#5",20,83
"11657_6#50",6,25
"11657_6#51",3,11
"11657_6#52",4,18
"11657_6#53",6,29
"11657_6#54",12,58
"11657_6#55",21,88
"11657_6#56",4,16
"11657_6#57",1,1
"11657_6#58",6,28
"11657_6#59",18,77
"11657_6#6",6,25
"11657_6#60",1,1
"11657_6#61",17,72
"11657_6#62",16,69
"11657_6#63",3,11
"11657_6#64",3,11
"11657_6#65",3,11
"11657_6#66",8,38
"11657_6#67",3,11
"11657_6#68",1,1
"11657_6#69",10,52
"11657_6#7",3,12
"11657_6#70",7,34
"11657_6#71",6,31
"11657_6#72",3,11
"11657_6#73",4,15
"11657_6#74",12,58
"11657_6#75",15,67
"11657_6#76",8,38
"11657_6#77",12,59
"11657_6#78",4,16
"11657_6#79",4,18
"11657_6#8",4,16
"11657_6#80",4,16
"11657_6#81",4,16
"11657_6#82",6,28
"11657_6#83",7,35
"11657_6#84",5,22
"11657_6#85",6,29
"11657_6#86",6,26
"11657_6#87",4,17
"11657_6#88",5,22
"11657_6#89",13,61
"11657_6#9",9,44
"11657_6#90",1,1
"11657_6#91",3,11
"11657_6#92",18,77
"11657_6#93",15,67
"11657_6#94",3,11
"11657_6#95",6,25
"11657_6#96",3,12
"11657_7#1",4,16
"11657_7#10",7,34
"11657_7#11",4,16
"11657_7#12",3,11
"11657_7#13",15,67
"11657_7#14",14,63
"11657_7#15",8,39
"11657_7#16",6,28
"11657_7#17",4,18
"11657_7#18",14,63
"11657_7#19",7,36
"11657_7#2",6,25
"11657_7#20",4,16
"11657_7#21",3,11
"11657_7#22",3,11
"11657_7#23",3,11
"11657_7#24",9,44
"11657_7#25",4,15
"11657_7#26",4,15
"11657_7#27",16,70
"11657_7#28",6,32
"11657_7#29",14,64
"11657_7#3",2,10
"11657_7#30",18,77
"11657_7#31",20,83
"11657_7#32",11,54
"11657_7#33",4,15
"11657_7#34",1,1
"11657_7#35",1,1
"11657_7#36",22,90
"11657_7#37",12,57
"11657_7#38",14,63
"11657_7#39",5,21
"11657_7#4",4,16
"11657_7#40",6,25
"11657_7#41",2,7
"11657_7#42",12,56
"11657_7#43",18,77
"11657_7#44",4,16
"11657_7#45",13,61
"11657_7#46",2,6
"11657_7#47",3,11
"11657_7#48",4,16
"11657_7#49",6,26
"11657_7#5",10,51
"11657_7#50",6,29
"11657_7#51",8,38
"11657_7#52",3,11
"11657_7#53",3,11
"11657_7#54",3,11
"11657_7#55",3,11
"11657_7#56",3,11
"11657_7#57",3,11
"11657_7#58",3,11
"11657_7#59",3,11
"11657_7#6",19,80
"11657_7#60",4,15
"11657_7#61",4,16
"11657_7#62",6,25
"11657_7#63",23,93
"11657_7#64",5,24
"11657_7#65",23,94
"11657_7#66",3,11
"11657_7#67",4,16
"11657_7#68",6,26
