Isolate,level 1,level 2
MK2008_2015-02-12,1,1
MK2826_2015-03-08,1,1
KT5022_2015-02-13,1,2
20524_EMLK_2015-09-06,2,11
J0135_2014-11-03,3,16
77524_EMLK_2014-12-30,4,20
490_EMLH_2015-01-30,3,16
491_EMLH_2015-01-30,3,16
567_EMLH_2015-02-03,4,21
592_EMLH_2015-02-05,4,21
75674_EMLH_2015-01-13,4,20
DML13828_2015-06-22,3,17
KT7106_2015-07-19,3,17
KG35_2015-06-08,5,24
EM_FORE_2015-2547_2015-09-26,2,12
KG45_2015-06-09,5,24
LIBR0114_2014-11-10,1,3
LIBR10081_2014-08-26,1,2
LIBR10245_2014-07-01,1,3
LIBR10253_2014-09-16,1,2
EM_074684_2014-08-14,1,2
EM_076769_2014-11-08,1,2
EM_076770_2014-11-08,1,2
EM_076948_2014-11-13,1,2
EM_076949_2014-11-13,1,2
EM_078697_2014-12-14,1,2
EM_078709_2014-12-14,1,2
KT5243_2015-02-22,1,4
EM_COY_2015_017174_2015-05-30,2,13
EM_FORE_2015_1140_2015-07-03,2,13
DML24620_2015-01-21,3,18
DML24706_2015-01-28,3,18
DML24720_2015-01-29,3,18
DML24758_2015-01-30,3,18
DML24853_2015-02-06,3,18
LIBR0063_2014-11-06,1,2
LIBR0279_2014-11-22,1,2
DML14077_2015-06-30,3,17
DML14163_2015-07-03,3,17
DML14366_2015-07-11,3,17
J0169_2014-11-09,1,4
77613_EMLK_2015-01-05,1,4
77615_EMLK_2015-01-05,1,4
18642R_EMLH_2015-07-08,3,17
18659R_EMLH_2015-07-10,3,17
18687R_EMLH_2015-07-12,3,17
13031_EMLH_2015-05-18,3,17
77526_EMLK_2014-12-30,1,4
14687_EMLK_2015-02-21,3,17
12851_EMLH_2015-04-15,3,17
12854_EMLH_2015-04-15,3,17
12855_EMLH_2015-04-15,3,17
12872_EMLH_2015-04-18,3,17
12916_EMLH_2015-04-29,3,17
12934_EMLH_2015-05-04,3,17
12936_EMLH_2015-05-04,3,17
13204_EMLH_2015-06-16,3,17
13247_EMLH_2015-06-19,3,17
13268_EMLH_2015-06-23,3,17
13275_EMLH_2015-06-24,3,17
15070R_DML_2015-08-06,3,17
18538_EMLH_2015-07-04,3,17
18596_EMLH_2015-07-05,3,17
18636_EMLH_2015-07-08,3,17
18647_EMLH_2015-07-09,3,17
18648_EMLH_2015-07-09,3,17
18649_EMLH_2015-07-10,3,17
18650_EMLH_2015-07-10,3,17
