Isolates,Level 1,Level 2
12673_8#24,2,10
12673_8#26,2,10
12673_8#27,2,11
12673_8#28,2,11
12673_8#29,2,10
12673_8#31,2,10
12673_8#32,2,11
12673_8#34,2,11
12673_8#36,2,7
12673_8#37,2,11
12673_8#39,1,1
12673_8#41,2,10
12673_8#42,2,7
12673_8#43,2,8
12754_4#66,2,10
12754_4#68,2,7
12754_4#70,2,7
12754_4#71,1,6
12754_4#73,2,9
12754_4#74,2,9
12754_4#75,2,7
12754_4#77,2,8
12754_4#78,1,5
12754_4#79,1,5
12754_4#80,2,11
12754_4#81,1,6
12754_4#82,2,8
12754_4#84,1,1
12754_4#85,2,10
12754_4#87,1,6
12754_4#88,2,11
12754_4#89,1,1
12754_4#90,1,6
12754_4#92,1,2
12754_4#94,1,1
12754_4#95,2,8
12754_5#11,2,8
12754_5#12,1,6
12754_5#13,2,8
12754_5#14,1,3
12754_5#16,1,1
12754_5#18,2,7
12754_5#19,1,6
12754_5#2,1,4
12754_5#20,1,1
12754_5#22,2,10
12754_5#24,2,10
12754_5#26,2,7
12754_5#28,2,11
12754_5#3,2,8
12754_5#30,1,6
12754_5#32,2,10
12754_5#33,2,8
12754_5#35,1,6
12754_5#36,2,10
12754_5#37,1,6
12754_5#39,1,6
12754_5#40,2,8
12754_5#42,1,3
12754_5#43,2,8
12754_5#45,2,7
12754_5#46,1,5
12754_5#47,2,10
12754_5#49,1,3
12754_5#5,1,1
12754_5#51,2,7
12754_5#52,1,5
12754_5#53,2,7
12754_5#55,2,11
12754_5#57,2,11
12754_5#59,2,11
12754_5#6,2,9
12754_5#61,2,10
12754_5#62,1,4
12754_5#64,2,7
12754_5#66,1,6
12754_5#68,2,8
12754_5#70,2,8
12754_5#71,2,10
12754_5#72,1,2
12754_5#73,1,5
12754_5#74,2,10
12754_5#76,2,7
12754_5#78,2,10
12754_5#8,2,7
12754_5#80,2,10
12754_5#82,1,6
12754_5#84,2,10
12754_5#86,2,10
12754_5#88,1,1
12754_5#89,2,10
12754_5#9,2,8
12754_5#90,2,7
12754_5#92,2,7
12754_5#94,1,5
12754_5#95,2,10
19183_4#48,1,6
19183_4#49,2,10
19183_4#50,2,9
19183_4#51,1,6
19183_4#52,2,8
19183_4#53,2,8
19183_4#54,2,7
19183_4#55,1,1
19183_4#56,2,11
19183_4#57,2,10
19183_4#58,2,11
19183_4#59,1,4
19183_4#60,2,10
19183_4#61,2,10
19183_4#62,1,2
19183_4#63,1,2
19183_4#64,2,11
19183_4#65,1,6
19183_4#66,2,11
19183_4#67,2,11
19183_4#68,1,6
19183_4#69,2,8
19183_4#70,1,2
19183_4#71,2,11
19183_4#72,2,11
19183_4#73,2,10
19183_4#74,1,6
19183_4#75,1,1
19183_4#76,1,2
19183_4#77,2,7
19183_4#78,2,10
19183_4#79,2,10
