Isolates,Level 1
MK2008_2015-02-12,1
MK2826_2015-03-08,1
KT5022_2015-02-13,7
20524_EMLK_2015-09-06,2
J0135_2014-11-03,4
77524_EMLK_2014-12-30,4
490_EMLH_2015-01-30,4
491_EMLH_2015-01-30,4
567_EMLH_2015-02-03,4
592_EMLH_2015-02-05,4
75674_EMLH_2015-01-13,4
DML13828_2015-06-22,7
KT7106_2015-07-19,7
KG35_2015-06-08,6
EM_FORE_2015-2547_2015-09-26,3
KG45_2015-06-09,6
LIBR0114_2014-11-10,7
LIBR10081_2014-08-26,7
LIBR10245_2014-07-01,7
LIBR10253_2014-09-16,7
EM_074684_2014-08-14,7
EM_076769_2014-11-08,7
EM_076770_2014-11-08,7
EM_076948_2014-11-13,7
EM_076949_2014-11-13,7
EM_078697_2014-12-14,7
EM_078709_2014-12-14,7
KT5243_2015-02-22,5
EM_COY_2015_017174_2015-05-30,3
EM_FORE_2015_1140_2015-07-03,3
DML24620_2015-01-21,4
DML24706_2015-01-28,4
DML24720_2015-01-29,4
DML24758_2015-01-30,4
DML24853_2015-02-06,4
LIBR0063_2014-11-06,7
LIBR0279_2014-11-22,7
DML14077_2015-06-30,8
DML14163_2015-07-03,8
DML14366_2015-07-11,8
J0169_2014-11-09,8
77613_EMLK_2015-01-05,8
77615_EMLK_2015-01-05,8
18642R_EMLH_2015-07-08,8
18659R_EMLH_2015-07-10,8
18687R_EMLH_2015-07-12,8
13031_EMLH_2015-05-18,8
77526_EMLK_2014-12-30,8
14687_EMLK_2015-02-21,8
12851_EMLH_2015-04-15,8
12854_EMLH_2015-04-15,8
12855_EMLH_2015-04-15,8
12872_EMLH_2015-04-18,8
12916_EMLH_2015-04-29,8
12934_EMLH_2015-05-04,8
12936_EMLH_2015-05-04,8
13204_EMLH_2015-06-16,8
13247_EMLH_2015-06-19,8
13268_EMLH_2015-06-23,8
13275_EMLH_2015-06-24,8
15070R_DML_2015-08-06,8
18538_EMLH_2015-07-04,8
18596_EMLH_2015-07-05,8
18636_EMLH_2015-07-08,8
18647_EMLH_2015-07-09,8
18648_EMLH_2015-07-09,8
18649_EMLH_2015-07-10,8
18650_EMLH_2015-07-10,8
18660_EMLH_2015-07-10,8
18706_EMLH_2015-07-14,8
MK10128_2015-07-31,8
MK10173_2015-08-01,8
MK8878_2015-07-23,8
MK9396_2015-07-18,8
PL8486_2015-06-25,8
PL4346_2015-03-04,8
CDC-NIH-272_2014-08-27,7
77572_EMLK_2015-01-03,4
EM_COY_2015_023888_2015-09-15,3
CON-10193_2015-08-03,3
CON-10512_2015-08-11,3
CON-10590_2015-08-13,3
