Isolates,Level 1,Level 2
14412_3#81,6,16
14412_3#82,1,1
14412_3#83,2,6
14412_3#84,1,2
14412_3#85,3,8
14412_3#86,3,8
14412_3#87,4,10
14412_3#88,6,16
14412_3#89,6,16
14412_3#90,4,11
14412_3#91,1,3
14412_3#92,1,3
14412_3#93,4,9
14412_3#94,5,15
14412_3#95,4,11
14412_4#1,1,2
14412_4#10,2,5
14412_4#11,3,7
14412_4#12,3,8
14412_4#13,3,8
14412_4#14,4,11
14412_4#16,6,17
14412_4#17,6,16
14412_4#18,6,16
14412_4#19,5,13
14412_4#2,6,18
14412_4#20,5,13
14412_4#21,5,15
14412_4#22,5,15
14412_4#23,4,11
14412_4#24,4,11
14412_4#25,6,17
14412_4#26,4,10
14412_4#27,5,15
14412_4#28,5,15
14412_4#29,5,13
14412_4#3,4,11
14412_4#30,5,13
14412_4#31,6,18
14412_4#32,6,18
14412_4#33,6,18
14412_4#34,6,18
14412_4#35,1,4
14412_4#36,1,1
14412_4#37,1,1
14412_4#38,6,19
14412_4#39,5,14
14412_4#4,5,14
14412_4#40,5,14
14412_4#41,1,1
14412_4#42,4,10
14412_4#43,6,16
14412_4#44,1,3
14412_4#45,6,17
14412_4#46,6,17
14412_4#47,3,7
14412_4#48,3,7
14412_4#49,3,7
14412_4#5,5,14
14412_4#50,2,6
14412_4#51,2,6
14412_4#52,4,12
14412_4#53,4,12
14412_4#54,4,10
14412_4#55,6,16
14412_4#56,4,10
14412_4#57,5,15
14412_4#58,5,15
14412_4#59,1,4
14412_4#6,2,6
14412_4#60,1,4
14412_4#61,1,2
14412_4#7,2,6
14412_4#8,6,19
14412_4#9,6,19
