"Isolate","level 1","level 2"
"15335_2#1",1,1
"15335_2#10",2,6
"15335_2#11",2,6
"15335_2#12",2,6
"15335_2#13",3,11
"15335_2#14",4,13
"15335_2#15",2,7
"15335_2#16",5,17
"15335_2#17",1,1
"15335_2#18",1,1
"15335_2#19",3,12
"15335_2#2",1,1
"15335_2#20",5,17
"15335_2#21",1,1
"15335_2#22",1,1
"15335_2#23",6,22
"15335_2#24",5,18
"15335_2#25",5,18
"15335_2#26",5,18
"15335_2#27",5,18
"15335_2#28",1,1
"15335_2#29",1,1
"15335_2#3",1,1
"15335_2#30",3,11
"15335_2#31",1,1
"15335_2#32",1,1
"15335_2#33",1,1
"15335_2#34",1,1
"15335_2#35",1,1
"15335_2#36",1,1
"15335_2#37",1,1
"15335_2#38",1,1
"15335_2#39",7,30
"15335_2#4",1,2
"15335_2#40",1,1
"15335_2#41",1,1
"15335_2#42",1,3
"15335_2#43",8,33
"15335_2#44",1,1
"15335_2#45",1,1
"15335_2#46",1,3
"15335_2#47",1,1
"15335_2#48",1,1
"15335_2#49",1,1
"15335_2#5",9,36
"15335_2#50",1,1
"15335_2#51",1,3
"15335_2#52",1,1
"15335_2#53",1,1
"15335_2#54",1,1
"15335_2#55",1,1
"15335_2#56",1,1
"15335_2#57",1,1
"15335_2#58",1,1
"15335_2#59",3,11
"15335_2#6",2,7
"15335_2#60",1,3
"15335_2#61",1,4
"15335_2#62",1,3
"15335_2#63",1,3
"15335_2#64",1,3
"15335_2#65",1,1
"15335_2#66",1,1
"15335_2#67",1,1
"15335_2#68",1,1
"15335_2#69",1,1
"15335_2#70",1,3
"15335_2#71",1,1
"15335_2#72",1,1
"15335_2#73",1,1
"15335_2#74",1,4
"15335_2#75",1,3
"15335_2#76",1,3
"15335_2#77",1,1
"15335_2#78",1,1
"15335_2#79",1,3
"15335_2#8",2,6
"15335_2#80",1,1
"15335_2#81",1,1
"15335_2#82",1,1
"15335_2#83",10,39
"15335_2#84",11,43
"15335_2#85",3,11
"15335_2#86",11,44
"15335_2#87",7,30
"15335_2#88",11,43
"15335_2#89",11,43
"15335_2#9",12,46
"15335_2#90",7,31
"15335_2#91",7,31
"15335_2#92",6,23
"15335_2#93",7,31
"15335_2#94",7,31
"15335_2#95",13,49
"15335_3#1",1,1
"15335_3#10",9,37
"15335_3#11",4,14
"15335_3#12",3,12
"15335_3#13",3,12
"15335_3#14",5,17
"15335_3#15",7,31
"15335_3#16",12,47
"15335_3#17",3,11
"15335_3#18",5,17
"15335_3#19",12,47
"15335_3#2",6,24
"15335_3#20",1,5
"15335_3#21",3,12
"15335_3#22",3,11
"15335_3#23",12,48
"15335_3#25",3,11
"15335_3#26",3,11
"15335_3#27",3,11
"15335_3#28",3,11
"15335_3#29",14,52
"15335_3#3",6,22
"15335_3#30",14,52
"15335_3#31",3,11
"15335_3#32",14,52
"15335_3#33",3,12
"15335_3#34",14,52
"15335_3#35",14,52
"15335_3#36",6,25
"15335_3#37",6,26
"15335_3#39",14,52
"15335_3#4",11,43
"15335_3#40",3,11
"15335_3#41",11,43
"15335_3#42",3,12
"15335_3#43",9,37
"15335_3#44",9,36
"15335_3#45",1,3
"15335_3#46",6,24
"15335_3#47",3,12
"15335_3#48",9,37
"15335_3#49",10,39
"15335_3#5",11,43
"15335_3#50",3,11
"15335_3#51",3,11
"15335_3#52",12,46
"15335_3#53",14,52
"15335_3#54",5,18
"15335_3#55",6,26
"15335_3#56",10,39
"15335_3#57",3,11
"15335_3#58",14,52
"15335_3#59",14,52
"15335_3#6",12,46
"15335_3#60",1,3
"15335_3#61",7,32
"15335_3#62",3,11
"15335_3#63",3,11
"15335_3#64",11,43
"15335_3#65",6,27
"15335_3#66",3,11
"15335_3#67",8,33
"15335_3#68",3,11
"15335_3#69",14,52
"15335_3#7",14,52
"15335_3#70",14,52
"15335_3#71",3,12
"15335_3#72",3,11
"15335_3#73",15,55
"15335_3#74",14,52
"15335_3#75",5,18
"15335_3#76",9,37
"15335_3#77",9,37
"15335_3#78",5,19
"15335_3#79",4,13
"15335_3#8",9,36
"15335_3#80",6,22
"15335_3#81",6,24
"15335_3#82",15,56
"15335_3#83",6,26
"15335_3#84",6,27
"15335_3#85",6,22
"15335_3#86",6,25
"15335_3#87",11,45
"15335_3#88",11,43
"15335_3#89",12,48
"15335_3#9",14,52
"15335_3#90",7,30
"15335_3#91",10,40
"15335_3#92",15,55
"15335_3#93",7,31
"15335_3#94",13,49
"15335_3#95",10,41
"15335_4#1",10,39
"15335_4#10",1,3
"15335_4#11",12,46
"15335_4#12",6,25
"15335_4#13",6,28
"15335_4#15",2,6
"15335_4#16",5,18
"15335_4#17",7,31
"15335_4#18",2,6
"15335_4#19",8,33
"15335_4#2",6,28
"15335_4#20",2,6
"15335_4#21",2,6
"15335_4#23",2,6
"15335_4#24",2,6
"15335_4#25",2,6
"15335_4#26",2,7
"15335_4#27",3,12
"15335_4#28",6,28
"15335_4#29",6,28
"15335_4#3",14,52
"15335_4#30",6,28
"15335_4#31",2,6
"15335_4#32",2,6
"15335_4#33",2,6
"15335_4#34",4,13
"15335_4#35",3,11
"15335_4#36",6,28
"15335_4#37",3,11
"15335_4#38",12,46
"15335_4#4",6,26
"15335_4#41",2,6
"15335_4#42",1,5
"15335_4#43",2,6
"15335_4#44",8,33
"15335_4#45",2,7
"15335_4#46",3,12
"15335_4#47",2,6
"15335_4#48",2,7
"15335_4#49",2,7
"15335_4#5",3,11
"15335_4#50",2,7
"15335_4#51",2,7
"15335_4#52",2,7
"15335_4#53",3,11
"15335_4#55",4,15
"15335_4#56",4,15
"15335_4#57",4,15
"15335_4#58",4,14
"15335_4#59",1,1
"15335_4#6",7,32
"15335_4#60",1,1
"15335_4#61",1,1
"15335_4#62",1,1
"15335_4#63",3,12
"15335_4#64",4,16
"15335_4#65",1,1
"15335_4#66",1,1
